startTime,createUser,commentsUser,proj,year,url
2023-05-03 13:07:32+00:00,[User]_Ayx03,"{'[User]_Ayx03', '[User]_riverar'}",File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1361
2023-05-11 09:32:11+00:00,[User]_mehraanakbarii,"{'[User]_mehraanakbarii', '[User]_riverar'}",File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1366
2023-05-11 12:26:43+00:00,[User]_mehraanakbarii,{'[User]_riverar'},File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1367
2023-05-11 19:11:16+00:00,[User]_mehraanakbarii,{'[User]_riverar'},File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1368
2023-05-12 17:11:59+00:00,[User]_mehraanakbarii,set(),File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1369
2023-05-17 01:07:44+00:00,[User]_Mnky313,"{'[User]_riverar', '[User]_Mnky313'}",File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1371
2023-05-20 02:24:02+00:00,[User]_snowbound,"{'[User]_snowbound', '[User]_riverar'}",File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1373
2023-05-25 12:04:22+00:00,[User]_riverar,set(),File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/pull/1379
2023-05-28 19:46:43+00:00,[User]_DCaedus,{'[User]_riverar'},File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1381
2023-05-29 17:57:03+00:00,[User]_riverar,"{'[User]_floutsch', '[User]_devmozao', '[User]_riverar', '[User]_DeveloperBlue'}",File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1382
2023-05-31 14:59:58+00:00,[User]_403CTRLer,set(),File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1384
2023-06-03 10:36:53+00:00,[User]_ALIENQuake,{'[User]_riverar'},File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1385
2023-06-03 14:45:49+00:00,[User]_FoshunX,{'[User]_riverar'},File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1386
2023-06-04 12:20:30+00:00,[User]_Yzzzzzzzzzzzz,{'[User]_riverar'},File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1388
2023-06-17 13:37:55+00:00,[User]_finn-freitag,"{'[User]_finn-freitag', '[User]_riverar'}",File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1394
2023-06-17 21:36:57+00:00,[User]_shodanx2,{'[User]_riverar'},File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1395
2023-06-19 15:17:22+00:00,[User]_Filip-Anicic,"{'[User]_Filip-Anicic', '[User]_riverar'}",File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1397
2023-06-21 04:22:30+00:00,[User]_BiRaitBec,"{'[User]_riverar', '[User]_BiRaitBec'}",File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1398
2023-06-21 05:11:50+00:00,[User]_riverar,set(),File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1399
2023-06-25 12:58:59+00:00,[User]_GodGun968,set(),File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1400
2023-06-28 21:09:23+00:00,[User]_mixm1xmix,"{'[User]_riverar', '[User]_mixm1xmix'}",File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1402
2023-07-03 01:22:27+00:00,[User]_ooTruffle,"{'[User]_MXDexRazero', '[User]_riverar', '[User]_ooTruffle', '[User]_xiamocc'}",File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/issues/1404
2023-07-04 23:13:03+00:00,[User]_riverar,set(),File-New-Project/EarTrumpet,2023,https://github.com/File-New-Project/EarTrumpet/pull/1406
