startTime,createUser,commentsUser,proj,year,url
2023-05-01 15:36:25+00:00,[User]_victory-ci,set(),FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/pull/2591
2023-05-08 15:58:40+00:00,[User]_sem4phor,set(),FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/issues/2593
2023-05-16 10:27:36+00:00,[User]_samynaj,{'[User]_helagoddr'},FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/issues/2596
2023-05-22 09:34:20+00:00,[User]_Cadrach,set(),FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/issues/2598
2023-06-12 18:42:04+00:00,[User]_victory-ci,{'[User]_EthanRutherford'},FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/pull/2618
2023-06-16 01:00:23+00:00,[User]_harrisonlo,{'[User]_acharyakavita'},FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/issues/2620
2023-07-05 22:04:26+00:00,[User]_jmezzacappa,set(),FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/issues/2625
2023-07-13 12:04:43+00:00,[User]_mihir-lnxct,set(),FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/issues/2628
2023-07-18 15:30:55+00:00,[User]_premcoke,"{'[User]_BeyondThat', '[User]_acharyakavita'}",FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/issues/2630
2023-07-24 16:23:26+00:00,[User]_helagoddr,"{'[User]_acharyakavita', '[User]_ardentcricket'}",FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/issues/2631
2023-08-16 12:45:20+00:00,[User]_anuradhaprom,{'[User]_acharyakavita'},FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/issues/2637
2023-08-23 13:34:15+00:00,[User]_hgjura,{'[User]_hgjura'},FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/issues/2638
2023-09-13 14:13:32+00:00,[User]_2001vishnu,set(),FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/issues/2650
2023-09-13 20:19:23+00:00,[User]_zgagnon,"{'[User]_t4t5u0', '[User]_prsauer', '[User]_zgagnon', '[User]_acharyakavita'}",FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/issues/2651
2023-09-28 11:20:58+00:00,[User]_dsshard,set(),FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/issues/2655
2023-10-18 04:53:33+00:00,[User]_BhargaviAnnadevara-MSFT,set(),FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/issues/2665
2023-10-18 07:29:43+00:00,[User]_BhargaviAnnadevara-MSFT,set(),FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/issues/2666
2023-11-13 12:52:10+00:00,[User]_maksumon,{'[User]_maksumon'},FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/issues/2672
2023-12-25 20:54:32+00:00,[User]_toropov023,"{'[User]_hafizgohar', '[User]_smilemittal', '[User]_KenanYusuf', '[User]_toropov023'}",FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/issues/2684
2023-12-26 11:55:38+00:00,[User]_hafizgohar,"{'[User]_GKyomen', '[User]_amanShukla-amber', '[User]_brsantos197'}",FormidableLabs/victory,2023,https://github.com/FormidableLabs/victory/issues/2686
2024-01-04 13:34:39+00:00,[User]_KenanYusuf,set(),FormidableLabs/victory,2024,https://github.com/FormidableLabs/victory/issues/2693
2024-01-22 06:21:53+00:00,[User]_maneesh-techversant,set(),FormidableLabs/victory,2024,https://github.com/FormidableLabs/victory/issues/2729
2024-01-24 11:32:29+00:00,[User]_narasimhan26,set(),FormidableLabs/victory,2024,https://github.com/FormidableLabs/victory/issues/2735
2024-01-26 10:50:04+00:00,[User]_KenanYusuf,set(),FormidableLabs/victory,2024,https://github.com/FormidableLabs/victory/issues/2744
2024-01-29 14:56:03+00:00,[User]_victory-ci,set(),FormidableLabs/victory,2024,https://github.com/FormidableLabs/victory/pull/2754
2024-01-31 21:36:46+00:00,[User]_ruc98,set(),FormidableLabs/victory,2024,https://github.com/FormidableLabs/victory/issues/2768
2024-02-01 03:19:09+00:00,[User]_hadassaplotnik,set(),FormidableLabs/victory,2024,https://github.com/FormidableLabs/victory/issues/2769
2024-02-05 14:38:11+00:00,[User]_KenanYusuf,set(),FormidableLabs/victory,2024,https://github.com/FormidableLabs/victory/issues/2778
2024-02-06 07:09:24+00:00,[User]_TomCorvus,set(),FormidableLabs/victory,2024,https://github.com/FormidableLabs/victory/issues/2784
2024-02-15 21:19:30+00:00,[User]_paulh-adion,set(),FormidableLabs/victory,2024,https://github.com/FormidableLabs/victory/issues/2812
2024-03-22 01:24:51+00:00,[User]_andy-root,{'[User]_andy-root'},FormidableLabs/victory,2024,https://github.com/FormidableLabs/victory/issues/2837
2024-04-01 15:11:26+00:00,[User]_PeterYurkovich,set(),FormidableLabs/victory,2024,https://github.com/FormidableLabs/victory/issues/2844
2024-04-01 21:59:50+00:00,[User]_kevinschaich,set(),FormidableLabs/victory,2024,https://github.com/FormidableLabs/victory/issues/2845
2024-04-02 04:02:50+00:00,[User]_jawknees,{'[User]_jawknees'},FormidableLabs/victory,2024,https://github.com/FormidableLabs/victory/issues/2846
2024-04-04 10:45:36+00:00,[User]_BhargaviAnnadevara,set(),FormidableLabs/victory,2024,https://github.com/FormidableLabs/victory/issues/2850
2024-04-09 09:45:59+00:00,[User]_wildman82,set(),FormidableLabs/victory,2024,https://github.com/FormidableLabs/victory/issues/2855
2024-04-17 00:55:04+00:00,[User]_Pedrocaloi,set(),FormidableLabs/victory,2024,https://github.com/FormidableLabs/victory/issues/2856
2024-04-22 03:33:15+00:00,[User]_nateguy,set(),FormidableLabs/victory,2024,https://github.com/FormidableLabs/victory/issues/2861
