startTime,createUser,commentsUser,proj,year,url
2023-05-01 21:02:41+00:00,[User]_Erdalck,set(),GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/issues/15029
2023-05-02 14:18:38+00:00,[User]_LuizGustavoWT,{'[User]_adamraine'},GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/issues/15030
2023-05-02 17:40:49+00:00,[User]_connorjclark,{'[User]_adamraine'},GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/pull/15031
2023-05-02 20:09:10+00:00,[User]_Robanna777,"{'[User]_Robanna777', '[User]_adamraine'}",GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/issues/15032
2023-05-02 23:36:25+00:00,[User]_adamraine,{'[User]_connorjclark'},GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/pull/15033
2023-05-03 04:14:15+00:00,[User]_erickmerchant,"{'[User]_erickmerchant', '[User]_adamraine'}",GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/issues/15034
2023-05-03 18:32:37+00:00,[User]_connorjclark,{'[User]_adamraine'},GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/pull/15037
2023-05-03 18:52:41+00:00,[User]_connorjclark,"{'[User]_brendankenny', '[User]_connorjclark'}",GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/pull/15038
2023-05-03 19:07:57+00:00,[User]_connorjclark,{'[User]_adamraine'},GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/pull/15039
2023-05-03 22:29:33+00:00,[User]_adamraine,{'[User]_connorjclark'},GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/pull/15041
2023-05-04 06:48:49+00:00,[User]_ParkEunwoo,{'[User]_paulirish'},GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/issues/15042
2023-05-04 17:50:09+00:00,[User]_tkmcmaster,"{'[User]_tkmcmaster', '[User]_adamraine'}",GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/issues/15044
2023-05-04 18:21:16+00:00,[User]_adamraine,{'[User]_connorjclark'},GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/pull/15045
2023-05-04 21:58:21+00:00,[User]_adamraine,{'[User]_connorjclark'},GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/pull/15046
2023-05-05 00:23:48+00:00,[User]_adamraine,"{'[User]_brendankenny', '[User]_connorjclark', '[User]_adamraine', '[User]_Tonyadelgado1982'}",GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/pull/15047
2023-05-05 08:05:34+00:00,[User]_datou0412,{'[User]_adamraine'},GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/issues/15048
2023-05-05 17:08:33+00:00,[User]_connorjclark,"{'[User]_connorjclark', '[User]_adamraine', '[User]_paulirish'}",GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/pull/15050
2023-05-05 19:36:11+00:00,[User]_jazyan,"{'[User]_brendankenny', '[User]_connorjclark', '[User]_paulirish', '[User]_jazyan'}",GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/pull/15051
2023-05-08 14:37:03+00:00,[User]_alonkochba,"{'[User]_DFWCowboys', '[User]_adamraine', '[User]_alonkochba'}",GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/issues/15052
2023-05-08 19:58:21+00:00,[User]_Snippet24816,"{'[User]_DFWCowboys', '[User]_adamraine', '[User]_Snippet24816'}",GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/issues/15053
2023-05-08 23:25:20+00:00,[User]_connorjclark,"{'[User]_brendankenny', '[User]_connorjclark', '[User]_adamraine'}",GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/pull/15054
2023-05-09 19:58:08+00:00,[User]_connorjclark,"{'[User]_connorjclark', '[User]_adamraine'}",GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/pull/15055
2023-05-09 22:55:41+00:00,[User]_paulirish,set(),GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/issues/15056
2023-05-09 23:23:13+00:00,[User]_adamraine,{'[User]_connorjclark'},GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/pull/15057
2023-05-09 23:36:42+00:00,[User]_adamraine,{'[User]_adamraine'},GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/pull/15058
2023-05-10 06:38:45+00:00,[User]_tannerdolby,"{'[User]_adamraine', '[User]_paulirish', '[User]_LGNDDOLLABOUTIQUE', '[User]_connorjclark', '[User]_tannerdolby'}",GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/pull/15059
2023-05-10 20:15:22+00:00,[User]_adamraine,"{'[User]_brendankenny', '[User]_adamraine'}",GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/pull/15063
2023-05-11 20:08:13+00:00,[User]_vipulnaik,set(),GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/issues/15065
2023-05-11 21:39:03+00:00,[User]_connorjclark,"{'[User]_connorjclark', '[User]_adamraine'}",GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/pull/15066
2023-05-11 21:39:41+00:00,[User]_adamraine,{'[User]_connorjclark'},GoogleChrome/lighthouse,2023,https://github.com/GoogleChrome/lighthouse/pull/15067
