startTime,createUser,commentsUser,proj,year,url
2023-05-02 20:13:52+00:00,[User]_bog-walk,"{'[User]_bog-walk', '[User]_e5l'}",JetBrains/Exposed,2023,https://github.com/JetBrains/Exposed/pull/1737
2023-05-04 17:23:01+00:00,[User]_joc-a,"{'[User]_bog-walk', '[User]_joc-a', '[User]_e5l', '[User]_Tapac'}",JetBrains/Exposed,2023,https://github.com/JetBrains/Exposed/pull/1738
2023-05-11 13:56:24+00:00,[User]_joc-a,"{'[User]_bog-walk', '[User]_rsinukov', '[User]_e5l'}",JetBrains/Exposed,2023,https://github.com/JetBrains/Exposed/pull/1740
2023-05-20 02:15:01+00:00,[User]_bog-walk,"{'[User]_bog-walk', '[User]_red-avtovo', '[User]_e5l'}",JetBrains/Exposed,2023,https://github.com/JetBrains/Exposed/pull/1743
2023-05-24 15:29:26+00:00,[User]_joc-a,"{'[User]_bog-walk', '[User]_e5l'}",JetBrains/Exposed,2023,https://github.com/JetBrains/Exposed/pull/1744
2023-05-26 19:59:26+00:00,[User]_timeking,"{'[User]_timeking', '[User]_bog-walk', '[User]_e5l'}",JetBrains/Exposed,2023,https://github.com/JetBrains/Exposed/pull/1746
2023-05-30 17:35:36+00:00,[User]_bog-walk,{'[User]_e5l'},JetBrains/Exposed,2023,https://github.com/JetBrains/Exposed/pull/1747
2023-05-31 19:12:37+00:00,[User]_lure,"{'[User]_bog-walk', '[User]_joc-a', '[User]_e5l', '[User]_lure'}",JetBrains/Exposed,2023,https://github.com/JetBrains/Exposed/pull/1748
2023-06-01 20:41:26+00:00,[User]_bog-walk,"{'[User]_bog-walk', '[User]_e5l'}",JetBrains/Exposed,2023,https://github.com/JetBrains/Exposed/pull/1749
2023-06-02 12:55:30+00:00,[User]_bog-walk,{'[User]_e5l'},JetBrains/Exposed,2023,https://github.com/JetBrains/Exposed/pull/1750
2023-06-06 15:24:18+00:00,[User]_bog-walk,{'[User]_e5l'},JetBrains/Exposed,2023,https://github.com/JetBrains/Exposed/pull/1752
2023-06-07 11:36:59+00:00,[User]_bog-walk,{'[User]_e5l'},JetBrains/Exposed,2023,https://github.com/JetBrains/Exposed/pull/1754
