startTime,createUser,commentsUser,proj,year,url
2023-05-01 11:02:40+00:00,[User]_chejinge,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1415
2023-05-01 13:05:42+00:00,[User]_chejinge,"{'[User]_chejinge', '[User]_wanghenshui'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1416
2023-05-01 13:13:09+00:00,[User]_cheniujh,"{'[User]_chejinge', '[User]_fancy-rabbit', '[User]_cheniujh'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1417
2023-05-02 06:21:44+00:00,[User]_4kangjc,{'[User]_4kangjc'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1418
2023-05-03 04:09:41+00:00,[User]_4kangjc,"{'[User]_4kangjc', '[User]_wanghenshui'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1419
2023-05-03 12:33:25+00:00,[User]_4kangjc,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1420
2023-05-03 19:21:30+00:00,[User]_Mixficsol,"{'[User]_chejinge', '[User]_wanghenshui', '[User]_ForestLH', '[User]_infdahai', '[User]_Mixficsol'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1421
2023-05-04 02:56:08+00:00,[User]_4kangjc,"{'[User]_4kangjc', '[User]_wanghenshui'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1423
2023-05-04 04:54:12+00:00,[User]_4kangjc,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1425
2023-05-04 05:03:14+00:00,[User]_Pikachu1412,{'[User]_wanghenshui'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1426
2023-05-04 10:28:59+00:00,[User]_4kangjc,"{'[User]_4kangjc', '[User]_wanghenshui'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1427
2023-05-04 11:14:47+00:00,[User]_ChanphongGu,"{'[User]_luky116', '[User]_chejinge', '[User]_ChanphongGu', '[User]_wanghenshui'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1428
2023-05-05 05:09:03+00:00,[User]_zhangyijun,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1433
2023-05-05 07:34:38+00:00,[User]_ChanphongGu,"{'[User]_ChanphongGu', '[User]_wanghenshui'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1434
2023-05-05 14:08:07+00:00,[User]_A2ureStone,"{'[User]_A2ureStone', '[User]_wanghenshui'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1439
2023-05-06 05:34:30+00:00,[User]_4kangjc,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1440
2023-05-06 06:44:03+00:00,[User]_1321034767,"{'[User]_1321034767', '[User]_yaoyinnan'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1441
2023-05-06 12:24:36+00:00,[User]_yaoyinnan,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1443
2023-05-06 12:26:38+00:00,[User]_yaoyinnan,"{'[User]_4kangjc', '[User]_cubxxw', '[User]_yaoyinnan', '[User]_ChanphongGu', '[User]_Joeyzsy', '[User]_We1less1111'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1444
2023-05-06 12:31:10+00:00,[User]_yaoyinnan,"{'[User]_A2ureStone', '[User]_yaoyinnan', '[User]_lcq1509529'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1445
2023-05-06 13:18:41+00:00,[User]_wangchuande,{'[User]_wangchuande'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1447
2023-05-06 14:44:20+00:00,[User]_lqxhub,"{'[User]_wanghenshui', '[User]_lqxhub'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1448
2023-05-06 15:44:20+00:00,[User]_wangchuande,"{'[User]_wangchuande', '[User]_lqxhub'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1449
2023-05-06 15:48:28+00:00,[User]_lqxhub,"{'[User]_wanghenshui', '[User]_lqxhub'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1450
2023-05-06 19:09:54+00:00,[User]_A2ureStone,"{'[User]_A2ureStone', '[User]_chejinge', '[User]_wanghenshui', '[User]_lqxhub'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1451
2023-05-07 03:15:29+00:00,[User]_gitveg,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1452
2023-05-07 04:21:54+00:00,[User]_gitveg,"{'[User]_gitveg', '[User]_chejinge'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1453
2023-05-07 06:31:49+00:00,[User]_lqxhub,{'[User]_luky116'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1454
2023-05-07 07:06:12+00:00,[User]_wangchuande,"{'[User]_Tangruilin', '[User]_chejinge'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1455
2023-05-07 07:32:56+00:00,[User]_lqxhub,"{'[User]_wanghenshui', '[User]_lqxhub'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1456
2023-05-07 08:39:13+00:00,[User]_wangchuande,"{'[User]_wangchuande', '[User]_lqxhub'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1457
2023-05-08 03:26:25+00:00,[User]_luky116,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1459
2023-05-08 04:00:58+00:00,[User]_machinly,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1460
2023-05-08 05:32:43+00:00,[User]_luky116,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1462
2023-05-08 06:45:39+00:00,[User]_luky116,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1463
2023-05-08 12:54:03+00:00,[User]_machinly,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1464
2023-05-09 04:38:44+00:00,[User]_chejinge,"{'[User]_chejinge', '[User]_wanghenshui', '[User]_ForestLH'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1465
2023-05-09 07:33:14+00:00,[User]_luky116,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1467
2023-05-09 08:00:35+00:00,[User]_chejinge,"{'[User]_luky116', '[User]_chejinge', '[User]_wanghenshui'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1469
2023-05-09 13:35:52+00:00,[User]_chiehwarm,"{'[User]_luky116', '[User]_chiehwarm'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1471
2023-05-09 14:34:14+00:00,[User]_chejinge,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1473
2023-05-09 15:07:07+00:00,[User]_lqxhub,{'[User]_luky116'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1475
2023-05-10 06:36:47+00:00,[User]_chejinge,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1478
2023-05-10 09:30:57+00:00,[User]_Mixficsol,"{'[User]_Mixficsol', '[User]_lqxhub'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1479
2023-05-10 14:06:48+00:00,[User]_elihe999,"{'[User]_elihe999', '[User]_wanghenshui'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1480
2023-05-11 03:49:56+00:00,[User]_chejinge,"{'[User]_luky116', '[User]_chejinge'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1481
2023-05-11 04:05:46+00:00,[User]_Mixficsol,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1482
2023-05-11 05:57:01+00:00,[User]_4kangjc,{'[User]_chejinge'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1483
2023-05-11 07:34:19+00:00,[User]_chejinge,"{'[User]_chejinge', '[User]_EAHITechnology'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1484
2023-05-11 07:37:20+00:00,[User]_chejinge,"{'[User]_chejinge', '[User]_yaoyinnan', '[User]_ForestLH'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1485
2023-05-11 08:59:11+00:00,[User]_GRHSSS222,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1486
2023-05-11 13:24:58+00:00,[User]_Mixficsol,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1487
2023-05-11 14:36:55+00:00,[User]_lqxhub,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1489
2023-05-12 09:19:50+00:00,[User]_chejinge,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1490
2023-05-12 10:28:16+00:00,[User]_luky116,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1491
2023-05-12 10:29:57+00:00,[User]_luky116,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1492
2023-05-12 14:12:02+00:00,[User]_iiiuwioajdks,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1494
2023-05-12 14:35:29+00:00,[User]_cheniujh,{'[User]_luky116'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1495
2023-05-13 06:39:53+00:00,[User]_iiiuwioajdks,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1496
2023-05-13 06:40:35+00:00,[User]_chejinge,"{'[User]_machinly', '[User]_chejinge', '[User]_lqxhub'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1497
2023-05-13 08:16:11+00:00,[User]_iiiuwioajdks,"{'[User]_Brokenice0415', '[User]_lqxhub'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1498
2023-05-13 09:22:02+00:00,[User]_iiiuwioajdks,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1499
2023-05-14 11:28:23+00:00,[User]_chejinge,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1501
2023-05-14 13:31:58+00:00,[User]_A2ureStone,"{'[User]_A2ureStone', '[User]_luky116'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1502
2023-05-14 15:27:26+00:00,[User]_cheniujh,"{'[User]_luky116', '[User]_chejinge', '[User]_cheniujh'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1503
2023-05-16 10:02:25+00:00,[User]_StevenG3,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1505
2023-05-16 13:50:28+00:00,[User]_cheniujh,"{'[User]_luky116', '[User]_cheniujh'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1506
2023-05-17 02:45:49+00:00,[User]_chejinge,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1507
2023-05-17 04:15:01+00:00,[User]_luky116,{'[User]_yaoyinnan'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1508
2023-05-17 04:40:01+00:00,[User]_chejinge,{'[User]_luky116'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1509
2023-05-17 06:39:50+00:00,[User]_chenbt-hz,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1510
2023-05-17 09:37:21+00:00,[User]_chejinge,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1511
2023-05-17 12:22:37+00:00,[User]_liuqian1990,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1512
2023-05-18 08:14:22+00:00,[User]_chejinge,{'[User]_chejinge'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1516
2023-05-18 10:32:41+00:00,[User]_luky116,{'[User]_ptbxzrt'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1517
2023-05-18 14:36:32+00:00,[User]_luky116,"{'[User]_luky116', '[User]_wang1309'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1518
2023-05-18 15:36:21+00:00,[User]_luky116,{'[User]_liuqian1990'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1519
2023-05-18 15:53:54+00:00,[User]_luky116,{'[User]_ForestLH'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1521
2023-05-18 16:51:01+00:00,[User]_luky116,{'[User]_lqxhub'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1522
2023-05-18 17:21:15+00:00,[User]_Brokenice0415,"{'[User]_wangchuande', '[User]_chejinge', '[User]_Brokenice0415'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1523
2023-05-19 03:12:50+00:00,[User]_chejinge,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1524
2023-05-19 07:57:11+00:00,[User]_luky116,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1526
2023-05-19 11:31:41+00:00,[User]_luky116,"{'[User]_iiiuwioajdks', '[User]_chejinge'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1528
2023-05-19 12:07:52+00:00,[User]_yaoyinnan,{'[User]_Yangsx-1'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1529
2023-05-20 02:10:22+00:00,[User]_liuqian1990,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1530
2023-05-20 02:10:52+00:00,[User]_liuqian1990,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1531
2023-05-20 02:46:57+00:00,[User]_liuqian1990,{'[User]_wanghenshui'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1532
2023-05-20 02:47:13+00:00,[User]_liuqian1990,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1533
2023-05-20 10:04:42+00:00,[User]_machinly,{'[User]_lqxhub'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1534
2023-05-20 11:34:45+00:00,[User]_chenbt-hz,{'[User]_machinly'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1538
2023-05-20 12:55:49+00:00,[User]_cheniujh,{'[User]_chejinge'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1539
2023-05-20 13:14:42+00:00,[User]_Brokenice0415,"{'[User]_chejinge', '[User]_wanghenshui', '[User]_Brokenice0415'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/pull/1540
2023-05-22 01:46:08+00:00,[User]_ForestLH,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1541
2023-05-22 12:31:32+00:00,[User]_chejinge,{'[User]_chejinge'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1544
2023-05-22 12:39:49+00:00,[User]_chejinge,{'[User]_orangesapor'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1545
2023-05-23 05:19:28+00:00,[User]_luky116,"{'[User]_luky116', '[User]_Yangsx-1'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1546
2023-05-23 09:54:46+00:00,[User]_luky116,"{'[User]_chejinge', '[User]_is-shidian'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1547
2023-05-24 02:23:20+00:00,[User]_luky116,"{'[User]_luky116', '[User]_ATX735', '[User]_chejinge'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1550
2023-05-30 03:14:03+00:00,[User]_yaoyinnan,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1559
2023-05-31 02:04:00+00:00,[User]_kolinfluence,"{'[User]_kolinfluence', '[User]_chejinge'}",OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1562
2023-05-31 04:47:53+00:00,[User]_luky116,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1563
2023-06-01 05:30:07+00:00,[User]_yaoyinnan,set(),OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1565
2023-06-01 05:33:35+00:00,[User]_yaoyinnan,{'[User]_yaoyinnan'},OpenAtomFoundation/pika,2023,https://github.com/OpenAtomFoundation/pika/issues/1566
