startTime,createUser,commentsUser,proj,year,url
2023-05-31 16:02:37+00:00,[User]_yarikoptic,"{'[User]_cameronwhite', '[User]_yarikoptic'}",PintaProject/Pinta,2023,https://github.com/PintaProject/Pinta/pull/258
2023-07-12 21:13:14+00:00,[User]_Lehonti,"{'[User]_cameronwhite', '[User]_Lehonti'}",PintaProject/Pinta,2023,https://github.com/PintaProject/Pinta/pull/263
2023-07-16 20:02:11+00:00,[User]_Lehonti,{'[User]_cameronwhite'},PintaProject/Pinta,2023,https://github.com/PintaProject/Pinta/pull/264
2023-07-16 23:13:50+00:00,[User]_Lehonti,set(),PintaProject/Pinta,2023,https://github.com/PintaProject/Pinta/pull/265
2023-07-17 08:30:54+00:00,[User]_Lehonti,"{'[User]_cameronwhite', '[User]_Lehonti'}",PintaProject/Pinta,2023,https://github.com/PintaProject/Pinta/pull/267
2023-07-18 00:31:01+00:00,[User]_Lehonti,"{'[User]_cameronwhite', '[User]_Lehonti'}",PintaProject/Pinta,2023,https://github.com/PintaProject/Pinta/pull/268
2023-07-18 15:48:18+00:00,[User]_Lehonti,set(),PintaProject/Pinta,2023,https://github.com/PintaProject/Pinta/pull/269
2023-07-18 18:34:08+00:00,[User]_Lehonti,"{'[User]_cameronwhite', '[User]_Lehonti'}",PintaProject/Pinta,2023,https://github.com/PintaProject/Pinta/pull/270
2023-07-20 00:23:54+00:00,[User]_Lehonti,"{'[User]_cameronwhite', '[User]_Lehonti'}",PintaProject/Pinta,2023,https://github.com/PintaProject/Pinta/pull/271
2023-07-20 15:58:33+00:00,[User]_Lehonti,"{'[User]_cameronwhite', '[User]_Lehonti'}",PintaProject/Pinta,2023,https://github.com/PintaProject/Pinta/pull/272
2023-07-21 21:47:08+00:00,[User]_Lehonti,set(),PintaProject/Pinta,2023,https://github.com/PintaProject/Pinta/pull/273
2023-07-31 23:34:40+00:00,[User]_Lehonti,{'[User]_cameronwhite'},PintaProject/Pinta,2023,https://github.com/PintaProject/Pinta/pull/274
2023-08-01 02:00:04+00:00,[User]_Lehonti,set(),PintaProject/Pinta,2023,https://github.com/PintaProject/Pinta/pull/275
