startTime,createUser,commentsUser,proj,year,url
2023-06-08 10:03:18+00:00,[User]_jvmlet,"{'[User]_jvmlet', '[User]_TimHess'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1132
2023-06-13 19:27:15+00:00,[User]_TimHess,{'[User]_ccheetham'},SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1135
2023-06-27 11:36:25+00:00,[User]_bart-vmware,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1136
2023-07-04 17:35:23+00:00,[User]_har-bw,"{'[User]_har-bw', '[User]_TimHess'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1137
2023-07-10 14:38:03+00:00,[User]_bart-vmware,"{'[User]_bart-vmware', '[User]_TimHess'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1139
2023-07-10 14:59:18+00:00,[User]_bart-vmware,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1140
2023-07-18 14:15:12+00:00,[User]_bart-vmware,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1144
2023-07-20 09:24:19+00:00,[User]_tigerplush,{'[User]_TimHess'},SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1147
2023-07-24 21:40:29+00:00,[User]_JackInTheBoxBen,"{'[User]_JackInTheBoxBen', '[User]_hananiel'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1150
2023-07-27 15:33:41+00:00,[User]_TimHess,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1154
2023-07-28 16:04:51+00:00,[User]_bart-vmware,"{'[User]_bart-vmware', '[User]_hananiel'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1155
2023-08-04 20:38:48+00:00,[User]_hananiel,"{'[User]_bart-vmware', '[User]_TimHess'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1156
2023-08-08 21:04:00+00:00,[User]_hananiel,{'[User]_hananiel'},SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1157
2023-08-14 15:49:57+00:00,[User]_bart-vmware,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1159
2023-08-15 13:04:46+00:00,[User]_bart-vmware,{'[User]_bart-vmware'},SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1161
2023-08-15 16:12:46+00:00,[User]_bart-vmware,"{'[User]_hananiel', '[User]_TimHess'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1162
2023-08-16 14:06:25+00:00,[User]_bart-vmware,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1163
2023-08-21 09:48:51+00:00,[User]_Bassam-Rahat,"{'[User]_hananiel', '[User]_TimHess'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1164
2023-08-27 06:49:24+00:00,[User]_cieciurm,"{'[User]_cieciurm', '[User]_hananiel'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1167
2023-08-30 02:14:08+00:00,[User]_hananiel,"{'[User]_hananiel', '[User]_TimHess'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1169
2023-08-31 15:36:49+00:00,[User]_bart-vmware,{'[User]_TimHess'},SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1171
2023-09-05 11:21:12+00:00,[User]_bart-vmware,"{'[User]_bart-vmware', '[User]_TimHess'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1172
2023-09-05 12:36:13+00:00,[User]_bart-vmware,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1173
2023-09-07 09:27:57+00:00,[User]_bart-vmware,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1174
2023-09-07 10:10:13+00:00,[User]_bart-vmware,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1175
2023-09-07 10:20:34+00:00,[User]_bart-vmware,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1176
2023-09-08 00:10:29+00:00,[User]_414004738,"{'[User]_donssmith', '[User]_douggish', '[User]_414004738', '[User]_TimHess'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1178
2023-09-08 16:05:41+00:00,[User]_bart-vmware,"{'[User]_bart-vmware', '[User]_TimHess'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1179
2023-09-11 09:43:30+00:00,[User]_bart-vmware,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1181
2023-09-15 06:08:04+00:00,[User]_bart-vmware,{'[User]_TimHess'},SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1183
2023-09-18 14:21:15+00:00,[User]_bart-vmware,{'[User]_TimHess'},SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1184
2023-09-27 12:58:12+00:00,[User]_xXAvoraXx,"{'[User]_xXAvoraXx', '[User]_TimHess'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1186
2023-09-27 14:03:18+00:00,[User]_bart-vmware,"{'[User]_hananiel', '[User]_TimHess'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1187
2023-09-28 22:08:50+00:00,[User]_hananiel,"{'[User]_bart-vmware', '[User]_TimHess'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1188
2023-10-04 18:25:21+00:00,[User]_TimHess,"{'[User]_bart-vmware', '[User]_TimHess'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1195
2023-10-09 20:48:54+00:00,[User]_TimHess,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1199
2023-10-12 15:57:55+00:00,[User]_hananiel,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1202
2023-10-12 20:46:39+00:00,[User]_lastsignal,"{'[User]_lastsignal', '[User]_bart-vmware', '[User]_hananiel'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1203
2023-10-17 12:26:37+00:00,[User]_bart-vmware,{'[User]_hananiel'},SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1204
2023-10-18 14:29:24+00:00,[User]_bart-vmware,{'[User]_bart-vmware'},SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1205
2023-10-19 13:19:53+00:00,[User]_bart-vmware,"{'[User]_bart-vmware', '[User]_TimHess'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1206
2023-10-30 11:49:01+00:00,[User]_bart-vmware,{'[User]_TimHess'},SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1209
2023-10-30 21:04:42+00:00,[User]_TimHess,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1210
2023-10-31 21:03:28+00:00,[User]_TimHess,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1211
2023-11-01 11:55:21+00:00,[User]_bart-vmware,{'[User]_TimHess'},SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1212
2023-11-02 19:56:09+00:00,[User]_TimHess,{'[User]_bart-vmware'},SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1214
2023-11-17 19:52:34+00:00,[User]_douggish,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1217
2023-11-17 20:13:24+00:00,[User]_douggish,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1218
2023-11-20 12:04:07+00:00,[User]_bart-vmware,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1220
2023-11-21 14:02:16+00:00,[User]_ggreen,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1221
2023-12-01 14:07:38+00:00,[User]_bart-vmware,{'[User]_TimHess'},SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1225
2023-12-06 20:20:20+00:00,[User]_douggish,"{'[User]_douggish', '[User]_bart-vmware', '[User]_TimHess'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1226
2023-12-07 14:26:09+00:00,[User]_bart-vmware,"{'[User]_bart-vmware', '[User]_TimHess'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/pull/1228
2023-12-12 19:58:40+00:00,[User]_TimHess,set(),SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1231
2023-12-23 11:27:07+00:00,[User]_thompson-tomo,"{'[User]_thompson-tomo', '[User]_TimHess'}",SteeltoeOSS/Steeltoe,2023,https://github.com/SteeltoeOSS/Steeltoe/issues/1236
