startTime,createUser,commentsUser,proj,year,url
2023-05-01 00:19:50+00:00,[User]_johankie1985,set(),THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/878
2023-05-01 08:17:15+00:00,[User]_gantengdoang-gacukup,set(),THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/879
2023-05-01 11:39:29+00:00,[User]_terlalumenarik,set(),THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/880
2023-05-01 11:40:24+00:00,[User]_PowerRanger88,set(),THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/881
2023-05-01 11:43:20+00:00,[User]_PowerRanger88,set(),THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/882
2023-05-01 11:45:53+00:00,[User]_PowerRanger88,set(),THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/883
2023-05-01 11:48:23+00:00,[User]_terlalumenarik,set(),THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/884
2023-05-01 12:18:55+00:00,[User]_TerlaluOP,set(),THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/885
2023-05-01 12:24:12+00:00,[User]_TerlaluOP,set(),THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/886
2023-05-01 13:09:16+00:00,[User]_Gakbisaapa2,set(),THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/887
2023-05-01 21:19:29+00:00,[User]_ngbruce,set(),THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/888
2023-05-01 23:24:54+00:00,[User]_yazong,set(),THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/889
2023-05-02 01:46:00+00:00,[User]_YueGeek,"{'[User]_xiao1014', '[User]_w4o'}",THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/890
2023-05-02 03:41:28+00:00,[User]_Sangatganas,set(),THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/891
2023-05-02 03:48:12+00:00,[User]_Sangatganas,set(),THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/892
2023-05-02 03:51:25+00:00,[User]_Sangatganas,set(),THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/893
2023-05-02 06:47:27+00:00,[User]_Sangatganas,set(),THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/894
2023-05-02 06:54:29+00:00,[User]_Sangatganas,{'[User]_HongyuJiang'},THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/895
2023-05-02 13:26:21+00:00,[User]_Unknown-egetables,"{'[User]_Unknown-egetables', '[User]_ZhangErling'}",THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/897
2023-05-03 01:21:18+00:00,[User]_XianglongTan,"{'[User]_duzx16', '[User]_SwartzMss'}",THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/898
2023-05-03 07:16:31+00:00,[User]_yfyang86,"{'[User]_zhaozhiming', '[User]_StruggleYang', '[User]_duzx16', '[User]_yfyang86'}",THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/pull/899
2023-05-03 07:19:28+00:00,[User]_louishust,"{'[User]_Crazycatter', '[User]_duzx16'}",THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/900
2023-05-03 07:40:07+00:00,[User]_zilingliyu,set(),THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/901
2023-05-03 12:39:14+00:00,[User]_LQDWJY,{'[User]_newiep'},THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/pull/902
2023-05-04 02:10:34+00:00,[User]_ccartermices,{'[User]_invado'},THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/903
2023-05-04 05:17:24+00:00,[User]_hunkren,"{'[User]_invado', '[User]_sliontc', '[User]_mainxx', '[User]_xmlv'}",THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/904
2023-05-04 06:45:25+00:00,[User]_KELL066,"{'[User]_surviveMiao', '[User]_space0o0', '[User]_lizongzhi'}",THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/905
2023-05-04 06:50:45+00:00,[User]_cowarder,set(),THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/906
2023-05-04 06:58:07+00:00,[User]_Qingluan,"{'[User]_realhsq', '[User]_CrazyBrick', '[User]_204313508', '[User]_Qingluan'}",THUDM/ChatGLM-6B,2023,https://github.com/THUDM/ChatGLM-6B/issues/908
