startTime,createUser,commentsUser,proj,year,url
2023-05-22 11:14:33+00:00,[User]_sennett,"{'[User]_wdavidw', '[User]_sennett'}",adaltas/node-csv,2023,https://github.com/adaltas/node-csv/issues/389
2023-05-23 16:01:58+00:00,[User]_eliamaino-fp,"{'[User]_wdavidw', '[User]_eliamaino-fp'}",adaltas/node-csv,2023,https://github.com/adaltas/node-csv/pull/390
2023-06-26 18:34:39+00:00,[User]_gregfenton,"{'[User]_wdavidw', '[User]_gregfenton'}",adaltas/node-csv,2023,https://github.com/adaltas/node-csv/pull/392
2023-06-28 14:08:36+00:00,[User]_Keyacom,{'[User]_wdavidw'},adaltas/node-csv,2023,https://github.com/adaltas/node-csv/issues/393
2023-07-06 15:56:17+00:00,[User]_dcsan,"{'[User]_dcsan', '[User]_wdavidw'}",adaltas/node-csv,2023,https://github.com/adaltas/node-csv/issues/394
2023-07-07 14:21:15+00:00,[User]_ilvjan,{'[User]_wdavidw'},adaltas/node-csv,2023,https://github.com/adaltas/node-csv/issues/395
2023-07-30 06:11:37+00:00,[User]_lgandras,"{'[User]_wdavidw', '[User]_lgandras'}",adaltas/node-csv,2023,https://github.com/adaltas/node-csv/issues/396
2023-08-09 15:03:24+00:00,[User]_DavidTanner,"{'[User]_DavidTanner', '[User]_wdavidw'}",adaltas/node-csv,2023,https://github.com/adaltas/node-csv/pull/397
2023-08-16 10:15:04+00:00,[User]_master-maintenance1-peer-connect,"{'[User]_wdavidw', '[User]_PabloReszczynski', '[User]_ermi-ltd'}",adaltas/node-csv,2023,https://github.com/adaltas/node-csv/issues/398
2023-08-19 06:20:37+00:00,[User]_lgandras,{'[User]_wdavidw'},adaltas/node-csv,2023,https://github.com/adaltas/node-csv/issues/399
2023-08-31 09:07:40+00:00,[User]_cawoodm,"{'[User]_carlbleick', '[User]_noahunify', '[User]_hadyrashwan', '[User]_wdavidw'}",adaltas/node-csv,2023,https://github.com/adaltas/node-csv/issues/400
2023-08-31 23:40:27+00:00,[User]_DaveCole,{'[User]_wdavidw'},adaltas/node-csv,2023,https://github.com/adaltas/node-csv/issues/401
2023-09-22 08:20:19+00:00,[User]_PaulFarault,set(),adaltas/node-csv,2023,https://github.com/adaltas/node-csv/pull/402
2023-11-03 20:49:02+00:00,[User]_dsl400,{'[User]_wdavidw'},adaltas/node-csv,2023,https://github.com/adaltas/node-csv/issues/403
2023-11-04 06:18:25+00:00,[User]_tohagan,"{'[User]_tohagan', '[User]_wdavidw'}",adaltas/node-csv,2023,https://github.com/adaltas/node-csv/issues/404
2023-11-10 23:49:15+00:00,[User]_coldenate,{'[User]_wdavidw'},adaltas/node-csv,2023,https://github.com/adaltas/node-csv/pull/405
2023-11-20 16:54:10+00:00,[User]_MatteoGauthier,{'[User]_wdavidw'},adaltas/node-csv,2023,https://github.com/adaltas/node-csv/issues/406
2023-11-23 08:30:02+00:00,[User]_bennycode,"{'[User]_wdavidw', '[User]_bennycode', '[User]_0xCAFEADD1C7'}",adaltas/node-csv,2023,https://github.com/adaltas/node-csv/issues/407
2023-12-06 11:04:55+00:00,[User]_langco,set(),adaltas/node-csv,2023,https://github.com/adaltas/node-csv/issues/409
2023-12-06 21:12:31+00:00,[User]_slifty,{'[User]_slifty'},adaltas/node-csv,2023,https://github.com/adaltas/node-csv/issues/410
2023-12-07 15:14:44+00:00,[User]_omerlh,set(),adaltas/node-csv,2023,https://github.com/adaltas/node-csv/issues/411
2023-12-10 09:45:16+00:00,[User]_DevRockstarZ,{'[User]_hadyrashwan'},adaltas/node-csv,2023,https://github.com/adaltas/node-csv/issues/412
2023-12-12 12:40:40+00:00,[User]_t1a2l,"{'[User]_wdavidw', '[User]_t1a2l'}",adaltas/node-csv,2023,https://github.com/adaltas/node-csv/issues/413
2024-01-24 16:35:01+00:00,[User]_jivung,"{'[User]_wdavidw', '[User]_datu925'}",adaltas/node-csv,2024,https://github.com/adaltas/node-csv/issues/414
2024-02-06 04:01:36+00:00,[User]_jlarmstrongiv,"{'[User]_jlarmstrongiv', '[User]_wdavidw'}",adaltas/node-csv,2024,https://github.com/adaltas/node-csv/issues/415
2024-02-07 00:20:53+00:00,[User]_mmarkell,set(),adaltas/node-csv,2024,https://github.com/adaltas/node-csv/issues/416
2024-02-08 14:58:25+00:00,[User]_itstueben,"{'[User]_wdavidw', '[User]_itstueben'}",adaltas/node-csv,2024,https://github.com/adaltas/node-csv/issues/417
2024-02-09 18:04:25+00:00,[User]_BigGillyStyle,{'[User]_wdavidw'},adaltas/node-csv,2024,https://github.com/adaltas/node-csv/pull/418
2024-02-10 09:36:28+00:00,[User]_bluelovers,"{'[User]_wdavidw', '[User]_bluelovers'}",adaltas/node-csv,2024,https://github.com/adaltas/node-csv/issues/419
2024-02-12 11:19:47+00:00,[User]_bluelovers,{'[User]_wdavidw'},adaltas/node-csv,2024,https://github.com/adaltas/node-csv/pull/420
2024-02-27 11:22:25+00:00,[User]_cohlar,{'[User]_wdavidw'},adaltas/node-csv,2024,https://github.com/adaltas/node-csv/issues/421
2024-03-14 23:13:06+00:00,[User]_andrews05,set(),adaltas/node-csv,2024,https://github.com/adaltas/node-csv/issues/422
2024-03-26 23:55:17+00:00,[User]_jlarmstrongiv,set(),adaltas/node-csv,2024,https://github.com/adaltas/node-csv/issues/423
2024-04-05 01:09:00+00:00,[User]_ariona,{'[User]_wdavidw'},adaltas/node-csv,2024,https://github.com/adaltas/node-csv/issues/424
2024-04-16 06:09:22+00:00,[User]_aownewane,set(),adaltas/node-csv,2024,https://github.com/adaltas/node-csv/pull/425
2024-04-16 07:01:29+00:00,[User]_aownewane,set(),adaltas/node-csv,2024,https://github.com/adaltas/node-csv/pull/426
