startTime,createUser,commentsUser,proj,year,url
2023-05-01 18:29:19+00:00,[User]_asmacdo,"{'[User]_zhan9san', '[User]_ssbarnea', '[User]_asmacdo', '[User]_ziegenberg', '[User]_alessfg', '[User]_hswong3i'}",ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3904
2023-05-03 13:38:57+00:00,[User]_ssbarnea,{'[User]_ajinkyau'},ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3906
2023-05-03 14:02:16+00:00,[User]_kloczek,"{'[User]_kloczek', '[User]_ssbarnea'}",ansible-community/molecule,2023,https://github.com/ansible-community/molecule/issues/3908
2023-05-05 07:33:15+00:00,[User]_root-ali,{'[User]_root-ali'},ansible-community/molecule,2023,https://github.com/ansible-community/molecule/issues/3909
2023-05-11 03:38:21+00:00,[User]_samiam,{'[User]_ssbarnea'},ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3911
2023-05-11 03:45:27+00:00,[User]_samiam,"{'[User]_apatard', '[User]_samiam'}",ansible-community/molecule,2023,https://github.com/ansible-community/molecule/issues/3912
2023-05-11 05:20:41+00:00,[User]_nandac,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/issues/3913
2023-05-11 08:59:40+00:00,[User]_LarsKumbier,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3915
2023-05-16 07:32:29+00:00,[User]_zhan9san,"{'[User]_zhan9san', '[User]_ziegenberg'}",ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3916
2023-05-16 13:26:45+00:00,[User]_watsonb,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/issues/3917
2023-05-16 19:48:19+00:00,[User]_ssbarnea,"{'[User]_trishnaguha', '[User]_ssbarnea', '[User]_apatard', '[User]_MarkusTeufelberger', '[User]_kksat', '[User]_robertdebock'}",ansible-community/molecule,2023,https://github.com/ansible-community/molecule/issues/3918
2023-05-19 06:27:40+00:00,[User]_ssbarnea,"{'[User]_zhan9san', '[User]_ssbarnea', '[User]_tima', '[User]_apatard', '[User]_konstruktoid', '[User]_cidrblock', '[User]_kksat'}",ansible-community/molecule,2023,https://github.com/ansible-community/molecule/issues/3919
2023-05-19 06:29:53+00:00,[User]_ssbarnea,"{'[User]_trishnaguha', '[User]_davedittrich', '[User]_tima', '[User]_apatard', '[User]_pimvh'}",ansible-community/molecule,2023,https://github.com/ansible-community/molecule/issues/3920
2023-05-19 06:38:11+00:00,[User]_ssbarnea,"{'[User]_ssbarnea', '[User]_apatard', '[User]_geerlingguy', '[User]_kksat', '[User]_robertdebock'}",ansible-community/molecule,2023,https://github.com/ansible-community/molecule/issues/3921
2023-05-25 14:32:42+00:00,[User]_rtakasuke,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3923
2023-05-25 14:51:24+00:00,[User]_ziegenberg,{'[User]_ziegenberg'},ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3924
2023-06-04 22:51:53+00:00,[User]_dgibbs64,"{'[User]_zhan9san', '[User]_dgibbs64', '[User]_ziegenberg', '[User]_ssbarnea'}",ansible-community/molecule,2023,https://github.com/ansible-community/molecule/issues/3926
2023-06-06 14:12:21+00:00,[User]_ziegenberg,{'[User]_ssbarnea'},ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3928
2023-06-07 18:48:26+00:00,[User]_zollo,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/issues/3930
2023-06-08 14:14:06+00:00,[User]_cidrblock,{'[User]_tima'},ansible-community/molecule,2023,https://github.com/ansible-community/molecule/issues/3931
2023-06-09 13:57:59+00:00,[User]_zollo,{'[User]_ssbarnea'},ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3932
2023-06-14 16:23:14+00:00,[User]_Tom-Kun,{'[User]_mcdonnnj'},ansible-community/molecule,2023,https://github.com/ansible-community/molecule/issues/3934
2023-06-18 04:27:49+00:00,[User]_geerlingguy,{'[User]_zhan9san'},ansible-community/molecule,2023,https://github.com/ansible-community/molecule/issues/3935
2023-06-23 11:26:52+00:00,[User]_ssbarnea,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3938
2023-06-23 14:33:28+00:00,[User]_zollo,{'[User]_ssbarnea'},ansible-community/molecule,2023,https://github.com/ansible-community/molecule/issues/3939
2023-06-23 15:01:12+00:00,[User]_ssbarnea,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3940
2023-06-24 09:35:49+00:00,[User]_ysebastia,"{'[User]_ysebastia', '[User]_apatard', '[User]_jimboolio'}",ansible-community/molecule,2023,https://github.com/ansible-community/molecule/issues/3945
2023-06-27 16:19:02+00:00,[User]_ssbarnea,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3946
2023-06-29 11:12:13+00:00,[User]_ssbarnea,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3947
2023-06-29 11:40:44+00:00,[User]_ssbarnea,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3948
2023-06-30 18:47:15+00:00,[User]_ssbarnea,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3949
2023-07-01 12:19:10+00:00,[User]_ssbarnea,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3950
2023-07-01 14:31:51+00:00,[User]_ssbarnea,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3951
2023-07-03 08:30:19+00:00,[User]_ssbarnea,{'[User]_ajinkyau'},ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3952
2023-07-03 10:26:56+00:00,[User]_ssbarnea,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3953
2023-07-03 11:11:57+00:00,[User]_ssbarnea,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3954
2023-07-03 15:22:40+00:00,[User]_ssbarnea,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3955
2023-07-04 14:43:46+00:00,[User]_ssbarnea,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3956
2023-07-04 15:40:29+00:00,[User]_apatard,"{'[User]_apatard', '[User]_ssbarnea'}",ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3957
2023-07-05 07:27:55+00:00,[User]_ssbarnea,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3958
2023-07-08 11:58:57+00:00,[User]_ssbarnea,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3959
2023-07-10 13:18:44+00:00,[User]_ssbarnea,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3960
2023-07-10 14:14:51+00:00,[User]_ssbarnea,set(),ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3961
2023-07-10 15:54:50+00:00,[User]_ssbarnea,{'[User]_zhan9san'},ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3962
2023-07-11 11:42:53+00:00,[User]_ssbarnea,{'[User]_ThomasSanson'},ansible-community/molecule,2023,https://github.com/ansible-community/molecule/issues/3963
2023-07-11 13:17:27+00:00,[User]_ssbarnea,"{'[User]_apatard', '[User]_ssbarnea'}",ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3964
2023-07-12 15:06:56+00:00,[User]_ssbarnea,"{'[User]_cidrblock', '[User]_zhan9san', '[User]_ajinkyau'}",ansible-community/molecule,2023,https://github.com/ansible-community/molecule/pull/3966
2023-07-12 21:52:22+00:00,[User]_konstruktoid,"{'[User]_konstruktoid', '[User]_apatard', '[User]_cidrblock'}",ansible-community/molecule,2023,https://github.com/ansible-community/molecule/issues/3967
