startTime,createUser,commentsUser,proj,year,url
2023-05-01 17:10:21+00:00,[User]_sfc-gh-xwang,"{'[User]_sfc-gh-akejriwal', '[User]_sfc-gh-jshim', '[User]_foundationdb-ci', '[User]_fdb-windows-ci'}",apple/foundationdb,2023,https://github.com/apple/foundationdb/pull/10082
2023-05-01 18:44:04+00:00,[User]_sfc-gh-clin,"{'[User]_jzhou77', '[User]_sfc-gh-clin', '[User]_foundationdb-ci', '[User]_fdb-windows-ci'}",apple/foundationdb,2023,https://github.com/apple/foundationdb/pull/10083
2023-05-01 19:20:21+00:00,[User]_sfc-gh-huliu,"{'[User]_sfc-gh-etschannen', '[User]_sfc-gh-akejriwal', '[User]_foundationdb-ci', '[User]_fdb-windows-ci'}",apple/foundationdb,2023,https://github.com/apple/foundationdb/pull/10084
2023-05-01 19:47:18+00:00,[User]_sfc-gh-ajbeamon,"{'[User]_sfc-gh-akejriwal', '[User]_foundationdb-ci', '[User]_fdb-windows-ci'}",apple/foundationdb,2023,https://github.com/apple/foundationdb/pull/10085
2023-05-01 21:24:43+00:00,[User]_sfc-gh-etschannen,"{'[User]_foundationdb-ci', '[User]_fdb-windows-ci'}",apple/foundationdb,2023,https://github.com/apple/foundationdb/pull/10088
2023-05-01 22:44:54+00:00,[User]_sfc-gh-jfu,"{'[User]_sfc-gh-ljoswiak', '[User]_sfc-gh-jfu', '[User]_sfc-gh-clin', '[User]_foundationdb-ci', '[User]_fdb-windows-ci', '[User]_jzhou77'}",apple/foundationdb,2023,https://github.com/apple/foundationdb/pull/10089
2023-05-01 23:23:37+00:00,[User]_sfc-gh-sgwydir,"{'[User]_sfc-gh-sgwydir', '[User]_sfc-gh-jshim', '[User]_foundationdb-ci', '[User]_fdb-windows-ci'}",apple/foundationdb,2023,https://github.com/apple/foundationdb/pull/10090
2023-05-02 02:46:14+00:00,[User]_sfc-gh-huliu,"{'[User]_sfc-gh-satherton', '[User]_sfc-gh-etschannen', '[User]_foundationdb-ci', '[User]_fdb-windows-ci', '[User]_sfc-gh-huliu'}",apple/foundationdb,2023,https://github.com/apple/foundationdb/pull/10091
2023-05-02 15:28:02+00:00,[User]_sfc-gh-ajbeamon,"{'[User]_sfc-gh-vgasiunas', '[User]_foundationdb-ci', '[User]_fdb-windows-ci'}",apple/foundationdb,2023,https://github.com/apple/foundationdb/pull/10093
2023-05-02 15:45:06+00:00,[User]_sfc-gh-ajbeamon,"{'[User]_sfc-gh-akejriwal', '[User]_sfc-gh-vgasiunas', '[User]_foundationdb-ci', '[User]_fdb-windows-ci'}",apple/foundationdb,2023,https://github.com/apple/foundationdb/pull/10094
2023-05-02 15:45:06+00:00,[User]_sfc-gh-jslocum,"{'[User]_sfc-gh-vgasiunas', '[User]_foundationdb-ci', '[User]_fdb-windows-ci'}",apple/foundationdb,2023,https://github.com/apple/foundationdb/pull/10095
2023-05-02 15:47:48+00:00,[User]_sfc-gh-ajbeamon,"{'[User]_sfc-gh-tclinkenbeard', '[User]_foundationdb-ci', '[User]_fdb-windows-ci'}",apple/foundationdb,2023,https://github.com/apple/foundationdb/pull/10096
2023-05-02 16:36:35+00:00,[User]_sfc-gh-dadkins,"{'[User]_sfc-gh-tclinkenbeard', '[User]_foundationdb-ci', '[User]_fdb-windows-ci'}",apple/foundationdb,2023,https://github.com/apple/foundationdb/pull/10097
