startTime,createUser,commentsUser,proj,year,url
2023-05-01 03:14:04+00:00,[User]_ksoze95,set(),audacity/audacity,2023,https://github.com/audacity/audacity/issues/4640
2023-05-01 03:35:14+00:00,[User]_ksoze95,"{'[User]_crsib', '[User]_ksoze95'}",audacity/audacity,2023,https://github.com/audacity/audacity/pull/4641
2023-05-02 10:36:18+00:00,[User]_petersampsonaudacity,{'[User]_LWinterberg'},audacity/audacity,2023,https://github.com/audacity/audacity/issues/4642
2023-05-02 16:44:54+00:00,[User]_crsib,"{'[User]_haleba-hotmail', '[User]_vsverchinsky', '[User]_applecuckoo'}",audacity/audacity,2023,https://github.com/audacity/audacity/pull/4643
2023-05-03 06:12:12+00:00,[User]_PandaJim,{'[User]_crsib'},audacity/audacity,2023,https://github.com/audacity/audacity/issues/4645
2023-05-03 08:32:36+00:00,[User]_mrbumpy409,"{'[User]_crsib', '[User]_mrbumpy409'}",audacity/audacity,2023,https://github.com/audacity/audacity/issues/4646
2023-05-03 08:56:15+00:00,[User]_DavidBailes,{'[User]_vsverchinsky'},audacity/audacity,2023,https://github.com/audacity/audacity/pull/4647
2023-05-03 09:13:50+00:00,[User]_saintmatthieu,{'[User]_dozzzzer'},audacity/audacity,2023,https://github.com/audacity/audacity/issues/4648
2023-05-03 10:23:30+00:00,[User]_crsib,set(),audacity/audacity,2023,https://github.com/audacity/audacity/pull/4649
2023-05-03 11:11:57+00:00,[User]_Paul-Licameli,"{'[User]_dozzzzer', '[User]_Paul-Licameli', '[User]_vsverchinsky'}",audacity/audacity,2023,https://github.com/audacity/audacity/pull/4650
2023-05-03 11:22:31+00:00,[User]_Paul-Licameli,"{'[User]_crsib', '[User]_Paul-Licameli'}",audacity/audacity,2023,https://github.com/audacity/audacity/pull/4651
2023-05-03 11:33:00+00:00,[User]_crsib,"{'[User]_LWinterberg', '[User]_MylesOfXyloto', '[User]_dozzzzer'}",audacity/audacity,2023,https://github.com/audacity/audacity/issues/4652
2023-05-03 12:16:21+00:00,[User]_JohnColket,"{'[User]_LWinterberg', '[User]_JohnColket'}",audacity/audacity,2023,https://github.com/audacity/audacity/issues/4653
2023-05-03 19:10:44+00:00,[User]_crsib,"{'[User]_Paul-Licameli', '[User]_vsverchinsky'}",audacity/audacity,2023,https://github.com/audacity/audacity/pull/4654
2023-05-03 22:59:54+00:00,[User]_bnaseath,set(),audacity/audacity,2023,https://github.com/audacity/audacity/issues/4655
2023-05-03 23:34:40+00:00,[User]_zb3,"{'[User]_crsib', '[User]_leigh123linux', '[User]_zb3'}",audacity/audacity,2023,https://github.com/audacity/audacity/issues/4656
2023-05-04 07:06:19+00:00,[User]_Gootector,"{'[User]_crsib', '[User]_Gootector'}",audacity/audacity,2023,https://github.com/audacity/audacity/pull/4657
2023-05-04 08:35:25+00:00,[User]_saintmatthieu,"{'[User]_crsib', '[User]_saintmatthieu'}",audacity/audacity,2023,https://github.com/audacity/audacity/issues/4659
2023-05-04 10:51:52+00:00,[User]_crsib,"{'[User]_crsib', '[User]_vsverchinsky'}",audacity/audacity,2023,https://github.com/audacity/audacity/pull/4661
2023-05-04 17:23:54+00:00,[User]_dozzzzer,{'[User]_dozzzzer'},audacity/audacity,2023,https://github.com/audacity/audacity/issues/4663
2023-05-05 08:39:22+00:00,[User]_DavidBailes,"{'[User]_petersampsonaudacity', '[User]_dozzzzer'}",audacity/audacity,2023,https://github.com/audacity/audacity/issues/4665
2023-05-05 08:54:09+00:00,[User]_crsib,{'[User]_vsverchinsky'},audacity/audacity,2023,https://github.com/audacity/audacity/pull/4666
2023-05-05 11:48:51+00:00,[User]_dozzzzer,set(),audacity/audacity,2023,https://github.com/audacity/audacity/issues/4667
2023-05-05 23:34:31+00:00,[User]_vsverchinsky,"{'[User]_DavidBailes', '[User]_LWinterberg', '[User]_crsib', '[User]_vsverchinsky', '[User]_petersampsonaudacity'}",audacity/audacity,2023,https://github.com/audacity/audacity/pull/4668
2023-05-05 23:50:35+00:00,[User]_yarndinasti,"{'[User]_yarndinasti', '[User]_dozzzzer'}",audacity/audacity,2023,https://github.com/audacity/audacity/issues/4669
2023-05-06 10:37:02+00:00,[User]_petersampsonaudacity,{'[User]_DavidBailes'},audacity/audacity,2023,https://github.com/audacity/audacity/issues/4670
2023-05-06 11:28:44+00:00,[User]_RJVB,"{'[User]_anil-arise1600', '[User]_DanAmoyal', '[User]_RJVB'}",audacity/audacity,2023,https://github.com/audacity/audacity/issues/4671
2023-05-06 11:48:49+00:00,[User]_RJVB,{'[User]_RJVB'},audacity/audacity,2023,https://github.com/audacity/audacity/issues/4672
2023-05-06 12:06:58+00:00,[User]_RJVB,set(),audacity/audacity,2023,https://github.com/audacity/audacity/issues/4673
2023-05-06 20:36:36+00:00,[User]_timtas,{'[User]_Adi0706'},audacity/audacity,2023,https://github.com/audacity/audacity/issues/4674
2023-05-07 03:08:53+00:00,[User]_gmankab,{'[User]_LWinterberg'},audacity/audacity,2023,https://github.com/audacity/audacity/issues/4675
2023-05-08 13:25:31+00:00,[User]_dozzzzer,{'[User]_petersampsonaudacity'},audacity/audacity,2023,https://github.com/audacity/audacity/issues/4677
2023-05-08 14:49:47+00:00,[User]_DavidBailes,"{'[User]_crsib', '[User]_petersampsonaudacity', '[User]_dozzzzer'}",audacity/audacity,2023,https://github.com/audacity/audacity/pull/4678
2023-05-09 01:14:55+00:00,[User]_GuiPassoskt,{'[User]_JohnColket'},audacity/audacity,2023,https://github.com/audacity/audacity/issues/4679
2023-05-09 13:40:47+00:00,[User]_Paul-Licameli,"{'[User]_saintmatthieu', '[User]_Paul-Licameli'}",audacity/audacity,2023,https://github.com/audacity/audacity/pull/4680
2023-05-10 11:23:46+00:00,[User]_Paul-Licameli,set(),audacity/audacity,2023,https://github.com/audacity/audacity/issues/4683
2023-05-10 11:33:50+00:00,[User]_Paul-Licameli,"{'[User]_crsib', '[User]_Paul-Licameli'}",audacity/audacity,2023,https://github.com/audacity/audacity/pull/4684
2023-05-10 11:35:32+00:00,[User]_thexmarat,{'[User]_dozzzzer'},audacity/audacity,2023,https://github.com/audacity/audacity/issues/4685
2023-05-12 08:20:59+00:00,[User]_ma9991,{'[User]_ma9991'},audacity/audacity,2023,https://github.com/audacity/audacity/issues/4686
2023-05-12 11:12:10+00:00,[User]_ma9991,set(),audacity/audacity,2023,https://github.com/audacity/audacity/issues/4687
2023-05-13 14:15:29+00:00,[User]_alopatindev,set(),audacity/audacity,2023,https://github.com/audacity/audacity/issues/4689
2023-05-13 20:05:54+00:00,[User]_shankarsivarajan,"{'[User]_tristan00b', '[User]_LWinterberg', '[User]_petersampsonaudacity', '[User]_shankarsivarajan'}",audacity/audacity,2023,https://github.com/audacity/audacity/issues/4690
2023-05-14 01:01:05+00:00,[User]_ell1e,set(),audacity/audacity,2023,https://github.com/audacity/audacity/issues/4691
2023-05-14 05:02:42+00:00,[User]_Charlie-Ramirez-Animation-Studios-de-MX,{'[User]_LWinterberg'},audacity/audacity,2023,https://github.com/audacity/audacity/issues/4692
2023-05-14 10:37:01+00:00,[User]_ma9991,{'[User]_ma9991'},audacity/audacity,2023,https://github.com/audacity/audacity/issues/4693
2023-05-15 12:53:55+00:00,[User]_glaubersm,{'[User]_LWinterberg'},audacity/audacity,2023,https://github.com/audacity/audacity/issues/4696
2023-05-15 17:45:07+00:00,[User]_jnevin,"{'[User]_crsib', '[User]_Ryan-Miller-Audacity', '[User]_jnevin'}",audacity/audacity,2023,https://github.com/audacity/audacity/issues/4697
2023-05-16 09:11:26+00:00,[User]_dozzzzer,set(),audacity/audacity,2023,https://github.com/audacity/audacity/issues/4699
2023-05-17 06:34:16+00:00,[User]_saintmatthieu,set(),audacity/audacity,2023,https://github.com/audacity/audacity/issues/4700
2023-05-17 13:16:40+00:00,[User]_saintmatthieu,"{'[User]_crsib', '[User]_saintmatthieu', '[User]_Paul-Licameli'}",audacity/audacity,2023,https://github.com/audacity/audacity/pull/4701
2023-05-17 18:51:44+00:00,[User]_JohnColket,"{'[User]_LWinterberg', '[User]_petersampsonaudacity', '[User]_dozzzzer'}",audacity/audacity,2023,https://github.com/audacity/audacity/issues/4702
2023-05-17 21:47:02+00:00,[User]_Djard,"{'[User]_dozzzzer', '[User]_Djard'}",audacity/audacity,2023,https://github.com/audacity/audacity/issues/4703
2023-05-17 22:31:37+00:00,[User]_kae0-0,"{'[User]_kae0-0', '[User]_LWinterberg'}",audacity/audacity,2023,https://github.com/audacity/audacity/issues/4704
2023-05-18 02:23:39+00:00,[User]_g-easy,"{'[User]_LWinterberg', '[User]_petersampsonaudacity', '[User]_dozzzzer', '[User]_g-easy'}",audacity/audacity,2023,https://github.com/audacity/audacity/issues/4705
2023-05-18 12:38:50+00:00,[User]_ksoze95,set(),audacity/audacity,2023,https://github.com/audacity/audacity/issues/4706
2023-05-18 12:40:54+00:00,[User]_ksoze95,set(),audacity/audacity,2023,https://github.com/audacity/audacity/issues/4707
