startTime,createUser,commentsUser,proj,year,url
2023-05-01 05:11:33+00:00,[User]_Shubhdeep12,"{'[User]_Shubhdeep12', '[User]_jwala-anirudh', '[User]_PeerRich'}",calcom/cal.com,2023,https://github.com/calcom/cal.com/issues/8592
2023-05-01 08:30:56+00:00,[User]_milospuac,"{'[User]_afrieirham', '[User]_CarinaWolli', '[User]_emrysal', '[User]_manasCodes13'}",calcom/cal.com,2023,https://github.com/calcom/cal.com/issues/8594
2023-05-01 12:50:38+00:00,[User]_hariombalhara,"{'[User]_hariombalhara', '[User]_sumitshinde-84'}",calcom/cal.com,2023,https://github.com/calcom/cal.com/issues/8600
2023-05-01 12:55:24+00:00,[User]_hariombalhara,{'[User]_zeeshanbhati'},calcom/cal.com,2023,https://github.com/calcom/cal.com/issues/8601
2023-05-01 13:39:17+00:00,[User]_Praneeth2k,"{'[User]_Praneeth2k', '[User]_ameeetgaikwad', '[User]_Sheikh-JamirAlam'}",calcom/cal.com,2023,https://github.com/calcom/cal.com/issues/8602
2023-05-01 20:15:53+00:00,[User]_Udit-takkar,{'[User]_oneknucklehead'},calcom/cal.com,2023,https://github.com/calcom/cal.com/issues/8611
2023-05-02 04:06:34+00:00,[User]_praveentestkit,"{'[User]_PeerRich', '[User]_praveentestkit', '[User]_keithwillcode', '[User]_zeeshanbhati'}",calcom/cal.com,2023,https://github.com/calcom/cal.com/issues/8615
2023-05-02 08:08:44+00:00,[User]_AbleLincoln,"{'[User]_hariombalhara', '[User]_AbleLincoln', '[User]_elhadis', '[User]_shohan2001'}",calcom/cal.com,2023,https://github.com/calcom/cal.com/issues/8617
2023-05-02 19:48:50+00:00,[User]_Udit-takkar,"{'[User]_skushagra9', '[User]_Udit-takkar', '[User]_Ksh1t1j', '[User]_Saga-sanga', '[User]_Adithya2907', '[User]_MaheshB77', '[User]_RayAsh37'}",calcom/cal.com,2023,https://github.com/calcom/cal.com/issues/8628
2023-05-03 02:22:19+00:00,[User]_Hielyr,"{'[User]_PeerRich', '[User]_vedant-jain03'}",calcom/cal.com,2023,https://github.com/calcom/cal.com/issues/8631
2023-05-03 04:21:47+00:00,[User]_cnhhoang850,"{'[User]_PeerRich', '[User]_joe-shajan', '[User]_AbleLincoln'}",calcom/cal.com,2023,https://github.com/calcom/cal.com/issues/8634
