startTime,createUser,commentsUser,proj,year,url
2023-05-03 17:27:43+00:00,[User]_abdalahshaban07,"{'[User]_abdalahshaban07', '[User]_xidedix'}",coreui/coreui-free-angular-admin-template,2023,https://github.com/coreui/coreui-free-angular-admin-template/issues/248
2023-05-03 21:56:14+00:00,[User]_abdalahshaban07,"{'[User]_abdalahshaban07', '[User]_xidedix'}",coreui/coreui-free-angular-admin-template,2023,https://github.com/coreui/coreui-free-angular-admin-template/issues/249
2023-10-07 09:07:57+00:00,[User]_lidaowa123,{'[User]_xidedix'},coreui/coreui-free-angular-admin-template,2023,https://github.com/coreui/coreui-free-angular-admin-template/pull/250
2023-11-07 15:02:29+00:00,[User]_Porkechebure,{'[User]_xidedix'},coreui/coreui-free-angular-admin-template,2023,https://github.com/coreui/coreui-free-angular-admin-template/issues/251
2023-11-12 23:18:04+00:00,[User]_arnaldorigo,set(),coreui/coreui-free-angular-admin-template,2023,https://github.com/coreui/coreui-free-angular-admin-template/pull/252
2023-11-16 19:16:35+00:00,[User]_arnaldorigo,set(),coreui/coreui-free-angular-admin-template,2023,https://github.com/coreui/coreui-free-angular-admin-template/pull/253
2023-11-30 12:01:05+00:00,[User]_Macombija,{'[User]_Macombija'},coreui/coreui-free-angular-admin-template,2023,https://github.com/coreui/coreui-free-angular-admin-template/pull/254
2023-11-30 12:02:32+00:00,[User]_Macombija,"{'[User]_Macombija', '[User]_xidedix'}",coreui/coreui-free-angular-admin-template,2023,https://github.com/coreui/coreui-free-angular-admin-template/pull/255
2023-12-08 03:51:08+00:00,[User]_Macombija,{'[User]_xidedix'},coreui/coreui-free-angular-admin-template,2023,https://github.com/coreui/coreui-free-angular-admin-template/pull/257
2023-12-11 16:11:49+00:00,[User]_sayem7746,set(),coreui/coreui-free-angular-admin-template,2023,https://github.com/coreui/coreui-free-angular-admin-template/pull/258
2024-01-07 15:58:42+00:00,[User]_AshishSahuJi,{'[User]_AshishSahuJi'},coreui/coreui-free-angular-admin-template,2024,https://github.com/coreui/coreui-free-angular-admin-template/pull/259
2024-03-08 11:57:44+00:00,[User]_astrickland-im,{'[User]_xidedix'},coreui/coreui-free-angular-admin-template,2024,https://github.com/coreui/coreui-free-angular-admin-template/issues/260
2024-04-03 07:46:43+00:00,[User]_Bykiev,"{'[User]_xidedix', '[User]_Bykiev'}",coreui/coreui-free-angular-admin-template,2024,https://github.com/coreui/coreui-free-angular-admin-template/issues/261
