startTime,createUser,commentsUser,proj,year,url
2023-05-01 17:03:57+00:00,[User]_ahnsws,"{'[User]_jrbourbeau', '[User]_ahnsws'}",dask/dask,2023,https://github.com/dask/dask/issues/10242
2023-05-01 20:01:39+00:00,[User]_j-bennet,"{'[User]_jrbourbeau', '[User]_j-bennet'}",dask/dask,2023,https://github.com/dask/dask/pull/10244
2023-05-02 10:17:36+00:00,[User]_phofl,"{'[User]_jrbourbeau', '[User]_phofl'}",dask/dask,2023,https://github.com/dask/dask/pull/10245
2023-05-02 10:32:06+00:00,[User]_phofl,"{'[User]_jrbourbeau', '[User]_phofl'}",dask/dask,2023,https://github.com/dask/dask/pull/10246
2023-05-02 14:31:47+00:00,[User]_erayaslan,"{'[User]_rjzamora', '[User]_pentschev', '[User]_erayaslan'}",dask/dask,2023,https://github.com/dask/dask/pull/10247
2023-05-02 17:47:06+00:00,[User]_jrbourbeau,{'[User]_phofl'},dask/dask,2023,https://github.com/dask/dask/pull/10248
2023-05-03 10:10:50+00:00,[User]_phofl,set(),dask/dask,2023,https://github.com/dask/dask/pull/10249
2023-05-03 11:33:27+00:00,[User]_phofl,"{'[User]_phofl', '[User]_hendrikmakait'}",dask/dask,2023,https://github.com/dask/dask/pull/10250
2023-05-03 12:31:11+00:00,[User]_phofl,"{'[User]_jrbourbeau', '[User]_phofl', '[User]_j-bennet', '[User]_hendrikmakait'}",dask/dask,2023,https://github.com/dask/dask/pull/10251
2023-05-03 12:44:05+00:00,[User]_phofl,"{'[User]_jrbourbeau', '[User]_phofl'}",dask/dask,2023,https://github.com/dask/dask/pull/10252
2023-05-03 15:05:21+00:00,[User]_phofl,"{'[User]_phofl', '[User]_j-bennet'}",dask/dask,2023,https://github.com/dask/dask/pull/10253
2023-05-03 16:41:12+00:00,[User]_jrbourbeau,{'[User]_jrbourbeau'},dask/dask,2023,https://github.com/dask/dask/pull/10254
2023-05-04 00:35:52+00:00,[User]_j-bennet,"{'[User]_phofl', '[User]_j-bennet'}",dask/dask,2023,https://github.com/dask/dask/pull/10255
2023-05-04 07:45:11+00:00,[User]_phofl,"{'[User]_jrbourbeau', '[User]_frainz-de', '[User]_phofl', '[User]_j-bennet'}",dask/dask,2023,https://github.com/dask/dask/pull/10256
2023-05-04 09:05:45+00:00,[User]_phofl,"{'[User]_jrbourbeau', '[User]_phofl'}",dask/dask,2023,https://github.com/dask/dask/pull/10257
2023-05-04 09:56:12+00:00,[User]_phofl,"{'[User]_jrbourbeau', '[User]_phofl', '[User]_j-bennet'}",dask/dask,2023,https://github.com/dask/dask/pull/10258
2023-05-04 10:53:02+00:00,[User]_phofl,"{'[User]_phofl', '[User]_j-bennet'}",dask/dask,2023,https://github.com/dask/dask/pull/10259
2023-05-04 13:18:24+00:00,[User]_phofl,"{'[User]_phofl', '[User]_j-bennet'}",dask/dask,2023,https://github.com/dask/dask/pull/10261
2023-05-04 13:51:15+00:00,[User]_phofl,"{'[User]_jrbourbeau', '[User]_phofl', '[User]_mrocklin', '[User]_j-bennet'}",dask/dask,2023,https://github.com/dask/dask/pull/10262
2023-05-04 14:08:12+00:00,[User]_novdanody,"{'[User]_jrbourbeau', '[User]_GPUtester'}",dask/dask,2023,https://github.com/dask/dask/pull/10263
2023-05-04 15:29:10+00:00,[User]_phofl,"{'[User]_jrbourbeau', '[User]_phofl', '[User]_j-bennet'}",dask/dask,2023,https://github.com/dask/dask/pull/10264
2023-05-05 14:53:41+00:00,[User]_phofl,set(),dask/dask,2023,https://github.com/dask/dask/issues/10265
2023-05-05 15:48:15+00:00,[User]_mrocklin,set(),dask/dask,2023,https://github.com/dask/dask/pull/10266
2023-05-06 16:51:25+00:00,[User]_grandrew,{'[User]_grandrew'},dask/dask,2023,https://github.com/dask/dask/issues/10268
2023-05-07 18:30:32+00:00,[User]_Illviljan,"{'[User]_jrbourbeau', '[User]_Illviljan'}",dask/dask,2023,https://github.com/dask/dask/pull/10269
2023-05-07 20:08:31+00:00,[User]_shughes-uk,"{'[User]_shughes-uk', '[User]_fjetter', '[User]_milesgranger'}",dask/dask,2023,https://github.com/dask/dask/issues/10270
2023-05-08 16:39:02+00:00,[User]_jrbourbeau,"{'[User]_jrbourbeau', '[User]_j-bennet'}",dask/dask,2023,https://github.com/dask/dask/pull/10271
2023-05-09 15:59:21+00:00,[User]_nkhabarov-exos,"{'[User]_rjzamora', '[User]_nkhabarov-exos'}",dask/dask,2023,https://github.com/dask/dask/issues/10272
2023-05-10 02:19:19+00:00,[User]_mdwgrogan,"{'[User]_fjetter', '[User]_mdwgrogan'}",dask/dask,2023,https://github.com/dask/dask/issues/10273
2023-05-10 15:41:10+00:00,[User]_scottstanie,"{'[User]_scottstanie', '[User]_j-bennet'}",dask/dask,2023,https://github.com/dask/dask/issues/10274
2023-05-11 09:28:03+00:00,[User]_fjetter,{'[User]_fjetter'},dask/dask,2023,https://github.com/dask/dask/issues/10275
2023-05-11 15:08:45+00:00,[User]_fjetter,"{'[User]_hansmohrmann', '[User]_fjetter', '[User]_martindurant'}",dask/dask,2023,https://github.com/dask/dask/issues/10276
2023-05-12 16:08:42+00:00,[User]_rcomer,"{'[User]_rcomer', '[User]_quasiben'}",dask/dask,2023,https://github.com/dask/dask/issues/10278
2023-05-13 23:23:39+00:00,[User]_phofl,"{'[User]_jrbourbeau', '[User]_phofl'}",dask/dask,2023,https://github.com/dask/dask/pull/10280
2023-05-14 02:05:36+00:00,[User]_j-bennet,"{'[User]_j-bennet', '[User]_hendrikmakait'}",dask/dask,2023,https://github.com/dask/dask/pull/10281
2023-05-14 11:21:29+00:00,[User]_Oreilles,"{'[User]_phofl', '[User]_j-bennet'}",dask/dask,2023,https://github.com/dask/dask/issues/10282
2023-05-14 22:44:41+00:00,[User]_j-bennet,"{'[User]_jrbourbeau', '[User]_phofl', '[User]_j-bennet', '[User]_jacobtomlinson'}",dask/dask,2023,https://github.com/dask/dask/pull/10283
2023-05-15 07:15:10+00:00,[User]_LUOXIAO92,set(),dask/dask,2023,https://github.com/dask/dask/issues/10284
2023-05-15 08:48:16+00:00,[User]_phofl,"{'[User]_jrbourbeau', '[User]_phofl'}",dask/dask,2023,https://github.com/dask/dask/pull/10285
2023-05-15 14:36:12+00:00,[User]_jacobtomlinson,"{'[User]_jrbourbeau', '[User]_jacobtomlinson', '[User]_hendrikmakait'}",dask/dask,2023,https://github.com/dask/dask/pull/10286
2023-05-15 15:37:35+00:00,[User]_mrocklin,{'[User]_jrbourbeau'},dask/dask,2023,https://github.com/dask/dask/pull/10288
2023-05-15 16:27:31+00:00,[User]_j-bennet,"{'[User]_phofl', '[User]_Oreilles', '[User]_j-bennet'}",dask/dask,2023,https://github.com/dask/dask/pull/10289
2023-05-16 02:41:57+00:00,[User]_rjzamora,"{'[User]_jrbourbeau', '[User]_rjzamora'}",dask/dask,2023,https://github.com/dask/dask/pull/10290
2023-05-16 18:58:32+00:00,[User]_kasparthommen,"{'[User]_kasparthommen', '[User]_fjetter'}",dask/dask,2023,https://github.com/dask/dask/issues/10292
2023-05-17 14:28:33+00:00,[User]_jacobtomlinson,"{'[User]_rjzamora', '[User]_fjetter', '[User]_jacobtomlinson'}",dask/dask,2023,https://github.com/dask/dask/pull/10294
2023-05-17 15:06:03+00:00,[User]_graingert,"{'[User]_jrbourbeau', '[User]_phofl', '[User]_crusaderky', '[User]_graingert'}",dask/dask,2023,https://github.com/dask/dask/pull/10295
2023-05-18 06:29:37+00:00,[User]_kasparthommen,{'[User]_paciorek'},dask/dask,2023,https://github.com/dask/dask/issues/10297
2023-05-18 10:31:29+00:00,[User]_guidocioni,"{'[User]_ianozsvald', '[User]_guidocioni'}",dask/dask,2023,https://github.com/dask/dask/issues/10298
2023-05-18 14:25:22+00:00,[User]_phofl,{'[User]_jrbourbeau'},dask/dask,2023,https://github.com/dask/dask/pull/10299
2023-05-18 20:00:12+00:00,[User]_jrbourbeau,"{'[User]_jrbourbeau', '[User]_hendrikmakait'}",dask/dask,2023,https://github.com/dask/dask/pull/10300
2023-05-18 22:03:25+00:00,[User]_phofl,"{'[User]_jrbourbeau', '[User]_phofl'}",dask/dask,2023,https://github.com/dask/dask/pull/10301
2023-05-20 13:48:20+00:00,[User]_phofl,{'[User]_jrbourbeau'},dask/dask,2023,https://github.com/dask/dask/pull/10304
2023-05-20 13:48:51+00:00,[User]_phofl,"{'[User]_jrbourbeau', '[User]_phofl'}",dask/dask,2023,https://github.com/dask/dask/pull/10305
2023-05-20 18:21:18+00:00,[User]_rcomer,{'[User]_rcomer'},dask/dask,2023,https://github.com/dask/dask/pull/10306
2023-05-22 17:56:01+00:00,[User]_jrbourbeau,"{'[User]_jrbourbeau', '[User]_phofl'}",dask/dask,2023,https://github.com/dask/dask/pull/10307
2023-05-22 20:07:50+00:00,[User]_jrbourbeau,{'[User]_phofl'},dask/dask,2023,https://github.com/dask/dask/pull/10308
2023-05-23 23:35:38+00:00,[User]_j-bennet,"{'[User]_graingert', '[User]_j-bennet', '[User]_hendrikmakait'}",dask/dask,2023,https://github.com/dask/dask/pull/10309
2023-05-24 15:53:08+00:00,[User]_rjzamora,"{'[User]_rjzamora', '[User]_hendrikmakait'}",dask/dask,2023,https://github.com/dask/dask/pull/10312
2023-05-24 17:20:18+00:00,[User]_phofl,"{'[User]_jrbourbeau', '[User]_phofl', '[User]_hendrikmakait'}",dask/dask,2023,https://github.com/dask/dask/pull/10313
2023-05-24 17:59:44+00:00,[User]_graingert,{'[User]_jrbourbeau'},dask/dask,2023,https://github.com/dask/dask/pull/10314
2023-05-25 10:29:12+00:00,[User]_graingert,"{'[User]_mrocklin', '[User]_j-bennet'}",dask/dask,2023,https://github.com/dask/dask/issues/10315
2023-05-25 15:23:09+00:00,[User]_charlesbluca,"{'[User]_jrbourbeau', '[User]_jakirkham', '[User]_charlesbluca'}",dask/dask,2023,https://github.com/dask/dask/pull/10316
2023-05-26 10:29:37+00:00,[User]_crusaderky,{'[User]_hendrikmakait'},dask/dask,2023,https://github.com/dask/dask/pull/10318
2023-05-26 17:17:20+00:00,[User]_jrbourbeau,{'[User]_hendrikmakait'},dask/dask,2023,https://github.com/dask/dask/pull/10319
2023-05-26 20:52:02+00:00,[User]_rjzamora,"{'[User]_rjzamora', '[User]_jrbourbeau', '[User]_hendrikmakait'}",dask/dask,2023,https://github.com/dask/dask/pull/10320
2023-05-27 00:24:49+00:00,[User]_j-bennet,"{'[User]_fjetter', '[User]_j-bennet', '[User]_crusaderky'}",dask/dask,2023,https://github.com/dask/dask/pull/10321
2023-05-28 20:06:36+00:00,[User]_sj-ucsd,"{'[User]_jrbourbeau', '[User]_sj-ucsd', '[User]_hendrikmakait'}",dask/dask,2023,https://github.com/dask/dask/issues/10322
2023-05-30 17:36:48+00:00,[User]_j-bennet,"{'[User]_j-bennet', '[User]_hendrikmakait'}",dask/dask,2023,https://github.com/dask/dask/pull/10323
2023-05-31 00:12:15+00:00,[User]_carshadi,"{'[User]_jrbourbeau', '[User]_carshadi'}",dask/dask,2023,https://github.com/dask/dask/issues/10324
