startTime,createUser,commentsUser,proj,year,url
2023-05-25 23:29:04+00:00,[User]_antonio-fr,{'[User]_antonio-fr'},epicmaxco/vuestic-admin,2023,https://github.com/epicmaxco/vuestic-admin/issues/915
2023-06-10 04:03:01+00:00,[User]_wossig,{'[User]_wossig'},epicmaxco/vuestic-admin,2023,https://github.com/epicmaxco/vuestic-admin/issues/917
2023-06-15 09:44:15+00:00,[User]_EugenGedroyc,{'[User]_EugenGedroyc'},epicmaxco/vuestic-admin,2023,https://github.com/epicmaxco/vuestic-admin/issues/918
2023-06-23 09:24:44+00:00,[User]_m0ksem,set(),epicmaxco/vuestic-admin,2023,https://github.com/epicmaxco/vuestic-admin/issues/919
2023-06-27 10:40:27+00:00,[User]_m0ksem,set(),epicmaxco/vuestic-admin,2023,https://github.com/epicmaxco/vuestic-admin/pull/921
2023-07-11 15:42:28+00:00,[User]_asvae,{'[User]_asvae'},epicmaxco/vuestic-admin,2023,https://github.com/epicmaxco/vuestic-admin/issues/922
2023-07-20 10:27:23+00:00,[User]_asvae,set(),epicmaxco/vuestic-admin,2023,https://github.com/epicmaxco/vuestic-admin/pull/925
2023-07-20 11:10:14+00:00,[User]_asvae,{'[User]_asvae'},epicmaxco/vuestic-admin,2023,https://github.com/epicmaxco/vuestic-admin/issues/926
2023-07-25 17:45:01+00:00,[User]_asvae,set(),epicmaxco/vuestic-admin,2023,https://github.com/epicmaxco/vuestic-admin/pull/928
2023-07-26 18:00:14+00:00,[User]_asvae,{'[User]_OxSama'},epicmaxco/vuestic-admin,2023,https://github.com/epicmaxco/vuestic-admin/issues/929
2023-08-04 22:29:14+00:00,[User]_OxSama,{'[User]_asvae'},epicmaxco/vuestic-admin,2023,https://github.com/epicmaxco/vuestic-admin/pull/930
2023-08-06 18:08:51+00:00,[User]_thekepaag,set(),epicmaxco/vuestic-admin,2023,https://github.com/epicmaxco/vuestic-admin/issues/931
2023-08-23 13:36:22+00:00,[User]_asvae,set(),epicmaxco/vuestic-admin,2023,https://github.com/epicmaxco/vuestic-admin/issues/932
2023-08-23 17:49:10+00:00,[User]_asvae,{'[User]_m0ksem'},epicmaxco/vuestic-admin,2023,https://github.com/epicmaxco/vuestic-admin/pull/933
2023-08-29 11:53:30+00:00,[User]_asvae,set(),epicmaxco/vuestic-admin,2023,https://github.com/epicmaxco/vuestic-admin/issues/934
2023-08-30 17:13:59+00:00,[User]_asvae,set(),epicmaxco/vuestic-admin,2023,https://github.com/epicmaxco/vuestic-admin/issues/935
2023-08-30 17:39:06+00:00,[User]_asvae,{'[User]_asvae'},epicmaxco/vuestic-admin,2023,https://github.com/epicmaxco/vuestic-admin/issues/936
2023-08-31 09:33:38+00:00,[User]_asvae,set(),epicmaxco/vuestic-admin,2023,https://github.com/epicmaxco/vuestic-admin/issues/937
