startTime,createUser,commentsUser,proj,year,url
2023-05-01 04:42:28+00:00,[User]_lovesharepc,"{'[User]_AndrewDryga', '[User]_alpacaccp', '[User]_lovesharepc', '[User]_jamilbk', '[User]_stevo11811'}",firezone/firezone,2023,https://github.com/firezone/firezone/issues/1578
2023-05-01 17:39:11+00:00,[User]_lilibobear,"{'[User]_jamilbk', '[User]_lilibobear', '[User]_coveralls'}",firezone/firezone,2023,https://github.com/firezone/firezone/pull/1579
2023-05-01 21:28:12+00:00,[User]_jamilbk,{'[User]_AndrewDryga'},firezone/firezone,2023,https://github.com/firezone/firezone/pull/1580
2023-05-01 23:37:13+00:00,[User]_jamilbk,{'[User]_coveralls'},firezone/firezone,2023,https://github.com/firezone/firezone/pull/1581
2023-05-02 02:00:34+00:00,[User]_jamilbk,"{'[User]_lilibobear', '[User]_coveralls'}",firezone/firezone,2023,https://github.com/firezone/firezone/pull/1582
2023-05-02 02:05:08+00:00,[User]_jamilbk,{'[User]_coveralls'},firezone/firezone,2023,https://github.com/firezone/firezone/pull/1583
2023-05-02 09:41:34+00:00,[User]_alpacaccp,"{'[User]_AndrewDryga', '[User]_alpacaccp', '[User]_itsazzad'}",firezone/firezone,2023,https://github.com/firezone/firezone/issues/1584
2023-05-02 19:25:35+00:00,[User]_lilibobear,{'[User]_coveralls'},firezone/firezone,2023,https://github.com/firezone/firezone/pull/1585
2023-05-03 17:42:33+00:00,[User]_AndrewDryga,"{'[User]_jamilbk', '[User]_coveralls'}",firezone/firezone,2023,https://github.com/firezone/firezone/pull/1586
2023-05-03 17:51:19+00:00,[User]_AndrewDryga,"{'[User]_jamilbk', '[User]_coveralls'}",firezone/firezone,2023,https://github.com/firezone/firezone/pull/1587
2023-05-04 22:05:55+00:00,[User]_jamilbk,{'[User]_coveralls'},firezone/firezone,2023,https://github.com/firezone/firezone/pull/1591
2023-05-04 22:20:23+00:00,[User]_jamilbk,{'[User]_coveralls'},firezone/firezone,2023,https://github.com/firezone/firezone/pull/1592
2023-05-05 10:23:59+00:00,[User]_alpacaccp,{'[User]_jamilbk'},firezone/firezone,2023,https://github.com/firezone/firezone/issues/1593
2023-05-06 17:12:21+00:00,[User]_zoulja,"{'[User]_zoulja', '[User]_jamilbk'}",firezone/firezone,2023,https://github.com/firezone/firezone/issues/1595
2023-05-06 17:37:11+00:00,[User]_kutsav,"{'[User]_kutsav', '[User]_jamilbk'}",firezone/firezone,2023,https://github.com/firezone/firezone/issues/1596
2023-05-08 16:02:51+00:00,[User]_thomaseizinger,"{'[User]_AndrewDryga', '[User]_coveralls', '[User]_thomaseizinger', '[User]_jamilbk'}",firezone/firezone,2023,https://github.com/firezone/firezone/pull/1597
2023-05-08 18:11:06+00:00,[User]_thomaseizinger,"{'[User]_AndrewDryga', '[User]_thomaseizinger', '[User]_conectado'}",firezone/firezone,2023,https://github.com/firezone/firezone/pull/1598
2023-05-08 18:29:28+00:00,[User]_jamilbk,"{'[User]_AndrewDryga', '[User]_jamilbk'}",firezone/firezone,2023,https://github.com/firezone/firezone/pull/1599
2023-05-08 19:48:32+00:00,[User]_jamilbk,{'[User]_jamilbk'},firezone/firezone,2023,https://github.com/firezone/firezone/pull/1600
2023-05-08 22:16:07+00:00,[User]_jamilbk,{'[User]_coveralls'},firezone/firezone,2023,https://github.com/firezone/firezone/pull/1601
2023-05-09 14:29:56+00:00,[User]_thomaseizinger,"{'[User]_thomaseizinger', '[User]_conectado'}",firezone/firezone,2023,https://github.com/firezone/firezone/pull/1603
2023-05-10 22:24:42+00:00,[User]_thomaseizinger,"{'[User]_jamilbk', '[User]_thomaseizinger', '[User]_conectado'}",firezone/firezone,2023,https://github.com/firezone/firezone/pull/1604
2023-05-11 09:28:36+00:00,[User]_thomaseizinger,{'[User]_jamilbk'},firezone/firezone,2023,https://github.com/firezone/firezone/pull/1605
2023-05-11 09:43:06+00:00,[User]_thomaseizinger,{'[User]_jamilbk'},firezone/firezone,2023,https://github.com/firezone/firezone/pull/1606
2023-05-11 10:23:20+00:00,[User]_Busurman83,set(),firezone/firezone,2023,https://github.com/firezone/firezone/issues/1607
2023-05-12 07:31:20+00:00,[User]_washcroft,"{'[User]_jamilbk', '[User]_washcroft'}",firezone/firezone,2023,https://github.com/firezone/firezone/issues/1608
2023-05-15 19:02:46+00:00,[User]_thomaseizinger,"{'[User]_thomaseizinger', '[User]_jamilbk'}",firezone/firezone,2023,https://github.com/firezone/firezone/pull/1610
2023-05-15 19:14:52+00:00,[User]_thomaseizinger,{'[User]_jamilbk'},firezone/firezone,2023,https://github.com/firezone/firezone/pull/1611
2023-05-15 20:16:30+00:00,[User]_thomaseizinger,"{'[User]_thomaseizinger', '[User]_jamilbk', '[User]_conectado'}",firezone/firezone,2023,https://github.com/firezone/firezone/pull/1612
2023-05-15 20:20:23+00:00,[User]_thomaseizinger,{'[User]_conectado'},firezone/firezone,2023,https://github.com/firezone/firezone/pull/1613
2023-05-15 21:24:02+00:00,[User]_thomaseizinger,"{'[User]_thomaseizinger', '[User]_jamilbk'}",firezone/firezone,2023,https://github.com/firezone/firezone/pull/1614
2023-05-16 20:48:19+00:00,[User]_jamilbk,{'[User]_thomaseizinger'},firezone/firezone,2023,https://github.com/firezone/firezone/pull/1615
2023-05-16 22:33:07+00:00,[User]_thomaseizinger,{'[User]_jamilbk'},firezone/firezone,2023,https://github.com/firezone/firezone/issues/1616
2023-05-16 22:34:36+00:00,[User]_thomaseizinger,{'[User]_jamilbk'},firezone/firezone,2023,https://github.com/firezone/firezone/pull/1617
2023-05-16 23:36:13+00:00,[User]_thomaseizinger,"{'[User]_jamilbk', '[User]_thomaseizinger', '[User]_conectado'}",firezone/firezone,2023,https://github.com/firezone/firezone/pull/1618
