startTime,createUser,commentsUser,proj,year,url
2023-05-01 07:22:02+00:00,[User]_camscale,"{'[User]_wadells', '[User]_jentfoo', '[User]_camscale', '[User]_r0mant'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25406
2023-05-01 12:27:07+00:00,[User]_TeleLos,set(),gravitational/teleport,2023,https://github.com/gravitational/teleport/issues/25408
2023-05-01 13:23:23+00:00,[User]_Valien,{'[User]_webvictim'},gravitational/teleport,2023,https://github.com/gravitational/teleport/issues/25409
2023-05-01 13:40:17+00:00,[User]_greedy52,"{'[User]_gabrielcorado', '[User]_r0mant'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25410
2023-05-01 13:53:36+00:00,[User]_greedy52,"{'[User]_gabrielcorado', '[User]_r0mant'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25411
2023-05-01 15:27:23+00:00,[User]_roraback,"{'[User]_zmb3', '[User]_roraback'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/issues/25413
2023-05-01 16:16:38+00:00,[User]_mdwn,"{'[User]_Joerger', '[User]_nklaassen'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25414
2023-05-01 17:25:29+00:00,[User]_TeleLos,"{'[User]_zmb3', '[User]_camscale'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/issues/25416
2023-05-01 18:04:12+00:00,[User]_AntonAM,"{'[User]_Joerger', '[User]_timothyb89'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25417
2023-05-01 18:14:31+00:00,[User]_ptgott,{'[User]_ptgott'},gravitational/teleport,2023,https://github.com/gravitational/teleport/issues/25418
2023-05-01 18:19:24+00:00,[User]_programmerq,{'[User]_bayandin'},gravitational/teleport,2023,https://github.com/gravitational/teleport/issues/25419
2023-05-01 18:19:32+00:00,[User]_Valien,{'[User]_zmb3'},gravitational/teleport,2023,https://github.com/gravitational/teleport/issues/25420
2023-05-01 18:21:00+00:00,[User]_ptgott,set(),gravitational/teleport,2023,https://github.com/gravitational/teleport/issues/25421
2023-05-01 18:29:01+00:00,[User]_TeleLos,{'[User]_r0mant'},gravitational/teleport,2023,https://github.com/gravitational/teleport/issues/25422
2023-05-01 18:40:17+00:00,[User]_ptgott,{'[User]_ptgott'},gravitational/teleport,2023,https://github.com/gravitational/teleport/issues/25423
2023-05-01 19:03:30+00:00,[User]_stevenGravy,{'[User]_zmb3'},gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25425
2023-05-01 19:03:50+00:00,[User]_stevenGravy,"{'[User]_greedy52', '[User]_ptgott'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25426
2023-05-01 19:04:04+00:00,[User]_stevenGravy,"{'[User]_ptgott', '[User]_zmb3'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25427
2023-05-01 19:04:22+00:00,[User]_stevenGravy,{'[User]_zmb3'},gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25428
2023-05-01 19:26:49+00:00,[User]_alexfornuto,"{'[User]_ptgott', '[User]_alexfornuto', '[User]_nklaassen', '[User]_programmerq'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25431
2023-05-01 19:39:35+00:00,[User]_kimlisa,"{'[User]_wadells', '[User]_zmb3'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25433
2023-05-01 19:46:57+00:00,[User]_webvictim,set(),gravitational/teleport,2023,https://github.com/gravitational/teleport/issues/25434
2023-05-01 19:49:21+00:00,[User]_kimlisa,"{'[User]_avatus', '[User]_r0mant'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25435
2023-05-01 20:42:49+00:00,[User]_kimlisa,"{'[User]_r0mant', '[User]_ryanclark'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25438
2023-05-01 21:35:59+00:00,[User]_kimlisa,"{'[User]_avatus', '[User]_zmb3'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25439
2023-05-01 21:37:16+00:00,[User]_justinas,"{'[User]_zmb3', '[User]_r0mant'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25440
2023-05-01 21:38:45+00:00,[User]_tigrato,"{'[User]_tigrato', '[User]_camscale', '[User]_r0mant'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25441
2023-05-01 22:09:05+00:00,[User]_ptgott,"{'[User]_stevenGravy', '[User]_ptgott', '[User]_zmb3', '[User]_alexfornuto'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25442
2023-05-01 22:28:24+00:00,[User]_r0mant,"{'[User]_tigrato', '[User]_zmb3'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25443
2023-05-01 23:15:19+00:00,[User]_zmb3,"{'[User]_fspmarshall', '[User]_gabrielcorado', '[User]_zmb3'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25447
2023-05-01 23:56:56+00:00,[User]_kimlisa,"{'[User]_r0mant', '[User]_timothyb89'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25448
2023-05-02 04:25:37+00:00,[User]_tcsc,"{'[User]_camscale', '[User]_r0mant'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25451
2023-05-02 04:25:53+00:00,[User]_tcsc,"{'[User]_camscale', '[User]_r0mant'}",gravitational/teleport,2023,https://github.com/gravitational/teleport/pull/25452
2023-05-02 04:29:53+00:00,[User]_kimlisa,{'[User]_zmb3'},gravitational/teleport,2023,https://github.com/gravitational/teleport/issues/25453
