startTime,createUser,commentsUser,proj,year,url
2023-08-02 14:34:32+00:00,[User]_gucki,{'[User]_k0kubun'},haml/haml,2023,https://github.com/haml/haml/pull/1140
2023-08-02 17:32:05+00:00,[User]_gucki,set(),haml/haml,2023,https://github.com/haml/haml/issues/1141
2023-08-21 20:49:28+00:00,[User]_gkellogg,{'[User]_k0kubun'},haml/haml,2023,https://github.com/haml/haml/issues/1142
2023-09-10 17:23:56+00:00,[User]_lazylester,"{'[User]_k0kubun', '[User]_lazylester'}",haml/haml,2023,https://github.com/haml/haml/issues/1143
2023-09-15 15:04:58+00:00,[User]_lazylester,"{'[User]_k0kubun', '[User]_lazylester', '[User]_timdiggins'}",haml/haml,2023,https://github.com/haml/haml/pull/1144
2023-09-27 07:38:24+00:00,[User]_k0kubun,"{'[User]_k0kubun', '[User]_agrobbin'}",haml/haml,2023,https://github.com/haml/haml/pull/1146
2023-09-27 15:20:13+00:00,[User]_dub357,"{'[User]_k0kubun', '[User]_HamptonMakes'}",haml/haml,2023,https://github.com/haml/haml/issues/1147
2023-09-29 15:36:54+00:00,[User]_mak-dunkelziffer,"{'[User]_k0kubun', '[User]_mak-dunkelziffer'}",haml/haml,2023,https://github.com/haml/haml/issues/1148
2023-10-04 04:50:11+00:00,[User]_k0kubun,set(),haml/haml,2023,https://github.com/haml/haml/issues/1149
2023-10-04 04:53:04+00:00,[User]_k0kubun,set(),haml/haml,2023,https://github.com/haml/haml/pull/1150
2023-10-05 09:31:35+00:00,[User]_javinto,"{'[User]_mak-dunkelziffer', '[User]_javinto'}",haml/haml,2023,https://github.com/haml/haml/issues/1151
2023-10-05 09:45:21+00:00,[User]_jalyna,"{'[User]_jalyna', '[User]_timdiggins', '[User]_k0kubun'}",haml/haml,2023,https://github.com/haml/haml/issues/1152
2023-10-07 19:43:17+00:00,[User]_manufaktor,"{'[User]_smdern', '[User]_byroot', '[User]_manufaktor', '[User]_timdiggins', '[User]_antoineLeclercq', '[User]_aaronjensen'}",haml/haml,2023,https://github.com/haml/haml/issues/1153
2023-10-09 22:06:00+00:00,[User]_timdiggins,{'[User]_k0kubun'},haml/haml,2023,https://github.com/haml/haml/issues/1154
2023-11-23 12:05:05+00:00,[User]_jdelStrother,{'[User]_k0kubun'},haml/haml,2023,https://github.com/haml/haml/pull/1155
2023-12-15 13:46:10+00:00,[User]_tatsuyafw,"{'[User]_amatsuda', '[User]_tatsuyafw'}",haml/haml,2023,https://github.com/haml/haml/pull/1156
2023-12-20 15:09:14+00:00,[User]_mark-young-atg,set(),haml/haml,2023,https://github.com/haml/haml/pull/1157
2024-01-18 19:06:20+00:00,[User]_Jakanapes,{'[User]_Jakanapes'},haml/haml,2024,https://github.com/haml/haml/issues/1158
2024-04-03 12:59:49+00:00,[User]_Kayne,set(),haml/haml,2024,https://github.com/haml/haml/issues/1159
2024-04-12 21:26:20+00:00,[User]_snan,set(),haml/haml,2024,https://github.com/haml/haml/pull/1160
