startTime,createUser,commentsUser,proj,year,url
2023-05-01 10:10:11+00:00,[User]_khoi-nguyen,"{'[User]_khoi-nguyen', '[User]_adrai'}",i18next/i18next,2023,https://github.com/i18next/i18next/issues/1951
2023-05-03 05:54:25+00:00,[User]_beatfather,"{'[User]_beatfather', '[User]_jamuhl'}",i18next/i18next,2023,https://github.com/i18next/i18next/issues/1952
2023-05-05 14:53:32+00:00,[User]_vituchon,"{'[User]_vituchon', '[User]_adrai', '[User]_jamuhl'}",i18next/i18next,2023,https://github.com/i18next/i18next/issues/1954
2023-05-05 21:16:09+00:00,[User]_adrai,{'[User]_coveralls'},i18next/i18next,2023,https://github.com/i18next/i18next/pull/1957
2023-05-09 19:16:40+00:00,[User]_marcsist,"{'[User]_coveralls', '[User]_adrai'}",i18next/i18next,2023,https://github.com/i18next/i18next/pull/1959
2023-05-12 15:25:31+00:00,[User]_ctjhoa,{'[User]_coveralls'},i18next/i18next,2023,https://github.com/i18next/i18next/pull/1960
2023-05-22 07:57:21+00:00,[User]_day0ff,{'[User]_adrai'},i18next/i18next,2023,https://github.com/i18next/i18next/issues/1964
2023-05-25 17:20:37+00:00,[User]_ricoxor,{'[User]_ricoxor'},i18next/i18next,2023,https://github.com/i18next/i18next/issues/1965
2023-06-06 03:39:56+00:00,[User]_hchy0422,"{'[User]_hchy0422', '[User]_adrai'}",i18next/i18next,2023,https://github.com/i18next/i18next/issues/1968
2023-06-07 16:02:00+00:00,[User]_angelica-snowit,"{'[User]_adrai', '[User]_angelica-snowit'}",i18next/i18next,2023,https://github.com/i18next/i18next/issues/1970
2023-06-15 11:59:35+00:00,[User]_falsandtru,"{'[User]_falsandtru', '[User]_adrai', '[User]_pedrodurek'}",i18next/i18next,2023,https://github.com/i18next/i18next/pull/1971
2023-06-15 16:06:09+00:00,[User]_belgattitude,"{'[User]_adrai', '[User]_coveralls', '[User]_belgattitude', '[User]_perrin4869'}",i18next/i18next,2023,https://github.com/i18next/i18next/pull/1973
2023-06-16 07:33:13+00:00,[User]_GheorgheP,"{'[User]_GheorgheP', '[User]_adrai'}",i18next/i18next,2023,https://github.com/i18next/i18next/issues/1974
2023-06-20 00:59:00+00:00,[User]_falsandtru,"{'[User]_henrikvolmer', '[User]_falsandtru', '[User]_Malien', '[User]_adrai'}",i18next/i18next,2023,https://github.com/i18next/i18next/issues/1976
2023-06-20 01:56:02+00:00,[User]_ijoywan,{'[User]_adrai'},i18next/i18next,2023,https://github.com/i18next/i18next/issues/1977
2023-06-20 08:38:41+00:00,[User]_michnak,"{'[User]_henrikvolmer', '[User]_adrai', '[User]_michnak'}",i18next/i18next,2023,https://github.com/i18next/i18next/issues/1978
2023-06-20 09:02:46+00:00,[User]_henrikvolmer,set(),i18next/i18next,2023,https://github.com/i18next/i18next/pull/1979
2023-06-21 07:37:03+00:00,[User]_ghostlexly,"{'[User]_adrai', '[User]_ghostlexly'}",i18next/i18next,2023,https://github.com/i18next/i18next/issues/1981
