startTime,createUser,commentsUser,proj,year,url
2023-06-17 20:54:56+00:00,[User]_saadzer,"{'[User]_ezk06eer', '[User]_bocajspear1', '[User]_saadzer', '[User]_kadonnelly13', '[User]_gmartinez95'}",infobyte/faraday,2023,https://github.com/infobyte/faraday/issues/471
2023-07-23 19:21:16+00:00,[User]_cadet225,{'[User]_ezk06eer'},infobyte/faraday,2023,https://github.com/infobyte/faraday/issues/472
2023-07-24 08:34:45+00:00,[User]_ChipTechChaos,"{'[User]_ezk06eer', '[User]_ChipTechChaos'}",infobyte/faraday,2023,https://github.com/infobyte/faraday/issues/473
2023-08-17 10:29:08+00:00,[User]_munahaf,set(),infobyte/faraday,2023,https://github.com/infobyte/faraday/pull/474
2023-10-05 10:14:54+00:00,[User]_naporitann1,"{'[User]_naporitann1', '[User]_ezk06eer'}",infobyte/faraday,2023,https://github.com/infobyte/faraday/issues/475
2023-10-06 16:46:24+00:00,[User]_Linkcar13,"{'[User]_AndreasDickow', '[User]_ZFYy1x'}",infobyte/faraday,2023,https://github.com/infobyte/faraday/issues/476
2023-11-15 12:08:07+00:00,[User]_study159,{'[User]_ezk06eer'},infobyte/faraday,2023,https://github.com/infobyte/faraday/issues/478
2023-11-16 17:15:11+00:00,[User]_leogoldim,{'[User]_ezk06eer'},infobyte/faraday,2023,https://github.com/infobyte/faraday/issues/479
2023-12-25 07:52:29+00:00,[User]_JayMiguel,{'[User]_ezk06eer'},infobyte/faraday,2023,https://github.com/infobyte/faraday/issues/480
2024-01-08 10:00:34+00:00,[User]_ZFYy1x,{'[User]_ezk06eer'},infobyte/faraday,2024,https://github.com/infobyte/faraday/issues/481
2024-01-18 03:59:55+00:00,[User]_xxx-qwe3,{'[User]_ezk06eer'},infobyte/faraday,2024,https://github.com/infobyte/faraday/issues/482
2024-01-23 10:27:26+00:00,[User]_Talanor,"{'[User]_chris-x86-64', '[User]_kw1001'}",infobyte/faraday,2024,https://github.com/infobyte/faraday/issues/483
2024-03-12 02:53:53+00:00,[User]_jotamjr,"{'[User]_ezk06eer', '[User]_jotamjr'}",infobyte/faraday,2024,https://github.com/infobyte/faraday/issues/485
2024-03-16 20:20:26+00:00,[User]_amriunix,{'[User]_amriunix'},infobyte/faraday,2024,https://github.com/infobyte/faraday/issues/486
2024-03-20 02:43:00+00:00,[User]_jotamjr,"{'[User]_ezk06eer', '[User]_Lax-Asuna'}",infobyte/faraday,2024,https://github.com/infobyte/faraday/issues/487
2024-03-21 07:55:53+00:00,[User]_yueqi77,"{'[User]_ezk06eer', '[User]_yueqi77', '[User]_PetecoKraus'}",infobyte/faraday,2024,https://github.com/infobyte/faraday/issues/488
2024-03-25 16:24:00+00:00,[User]_kowalskils,set(),infobyte/faraday,2024,https://github.com/infobyte/faraday/pull/489
2024-03-26 09:18:36+00:00,[User]_Pad0y,{'[User]_Pad0y'},infobyte/faraday,2024,https://github.com/infobyte/faraday/issues/490
2024-04-15 16:59:48+00:00,[User]_Sim4n6,{'[User]_Sim4n6'},infobyte/faraday,2024,https://github.com/infobyte/faraday/issues/492
