startTime,createUser,commentsUser,proj,year,url
2023-05-01 17:14:30+00:00,[User]_acidghost,"{'[User]_jarun', '[User]_luukvbaal', '[User]_acidghost'}",jarun/nnn,2023,https://github.com/jarun/nnn/issues/1634
2023-05-04 23:10:37+00:00,[User]_luukvbaal,"{'[User]_jarun', '[User]_luukvbaal', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/pull/1638
2023-05-05 05:06:58+00:00,[User]_atomcult,{'[User]_jarun'},jarun/nnn,2023,https://github.com/jarun/nnn/pull/1639
2023-05-11 17:10:01+00:00,[User]_UnleashedMarf,{'[User]_luukvbaal'},jarun/nnn,2023,https://github.com/jarun/nnn/pull/1643
2023-05-12 05:26:23+00:00,[User]_jaspwr,{'[User]_jarun'},jarun/nnn,2023,https://github.com/jarun/nnn/pull/1644
2023-05-12 12:58:00+00:00,[User]_Delgan,"{'[User]_luukvbaal', '[User]_N-R-K', '[User]_Delgan'}",jarun/nnn,2023,https://github.com/jarun/nnn/pull/1645
2023-05-13 15:28:43+00:00,[User]_Delgan,"{'[User]_jarun', '[User]_Delgan', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/pull/1646
2023-05-14 10:04:53+00:00,[User]_mortang2410,"{'[User]_mortang2410', '[User]_jarun', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/pull/1647
2023-05-14 16:14:24+00:00,[User]_N-R-K,{'[User]_jarun'},jarun/nnn,2023,https://github.com/jarun/nnn/pull/1648
2023-05-14 20:13:41+00:00,[User]_leo-arch,"{'[User]_jarun', '[User]_leo-arch', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/pull/1650
2023-05-15 05:32:54+00:00,[User]_N-R-K,{'[User]_jarun'},jarun/nnn,2023,https://github.com/jarun/nnn/pull/1651
2023-05-15 15:30:00+00:00,[User]_nemonein,"{'[User]_jarun', '[User]_N-R-K', '[User]_nemonein'}",jarun/nnn,2023,https://github.com/jarun/nnn/issues/1652
2023-05-22 00:10:41+00:00,[User]_leo-arch,"{'[User]_jarun', '[User]_leo-arch', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/issues/1654
2023-05-22 08:56:19+00:00,[User]_mistersmee,{'[User]_N-R-K'},jarun/nnn,2023,https://github.com/jarun/nnn/pull/1655
2023-05-26 12:55:11+00:00,[User]_amalgame21,{'[User]_N-R-K'},jarun/nnn,2023,https://github.com/jarun/nnn/issues/1657
2023-05-26 13:40:25+00:00,[User]_N-R-K,{'[User]_jarun'},jarun/nnn,2023,https://github.com/jarun/nnn/pull/1658
2023-06-06 10:21:43+00:00,[User]_israel24961,"{'[User]_N-R-K', '[User]_israel24961'}",jarun/nnn,2023,https://github.com/jarun/nnn/pull/1666
2023-06-14 07:27:40+00:00,[User]_luukvbaal,{'[User]_jarun'},jarun/nnn,2023,https://github.com/jarun/nnn/pull/1672
2023-06-15 14:46:00+00:00,[User]_JingMatrix,"{'[User]_jarun', '[User]_JingMatrix', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/pull/1673
2023-06-28 23:36:24+00:00,[User]_hgy59,{'[User]_N-R-K'},jarun/nnn,2023,https://github.com/jarun/nnn/issues/1678
2023-07-01 03:29:03+00:00,[User]_N-R-K,"{'[User]_jarun', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/pull/1679
2023-07-01 22:06:59+00:00,[User]_danielgomez3,{'[User]_danielgomez3'},jarun/nnn,2023,https://github.com/jarun/nnn/issues/1680
2023-07-02 00:05:30+00:00,[User]_robrobbins,"{'[User]_robrobbins', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/issues/1681
2023-07-02 03:26:09+00:00,[User]_Anomalocaridid,"{'[User]_jarun', '[User]_quantonganh', '[User]_Anomalocaridid', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/issues/1682
2023-07-08 02:38:32+00:00,[User]_Anomalocaridid,"{'[User]_jarun', '[User]_Anomalocaridid', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/pull/1686
2023-07-14 10:10:40+00:00,[User]_FelixKratz,"{'[User]_cyaconi', '[User]_FelixKratz', '[User]_lawnowner', '[User]_jarun', '[User]_quantonganh', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/issues/1692
2023-07-18 18:58:31+00:00,[User]_FelixKratz,"{'[User]_FelixKratz', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/pull/1694
2023-07-20 10:19:30+00:00,[User]_amalgame21,"{'[User]_jarun', '[User]_N-R-K', '[User]_amalgame21'}",jarun/nnn,2023,https://github.com/jarun/nnn/pull/1695
2023-07-22 18:58:41+00:00,[User]_ANtlord,"{'[User]_jarun', '[User]_ANtlord', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/pull/1698
2023-07-24 06:42:17+00:00,[User]_Carlisle96,"{'[User]_Carlisle96', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/issues/1699
2023-07-25 13:13:36+00:00,[User]_czak,"{'[User]_jarun', '[User]_czak', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/pull/1701
2023-07-28 07:02:19+00:00,[User]_screendriver,"{'[User]_screendriver', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/issues/1703
2023-08-01 00:58:10+00:00,[User]_SturmB,{'[User]_jarun'},jarun/nnn,2023,https://github.com/jarun/nnn/issues/1704
2023-08-02 06:41:06+00:00,[User]_screendriver,"{'[User]_screendriver', '[User]_lawnowner'}",jarun/nnn,2023,https://github.com/jarun/nnn/issues/1707
2023-08-09 05:39:04+00:00,[User]_quantonganh,"{'[User]_quantonganh', '[User]_jarun', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/pull/1711
2023-08-12 15:48:04+00:00,[User]_Rahlir,{'[User]_jarun'},jarun/nnn,2023,https://github.com/jarun/nnn/pull/1712
2023-08-20 17:28:49+00:00,[User]_jabarragann,"{'[User]_jabarragann', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/issues/1715
2023-08-22 21:59:16+00:00,[User]_karimhussein1,{'[User]_jarun'},jarun/nnn,2023,https://github.com/jarun/nnn/pull/1717
2023-08-26 23:56:04+00:00,[User]_umaranis,set(),jarun/nnn,2023,https://github.com/jarun/nnn/issues/1718
2023-08-27 00:03:25+00:00,[User]_umaranis,{'[User]_jarun'},jarun/nnn,2023,https://github.com/jarun/nnn/pull/1719
2023-09-04 22:47:15+00:00,[User]_umaranis,set(),jarun/nnn,2023,https://github.com/jarun/nnn/issues/1721
2023-09-04 22:48:24+00:00,[User]_umaranis,"{'[User]_jarun', '[User]_N-R-K', '[User]_umaranis'}",jarun/nnn,2023,https://github.com/jarun/nnn/pull/1722
2023-09-07 19:51:12+00:00,[User]_umaranis,set(),jarun/nnn,2023,https://github.com/jarun/nnn/issues/1723
2023-09-07 19:53:51+00:00,[User]_umaranis,"{'[User]_jarun', '[User]_umaranis'}",jarun/nnn,2023,https://github.com/jarun/nnn/pull/1724
2023-09-13 01:00:28+00:00,[User]_Xerillic,set(),jarun/nnn,2023,https://github.com/jarun/nnn/pull/1727
2023-09-13 23:59:51+00:00,[User]_Xerillic,"{'[User]_jarun', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/pull/1728
2023-09-20 19:52:02+00:00,[User]_azuline,"{'[User]_jarun', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/pull/1729
2023-09-23 01:54:52+00:00,[User]_azuline,{'[User]_luukvbaal'},jarun/nnn,2023,https://github.com/jarun/nnn/issues/1731
2023-09-23 06:21:34+00:00,[User]_N-R-K,{'[User]_jarun'},jarun/nnn,2023,https://github.com/jarun/nnn/pull/1732
2023-09-25 13:23:57+00:00,[User]_J-Kappes,{'[User]_jarun'},jarun/nnn,2023,https://github.com/jarun/nnn/issues/1736
2023-09-26 11:25:31+00:00,[User]_J-Kappes,"{'[User]_J-Kappes', '[User]_N-R-K'}",jarun/nnn,2023,https://github.com/jarun/nnn/pull/1737
2023-09-29 02:38:42+00:00,[User]_itaranto,{'[User]_jarun'},jarun/nnn,2023,https://github.com/jarun/nnn/issues/1740
