startTime,createUser,commentsUser,proj,year,url
2023-05-02 04:33:11+00:00,[User]_sgravrock,{'[User]_sgravrock'},jasmine/jasmine,2023,https://github.com/jasmine/jasmine/issues/2006
2023-05-18 02:02:33+00:00,[User]_jcarlosadm,{'[User]_sgravrock'},jasmine/jasmine,2023,https://github.com/jasmine/jasmine/pull/2009
2023-06-29 12:36:22+00:00,[User]_MosheBakshi,set(),jasmine/jasmine,2023,https://github.com/jasmine/jasmine/issues/2010
2023-07-17 20:18:35+00:00,[User]_angrycat9000,{'[User]_sgravrock'},jasmine/jasmine,2023,https://github.com/jasmine/jasmine/pull/2012
2023-07-19 14:07:36+00:00,[User]_angrycat9000,{'[User]_sgravrock'},jasmine/jasmine,2023,https://github.com/jasmine/jasmine/pull/2013
2023-08-24 16:47:46+00:00,[User]_uk-taniyama,{'[User]_sgravrock'},jasmine/jasmine,2023,https://github.com/jasmine/jasmine/issues/2016
2023-09-30 23:22:56+00:00,[User]_DanKaplanSES,"{'[User]_sgravrock', '[User]_ewinslow'}",jasmine/jasmine,2023,https://github.com/jasmine/jasmine/issues/2018
2023-10-26 15:48:39+00:00,[User]_fabianobonomini,"{'[User]_sgravrock', '[User]_fabianobonomini'}",jasmine/jasmine,2023,https://github.com/jasmine/jasmine/issues/2019
2023-10-28 18:38:30+00:00,[User]_apazureck,"{'[User]_apazureck', '[User]_sgravrock'}",jasmine/jasmine,2023,https://github.com/jasmine/jasmine/issues/2020
2023-11-06 21:58:57+00:00,[User]_DanKaplanSES,{'[User]_sgravrock'},jasmine/jasmine,2023,https://github.com/jasmine/jasmine/issues/2021
2023-11-06 22:26:36+00:00,[User]_DanKaplanSES,{'[User]_sgravrock'},jasmine/jasmine,2023,https://github.com/jasmine/jasmine/issues/2022
2023-11-09 22:49:32+00:00,[User]_samuelfreiberg,{'[User]_sgravrock'},jasmine/jasmine,2023,https://github.com/jasmine/jasmine/issues/2023
2024-01-26 09:07:23+00:00,[User]_akarika,{'[User]_sgravrock'},jasmine/jasmine,2024,https://github.com/jasmine/jasmine/issues/2025
2024-02-09 14:45:22+00:00,[User]_JurajJakubov,{'[User]_sgravrock'},jasmine/jasmine,2024,https://github.com/jasmine/jasmine/issues/2027
2024-02-22 13:17:20+00:00,[User]_aedart,"{'[User]_sgravrock', '[User]_aedart'}",jasmine/jasmine,2024,https://github.com/jasmine/jasmine/issues/2028
2024-04-09 04:23:03+00:00,[User]_Arjuntiwari04,{'[User]_sgravrock'},jasmine/jasmine,2024,https://github.com/jasmine/jasmine/issues/2030
