startTime,createUser,commentsUser,proj,year,url
2023-05-04 10:24:26+00:00,[User]_George-nacouzi,"{'[User]_nunomaduro', '[User]_goldmerc', '[User]_Alfonsinjo', '[User]_driesvints', '[User]_mrriddwan'}",laravel/telescope,2023,https://github.com/laravel/telescope/issues/1344
2023-05-04 14:35:47+00:00,[User]_Sairahcaz,{'[User]_driesvints'},laravel/telescope,2023,https://github.com/laravel/telescope/issues/1345
2023-05-05 10:59:36+00:00,[User]_n1crack,{'[User]_taylorotwell'},laravel/telescope,2023,https://github.com/laravel/telescope/pull/1346
2023-05-18 19:39:56+00:00,[User]_GodfreysDragon,{'[User]_GodfreysDragon'},laravel/telescope,2023,https://github.com/laravel/telescope/pull/1347
2023-05-19 14:52:59+00:00,[User]_DougSisk,{'[User]_taylorotwell'},laravel/telescope,2023,https://github.com/laravel/telescope/pull/1348
2023-05-24 13:25:47+00:00,[User]_nunomaduro,"{'[User]_malohtie', '[User]_nunomaduro', '[User]_mikedodd', '[User]_peterpan666', '[User]_lucaspanik'}",laravel/telescope,2023,https://github.com/laravel/telescope/pull/1349
2023-05-26 19:50:35+00:00,[User]_danilopinotti,"{'[User]_driesvints', '[User]_danilopinotti'}",laravel/telescope,2023,https://github.com/laravel/telescope/pull/1350
2023-05-31 05:38:14+00:00,[User]_ajira86,set(),laravel/telescope,2023,https://github.com/laravel/telescope/issues/1351
2023-06-02 11:28:50+00:00,[User]_diogogomeswww,{'[User]_taylorotwell'},laravel/telescope,2023,https://github.com/laravel/telescope/pull/1352
2023-06-02 13:06:26+00:00,[User]_andrewminion-luminfire,"{'[User]_andrewminion-luminfire', '[User]_nunomaduro'}",laravel/telescope,2023,https://github.com/laravel/telescope/issues/1353
2023-06-02 22:34:44+00:00,[User]_timacdonald,{'[User]_timacdonald'},laravel/telescope,2023,https://github.com/laravel/telescope/pull/1355
2023-06-06 22:34:11+00:00,[User]_diogogomeswww,"{'[User]_diogogomeswww', '[User]_taylorotwell'}",laravel/telescope,2023,https://github.com/laravel/telescope/pull/1356
2023-06-08 15:41:16+00:00,[User]_wsamoht,{'[User]_wsamoht'},laravel/telescope,2023,https://github.com/laravel/telescope/issues/1357
2023-06-20 05:53:24+00:00,[User]_vigneshgurusamy,"{'[User]_vigneshgurusamy', '[User]_driesvints', '[User]_barryvdh', '[User]_taylorotwell'}",laravel/telescope,2023,https://github.com/laravel/telescope/pull/1358
2023-06-22 17:10:42+00:00,[User]_sumankathet51,{'[User]_taylorotwell'},laravel/telescope,2023,https://github.com/laravel/telescope/pull/1361
2023-06-23 14:16:04+00:00,[User]_diogogomeswww,{'[User]_taylorotwell'},laravel/telescope,2023,https://github.com/laravel/telescope/pull/1362
2023-07-13 19:55:44+00:00,[User]_nunomaduro,set(),laravel/telescope,2023,https://github.com/laravel/telescope/pull/1363
2023-07-24 21:30:28+00:00,[User]_bradleybernard,"{'[User]_driesvints', '[User]_bradleybernard', '[User]_taylorotwell'}",laravel/telescope,2023,https://github.com/laravel/telescope/pull/1364
2023-07-26 07:41:23+00:00,[User]_Rahulkannaujiya,{'[User]_driesvints'},laravel/telescope,2023,https://github.com/laravel/telescope/issues/1365
2023-07-30 21:49:13+00:00,[User]_CSalih,"{'[User]_CSalih', '[User]_crynobone'}",laravel/telescope,2023,https://github.com/laravel/telescope/issues/1366
2023-07-31 08:02:10+00:00,[User]_Algeneralo,"{'[User]_taylorotwell', '[User]_crynobone', '[User]_Algeneralo'}",laravel/telescope,2023,https://github.com/laravel/telescope/pull/1367
2023-08-06 13:23:49+00:00,[User]_MoatazAbdAlmageed,"{'[User]_crynobone', '[User]_MoatazAbdAlmageed'}",laravel/telescope,2023,https://github.com/laravel/telescope/pull/1368
2023-08-08 10:29:32+00:00,[User]_crynobone,set(),laravel/telescope,2023,https://github.com/laravel/telescope/pull/1369
2023-08-10 07:30:25+00:00,[User]_HidayatLahabu,{'[User]_driesvints'},laravel/telescope,2023,https://github.com/laravel/telescope/issues/1371
2023-08-10 09:32:44+00:00,[User]_yangjisen,{'[User]_nunomaduro'},laravel/telescope,2023,https://github.com/laravel/telescope/issues/1372
2023-08-10 22:42:51+00:00,[User]_alissn,set(),laravel/telescope,2023,https://github.com/laravel/telescope/pull/1373
2023-08-11 19:59:33+00:00,[User]_alissn,"{'[User]_alissn', '[User]_faissaloux', '[User]_taylorotwell'}",laravel/telescope,2023,https://github.com/laravel/telescope/pull/1374
2023-08-18 15:48:09+00:00,[User]_djoudi,{'[User]_crynobone'},laravel/telescope,2023,https://github.com/laravel/telescope/issues/1376
2023-08-19 16:31:46+00:00,[User]_winter-ice,{'[User]_crynobone'},laravel/telescope,2023,https://github.com/laravel/telescope/issues/1377
2023-08-24 07:55:48+00:00,[User]_crynobone,"{'[User]_driesvints', '[User]_crynobone'}",laravel/telescope,2023,https://github.com/laravel/telescope/pull/1378
2023-08-28 03:05:32+00:00,[User]_timacdonald,{'[User]_driesvints'},laravel/telescope,2023,https://github.com/laravel/telescope/pull/1379
2023-09-09 02:50:49+00:00,[User]_dev-mo-ali,"{'[User]_driesvints', '[User]_crynobone'}",laravel/telescope,2023,https://github.com/laravel/telescope/issues/1381
2023-09-19 10:17:50+00:00,[User]_yoonustehrani,{'[User]_yoonustehrani'},laravel/telescope,2023,https://github.com/laravel/telescope/pull/1382
2023-09-21 10:46:19+00:00,[User]_She3bo,"{'[User]_taylorotwell', '[User]_She3bo', '[User]_rcerljenko'}",laravel/telescope,2023,https://github.com/laravel/telescope/pull/1383
2023-09-21 15:02:09+00:00,[User]_driesvints,set(),laravel/telescope,2023,https://github.com/laravel/telescope/pull/1384
2023-09-22 10:07:54+00:00,[User]_February30th,"{'[User]_zhoubiaobiao', '[User]_February30th', '[User]_crynobone'}",laravel/telescope,2023,https://github.com/laravel/telescope/pull/1385
2023-10-04 17:14:10+00:00,[User]_Paulo-Teodoro,{'[User]_taylorotwell'},laravel/telescope,2023,https://github.com/laravel/telescope/pull/1386
2023-10-06 18:23:07+00:00,[User]_Paulo-Teodoro,{'[User]_driesvints'},laravel/telescope,2023,https://github.com/laravel/telescope/issues/1388
2023-10-09 19:21:36+00:00,[User]_Pythagus,{'[User]_Pythagus'},laravel/telescope,2023,https://github.com/laravel/telescope/pull/1389
2023-10-13 10:41:26+00:00,[User]_esurov,"{'[User]_driesvints', '[User]_esurov'}",laravel/telescope,2023,https://github.com/laravel/telescope/issues/1390
2023-10-14 10:06:37+00:00,[User]_esurov,"{'[User]_esurov', '[User]_taylorotwell', '[User]_wfern', '[User]_timacdonald', '[User]_crynobone', '[User]_francoism90', '[User]_daniser'}",laravel/telescope,2023,https://github.com/laravel/telescope/pull/1391
2023-10-17 14:22:52+00:00,[User]_nunomaduro,set(),laravel/telescope,2023,https://github.com/laravel/telescope/pull/1395
2023-10-20 01:11:32+00:00,[User]_lorenzofk,{'[User]_taylorotwell'},laravel/telescope,2023,https://github.com/laravel/telescope/pull/1396
2023-10-25 19:54:57+00:00,[User]_jbrooksuk,set(),laravel/telescope,2023,https://github.com/laravel/telescope/pull/1397
2023-11-01 12:29:47+00:00,[User]_wfern,"{'[User]_crynobone', '[User]_wfern', '[User]_francoism90'}",laravel/telescope,2023,https://github.com/laravel/telescope/issues/1399
