startTime,createUser,commentsUser,proj,year,url
2023-05-05 04:10:21+00:00,[User]_mochfathurrozi,"{'[User]_wombatstampede', '[User]_ROBERT-MCDOWELL'}",mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/762
2023-05-06 05:35:27+00:00,[User]_dobberph,{'[User]_dobberph'},mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/763
2023-05-09 04:49:18+00:00,[User]_Yyuanbo,"{'[User]_Yyuanbo', '[User]_ROBERT-MCDOWELL'}",mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/764
2023-05-10 21:36:46+00:00,[User]_fante90,"{'[User]_fante90', '[User]_joncon62', '[User]_ROBERT-MCDOWELL', '[User]_fansanelli'}",mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/pull/766
2023-05-12 14:58:26+00:00,[User]_Skyman-2,{'[User]_islamyearul'},mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/767
2023-05-12 22:29:00+00:00,[User]_jjlopezg,{'[User]_cloudspeech'},mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/768
2023-05-18 00:03:17+00:00,[User]_paulharris,"{'[User]_fabiochelly', '[User]_MattPedrosa', '[User]_paulharris'}",mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/769
2023-05-19 12:37:01+00:00,[User]_ashvejnov,"{'[User]_ashvejnov', '[User]_siadou', '[User]_ROBERT-MCDOWELL', '[User]_alejandrovasquezoviedo'}",mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/770
2023-05-20 04:00:28+00:00,[User]_BBBhatt,{'[User]_ROBERT-MCDOWELL'},mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/771
2023-05-23 13:37:27+00:00,[User]_ignaciolarranaga,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/pull/772
2023-05-28 10:28:18+00:00,[User]_woserba,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/775
2023-05-31 03:56:53+00:00,[User]_FishOrBear,{'[User]_mebjas'},mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/pull/777
2023-05-31 04:38:52+00:00,[User]_shadhirsha,"{'[User]_shuaib313', '[User]_MultiFe22', '[User]_shadhirsha'}",mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/778
2023-06-06 09:25:35+00:00,[User]_onesoftwareengineer,"{'[User]_onesoftwareengineer', '[User]_mark-hipecommerce', '[User]_old21'}",mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/779
2023-06-07 08:25:34+00:00,[User]_244209156,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/780
2023-06-07 15:04:59+00:00,[User]_mrndrew,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/pull/781
2023-06-10 05:00:55+00:00,[User]_Vintotcutie,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/782
2023-06-12 09:31:13+00:00,[User]_mediDOKCL,{'[User]_tastydev'},mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/783
2023-06-15 10:56:12+00:00,[User]_ducteerex,{'[User]_mrcmorales'},mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/784
2023-06-15 15:42:32+00:00,[User]_thetankgirl,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/785
2023-06-16 20:26:10+00:00,[User]_yarekc,"{'[User]_gurji999', '[User]_ROBERT-MCDOWELL', '[User]_yarekc', '[User]_kuznetsov-konstantin', '[User]_Irina-ar-coder'}",mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/786
2023-06-17 08:19:33+00:00,[User]_vivek2918,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/pull/787
2023-06-20 09:50:11+00:00,[User]_fabuloussalon,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/788
2023-06-21 21:59:45+00:00,[User]_zx5000,"{'[User]_iStefo', '[User]_luckyluggi'}",mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/789
2023-06-23 00:57:44+00:00,[User]_fayzulhq,"{'[User]_fayzulhq', '[User]_sunmer'}",mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/791
2023-06-24 17:23:02+00:00,[User]_be-swarm,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/792
2023-06-29 09:17:28+00:00,[User]_axylophon,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/pull/794
2023-06-30 20:57:41+00:00,[User]_matjones,"{'[User]_gurji999', '[User]_ArtiomOganesyan'}",mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/795
2023-07-01 13:13:49+00:00,[User]_marcell7,"{'[User]_NourAdawi', '[User]_parker-codes'}",mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/796
2023-07-07 13:22:34+00:00,[User]_dalvirsaini,{'[User]_NourAdawi'},mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/797
2023-07-07 19:18:46+00:00,[User]_SouYui,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/798
2023-07-11 03:50:05+00:00,[User]_yelhouti,{'[User]_sulimanbenhalim'},mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/799
2023-07-11 06:29:03+00:00,[User]_solov91,{'[User]_cramaboule'},mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/800
2023-07-13 04:55:48+00:00,[User]_Rabithua,{'[User]_Rabithua'},mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/802
2023-07-13 09:16:42+00:00,[User]_squmak,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/803
2023-07-18 05:45:20+00:00,[User]_paulocoutinhox,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/804
2023-07-20 18:05:58+00:00,[User]_AkshatJain12,"{'[User]_tnemalili', '[User]_Luq4dmin', '[User]_ROBERT-MCDOWELL', '[User]_juanmanavarro', '[User]_Mortafix'}",mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/807
2023-07-23 04:52:13+00:00,[User]_Chiqou,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/808
2023-07-25 08:39:58+00:00,[User]_ntith,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/pull/809
2023-07-25 09:11:47+00:00,[User]_ntith,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/pull/810
2023-07-27 04:01:45+00:00,[User]_allan031,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/811
2023-08-01 22:21:46+00:00,[User]_m3tam0rph,"{'[User]_t-hauck', '[User]_m3tam0rph', '[User]_angela1393aa'}",mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/813
2023-08-02 07:42:43+00:00,[User]_boehmy,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/814
2023-08-02 07:50:22+00:00,[User]_boehmy,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/815
2023-08-04 18:39:45+00:00,[User]_tommewong,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/816
2023-08-11 07:27:18+00:00,[User]_Snurppa,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/pull/817
2023-08-12 01:05:04+00:00,[User]_bagusandrewijaya,"{'[User]_sunggyupaik', '[User]_Snurppa'}",mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/818
2023-08-15 08:58:32+00:00,[User]_Bruineb,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/pull/819
2023-08-23 11:49:32+00:00,[User]_Snurppa,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/pull/821
2023-08-24 11:09:54+00:00,[User]_e012345678,{'[User]_aimilin'},mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/822
2023-08-27 16:43:28+00:00,[User]_ks1990cn,"{'[User]_KaviHarjani', '[User]_mmis1000', '[User]_m42e', '[User]_RaneWallin'}",mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/823
2023-09-01 06:08:10+00:00,[User]_arnold-b,{'[User]_ManuelLopezAnido'},mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/826
2023-09-04 09:22:08+00:00,[User]_AhmadUser,"{'[User]_AhmadUser', '[User]_reginpv'}",mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/827
2023-09-04 10:45:22+00:00,[User]_MidnightDesign,{'[User]_MidnightDesign'},mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/pull/828
2023-09-04 12:23:27+00:00,[User]_MidnightDesign,{'[User]_spacialhufman'},mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/pull/829
2023-09-05 13:08:37+00:00,[User]_amitsingh777,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/831
2023-09-06 05:58:23+00:00,[User]_eseeghars,{'[User]_ROBERT-MCDOWELL'},mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/832
2023-09-07 20:52:47+00:00,[User]_AkshatJain12,{'[User]_srees4'},mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/833
2023-09-09 14:01:36+00:00,[User]_sam778-del,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/834
2023-09-10 15:00:32+00:00,[User]_abbasgholia,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/835
2023-09-14 19:14:56+00:00,[User]_Krisheditz03,{'[User]_wangtengjiao1997'},mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/837
2023-09-16 06:48:14+00:00,[User]_mebjas,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/pull/838
2023-09-20 14:12:54+00:00,[User]_ronyevernaes,"{'[User]_parker-codes', '[User]_ROBERT-MCDOWELL'}",mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/839
2023-09-20 16:20:11+00:00,[User]_treeder,set(),mebjas/html5-qrcode,2023,https://github.com/mebjas/html5-qrcode/issues/840
