startTime,createUser,commentsUser,proj,year,url
2023-05-01 04:52:54+00:00,[User]_tcchawla,"{'[User]_ZoranPandovski', '[User]_tcchawla'}",mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/pull/5894
2023-05-01 06:55:40+00:00,[User]_Rutam21,{'[User]_Rutam21'},mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/pull/5895
2023-05-01 09:57:28+00:00,[User]_MOHDNEHALKHAN,"{'[User]_mindsdbadmin', '[User]_MOHDNEHALKHAN', '[User]_martyna-mindsdb'}",mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/pull/5896
2023-05-01 10:31:09+00:00,[User]_parthiv11,"{'[User]_ZoranPandovski', '[User]_parthiv11'}",mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/pull/5897
2023-05-01 10:47:58+00:00,[User]_martyna-mindsdb,"{'[User]_martyna-mindsdb', '[User]_mohamed-elfiky'}",mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/issues/5898
2023-05-01 10:49:27+00:00,[User]_martyna-mindsdb,{'[User]_RohanJacob23'},mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/issues/5899
2023-05-01 10:51:20+00:00,[User]_martyna-mindsdb,"{'[User]_Abhishek-1337', '[User]_martyna-mindsdb'}",mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/issues/5900
2023-05-01 11:02:15+00:00,[User]_martyna-mindsdb,"{'[User]_SebastianJames55', '[User]_martyna-mindsdb'}",mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/issues/5901
2023-05-01 11:04:09+00:00,[User]_martyna-mindsdb,"{'[User]_trustidkid', '[User]_tayyab-ilyas', '[User]_martyna-mindsdb'}",mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/issues/5902
2023-05-01 11:08:17+00:00,[User]_martyna-mindsdb,"{'[User]_alvarohghg', '[User]_martyna-mindsdb'}",mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/issues/5903
2023-05-01 11:10:52+00:00,[User]_martyna-mindsdb,{'[User]_pranit-yawalkar'},mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/issues/5904
2023-05-01 11:12:24+00:00,[User]_martyna-mindsdb,"{'[User]_martyna-mindsdb', '[User]_IshaanAdarsh'}",mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/issues/5905
2023-05-01 11:22:46+00:00,[User]_martyna-mindsdb,set(),mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/issues/5906
2023-05-01 12:45:24+00:00,[User]_mohamed-elfiky,"{'[User]_mindsdbadmin', '[User]_mohamed-elfiky', '[User]_martyna-mindsdb'}",mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/pull/5907
2023-05-01 13:58:54+00:00,[User]_Noel6161131110,"{'[User]_mindsdbadmin', '[User]_martyna-mindsdb', '[User]_Noel6161131110'}",mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/pull/5908
2023-05-01 14:32:57+00:00,[User]_paxcema,set(),mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/pull/5910
2023-05-01 16:33:58+00:00,[User]_David-K448,"{'[User]_ZoranPandovski', '[User]_martyna-mindsdb', '[User]_mindsdbadmin'}",mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/pull/5911
2023-05-01 18:17:48+00:00,[User]_pranit-yawalkar,"{'[User]_ZoranPandovski', '[User]_pranit-yawalkar', '[User]_mindsdbadmin'}",mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/pull/5912
2023-05-01 18:33:39+00:00,[User]_parthiv11,"{'[User]_parthiv11', '[User]_ZoranPandovski', '[User]_paxcema'}",mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/pull/5913
2023-05-02 05:10:58+00:00,[User]_MinuraPunchihewa,{'[User]_ZoranPandovski'},mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/pull/5915
2023-05-02 08:15:18+00:00,[User]_RohanJacob23,"{'[User]_mindsdbadmin', '[User]_RohanJacob23', '[User]_martyna-mindsdb'}",mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/pull/5916
2023-05-02 08:48:24+00:00,[User]_martyna-mindsdb,{'[User]_Abhishek-1337'},mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/issues/5917
2023-05-02 08:49:57+00:00,[User]_martyna-mindsdb,set(),mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/issues/5918
2023-05-02 08:51:25+00:00,[User]_martyna-mindsdb,"{'[User]_yusharth', '[User]_martyna-mindsdb'}",mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/issues/5919
2023-05-02 08:54:11+00:00,[User]_martyna-mindsdb,set(),mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/issues/5920
2023-05-02 08:55:36+00:00,[User]_martyna-mindsdb,"{'[User]_RohanJacob23', '[User]_martyna-mindsdb'}",mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/issues/5921
2023-05-02 08:57:12+00:00,[User]_martyna-mindsdb,{'[User]_Darlio88'},mindsdb/mindsdb,2023,https://github.com/mindsdb/mindsdb/issues/5922
