startTime,createUser,commentsUser,proj,year,url
2023-05-01 10:28:45+00:00,[User]_ilyam8,"{'[User]_Ferroin', '[User]_MrZammler'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/14990
2023-05-01 10:53:56+00:00,[User]_ilyam8,"{'[User]_thiagoftsm', '[User]_MrZammler'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/14991
2023-05-01 20:44:09+00:00,[User]_OliverNChalk,"{'[User]_OliverNChalk', '[User]_CLAassistant', '[User]_ilyam8', '[User]_MrZammler'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/14992
2023-05-02 14:22:18+00:00,[User]_Dim-P,"{'[User]_Daniel15', '[User]_diizzyy', '[User]_BKPepe', '[User]_Dim-P', '[User]_tkatsoulas', '[User]_Ferroin'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/14994
2023-05-02 14:53:09+00:00,[User]_cakrit,set(),netdata/netdata,2023,https://github.com/netdata/netdata/pull/14995
2023-05-02 15:43:24+00:00,[User]_Ancairon,set(),netdata/netdata,2023,https://github.com/netdata/netdata/pull/14997
2023-05-02 17:43:53+00:00,[User]_cakrit,set(),netdata/netdata,2023,https://github.com/netdata/netdata/issues/14999
2023-05-02 22:07:29+00:00,[User]_ktsaou,"{'[User]_thiagoftsm', '[User]_ktsaou', '[User]_ilyam8'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/15000
2023-05-03 00:08:41+00:00,[User]_ktsaou,"{'[User]_Ferroin', '[User]_ilyam8'}",netdata/netdata,2023,https://github.com/netdata/netdata/issues/15001
2023-05-03 12:50:56+00:00,[User]_Ferroin,{'[User]_ilyam8'},netdata/netdata,2023,https://github.com/netdata/netdata/pull/15003
2023-05-03 14:17:19+00:00,[User]_stelfrag,"{'[User]_vkalintiris', '[User]_MrZammler'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/15005
2023-05-03 18:53:28+00:00,[User]_underhood,"{'[User]_stelfrag', '[User]_underhood', '[User]_thiagoftsm'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/15009
2023-05-04 10:52:28+00:00,[User]_vkalintiris,"{'[User]_stelfrag', '[User]_andrewm4894', '[User]_vkalintiris'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/15011
2023-05-04 12:14:32+00:00,[User]_vkalintiris,{'[User]_stelfrag'},netdata/netdata,2023,https://github.com/netdata/netdata/pull/15013
2023-05-04 13:34:54+00:00,[User]_hugovalente-pm,"{'[User]_hugovalente-pm', '[User]_ilyam8'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/15014
2023-05-04 13:48:03+00:00,[User]_Ferroin,"{'[User]_Dim-P', '[User]_ilyam8'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/15015
2023-05-04 17:12:11+00:00,[User]_thiagoftsm,"{'[User]_thiagoftsm', '[User]_ilyam8', '[User]_Ferroin'}",netdata/netdata,2023,https://github.com/netdata/netdata/issues/15016
2023-05-05 01:48:49+00:00,[User]_thiagoftsm,"{'[User]_ilyam8', '[User]_vkalintiris', '[User]_Ancairon', '[User]_Ferroin', '[User]_thiagoftsm'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/15017
2023-05-05 12:09:47+00:00,[User]_Ferroin,set(),netdata/netdata,2023,https://github.com/netdata/netdata/pull/15018
2023-05-05 13:25:32+00:00,[User]_Ferroin,set(),netdata/netdata,2023,https://github.com/netdata/netdata/issues/15019
2023-05-05 17:54:49+00:00,[User]_ktsaou,{'[User]_stelfrag'},netdata/netdata,2023,https://github.com/netdata/netdata/pull/15021
2023-05-05 18:20:46+00:00,[User]_jeffka11,"{'[User]_jeffka11', '[User]_Dim-P', '[User]_ilyam8'}",netdata/netdata,2023,https://github.com/netdata/netdata/issues/15022
2023-05-07 00:52:17+00:00,[User]_Ferroin,"{'[User]_andrewm4894', '[User]_thiagoftsm', '[User]_ilyam8'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/15023
2023-05-08 07:53:41+00:00,[User]_stelfrag,"{'[User]_stelfrag', '[User]_underhood', '[User]_thiagoftsm', '[User]_ktsaou'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/15024
2023-05-08 08:17:52+00:00,[User]_stelfrag,{'[User]_vkalintiris'},netdata/netdata,2023,https://github.com/netdata/netdata/pull/15025
2023-05-08 15:00:29+00:00,[User]_cakrit,set(),netdata/netdata,2023,https://github.com/netdata/netdata/pull/15026
2023-05-08 16:13:54+00:00,[User]_mtrdoo,{'[User]_ChillarAnand'},netdata/netdata,2023,https://github.com/netdata/netdata/issues/15027
2023-05-08 16:20:38+00:00,[User]_mtrdoo,"{'[User]_mtrdoo', '[User]_Ferroin', '[User]_ilyam8'}",netdata/netdata,2023,https://github.com/netdata/netdata/issues/15028
2023-05-08 16:24:38+00:00,[User]_cakrit,{'[User]_Ferroin'},netdata/netdata,2023,https://github.com/netdata/netdata/pull/15029
2023-05-09 09:57:45+00:00,[User]_hugovalente-pm,"{'[User]_ilyam8', '[User]_MrZammler'}",netdata/netdata,2023,https://github.com/netdata/netdata/issues/15030
2023-05-09 14:05:33+00:00,[User]_mailinglists35,{'[User]_mailinglists35'},netdata/netdata,2023,https://github.com/netdata/netdata/issues/15032
2023-05-09 14:49:15+00:00,[User]_l2dy,"{'[User]_Ferroin', '[User]_ilyam8'}",netdata/netdata,2023,https://github.com/netdata/netdata/issues/15033
2023-05-09 15:39:53+00:00,[User]_Ancairon,{'[User]_ilyam8'},netdata/netdata,2023,https://github.com/netdata/netdata/pull/15034
2023-05-09 19:13:31+00:00,[User]_ilyam8,"{'[User]_Ferroin', '[User]_ktsaou', '[User]_ilyam8'}",netdata/netdata,2023,https://github.com/netdata/netdata/issues/15036
2023-05-09 20:07:31+00:00,[User]_Dim-P,"{'[User]_Ferroin', '[User]_Dim-P', '[User]_ilyam8'}",netdata/netdata,2023,https://github.com/netdata/netdata/issues/15037
2023-05-09 22:27:05+00:00,[User]_ilyam8,"{'[User]_Ferroin', '[User]_Dim-P', '[User]_ilyam8'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/15039
2023-05-10 06:45:54+00:00,[User]_Ancairon,{'[User]_ilyam8'},netdata/netdata,2023,https://github.com/netdata/netdata/pull/15040
2023-05-10 10:31:12+00:00,[User]_jmphilippe,"{'[User]_thiagoftsm', '[User]_CLAassistant', '[User]_ilyam8'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/15041
2023-05-11 11:35:46+00:00,[User]_ktsaou,{'[User]_ktsaou'},netdata/netdata,2023,https://github.com/netdata/netdata/pull/15044
2023-05-11 12:10:35+00:00,[User]_MrZammler,"{'[User]_stelfrag', '[User]_thiagoftsm', '[User]_MrZammler'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/15045
2023-05-11 15:39:40+00:00,[User]_andrewm4894,"{'[User]_vkalintiris', '[User]_ilyam8', '[User]_MrZammler'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/15046
2023-05-11 20:30:38+00:00,[User]_jamgregory,"{'[User]_CLAassistant', '[User]_ilyam8', '[User]_jamgregory', '[User]_Ferroin', '[User]_thiagoftsm'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/15047
2023-05-13 13:36:58+00:00,[User]_ilyam8,"{'[User]_tkatsoulas', '[User]_ilyam8'}",netdata/netdata,2023,https://github.com/netdata/netdata/issues/15048
2023-05-13 20:48:29+00:00,[User]_jonapoul,"{'[User]_jonapoul', '[User]_thiagoftsm', '[User]_CLAassistant', '[User]_ilyam8'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/15049
2023-05-14 18:32:35+00:00,[User]_ktsaou,set(),netdata/netdata,2023,https://github.com/netdata/netdata/issues/15051
2023-05-15 17:46:46+00:00,[User]_underhood,"{'[User]_stelfrag', '[User]_Dim-P'}",netdata/netdata,2023,https://github.com/netdata/netdata/pull/15055
