startTime,createUser,commentsUser,proj,year,url
2023-05-02 08:15:32+00:00,[User]_reox,"{'[User]_reox', '[User]_osm-frasch'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4636
2023-05-02 09:02:20+00:00,[User]_enoch85,"{'[User]_juliushaertl', '[User]_SergeyMosin', '[User]_enoch85', '[User]_solracsf'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4637
2023-05-02 13:21:43+00:00,[User]_kevinelsenbach,{'[User]_juliushaertl'},nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4638
2023-05-03 08:12:54+00:00,[User]_nextcloud-command,{'[User]_juliushaertl'},nextcloud/deck,2023,https://github.com/nextcloud/deck/pull/4639
2023-05-03 08:13:46+00:00,[User]_nextcloud-command,{'[User]_juliushaertl'},nextcloud/deck,2023,https://github.com/nextcloud/deck/pull/4642
2023-05-04 10:39:37+00:00,[User]_Orange-Raven,{'[User]_juliushaertl'},nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4647
2023-05-04 13:40:29+00:00,[User]_fsamapoor,{'[User]_juliushaertl'},nextcloud/deck,2023,https://github.com/nextcloud/deck/pull/4648
2023-05-05 07:45:55+00:00,[User]_mn-web,{'[User]_mn-web'},nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4649
2023-05-07 06:03:22+00:00,[User]_fsamapoor,"{'[User]_juliushaertl', '[User]_fsamapoor'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/pull/4657
2023-05-09 14:19:05+00:00,[User]_Weltenstoeberer,{'[User]_stefan-niedermann'},nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4659
2023-05-09 22:31:34+00:00,[User]_Transigence,{'[User]_Transigence'},nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4661
2023-05-10 15:17:36+00:00,[User]_reox,"{'[User]_reox', '[User]_caloracloud', '[User]_Peachy74', '[User]_jjasoncool', '[User]_magikmw', '[User]_juliushaertl', '[User]_solracsf'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4663
2023-05-11 13:59:40+00:00,[User]_lars-becker,{'[User]_stefan-niedermann'},nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4669
2023-05-12 07:38:51+00:00,[User]_c-store-cp,"{'[User]_c-store-cp', '[User]_joshtrichards'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4670
2023-05-12 09:41:12+00:00,[User]_JeremyCrealead,"{'[User]_juliushaertl', '[User]_stefan-niedermann'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4671
2023-05-12 11:06:02+00:00,[User]_juliushaertl,{'[User]_juliushaertl'},nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4672
2023-05-14 03:09:59+00:00,[User]_nextcloud-command,{'[User]_juliushaertl'},nextcloud/deck,2023,https://github.com/nextcloud/deck/pull/4681
2023-05-15 03:00:52+00:00,[User]_Aaron-von-Awesome,set(),nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4684
2023-05-15 13:01:08+00:00,[User]_kussi123,set(),nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4685
2023-05-16 09:12:34+00:00,[User]_reox,"{'[User]_juliushaertl', '[User]_reox'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4686
2023-05-17 07:56:32+00:00,[User]_jjasoncool,set(),nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4689
2023-05-17 11:48:19+00:00,[User]_nickvergessen,set(),nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4690
2023-05-20 09:11:40+00:00,[User]_xplosionmind,"{'[User]_putt1ck', '[User]_ilsawa', '[User]_q-wertz'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4716
2023-05-21 01:14:31+00:00,[User]_sovman87,"{'[User]_toniojst', '[User]_juliushaertl'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4717
2023-05-21 15:07:33+00:00,[User]_fsamapoor,"{'[User]_juliushaertl', '[User]_fsamapoor'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/pull/4718
2023-05-22 06:34:37+00:00,[User]_gonzalo,"{'[User]_juliushaertl', '[User]_gonzalo'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4719
2023-05-22 19:21:48+00:00,[User]_dualizeo,{'[User]_juliushaertl'},nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4723
2023-05-25 11:53:05+00:00,[User]_Foxdynamics,{'[User]_stefan-niedermann'},nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4726
2023-05-26 11:38:42+00:00,[User]_eRaid6,"{'[User]_kartoffelheinz', '[User]_eRaid6', '[User]_andreas1107', '[User]_stefan-niedermann'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4728
2023-05-26 12:34:48+00:00,[User]_mokkin,set(),nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4729
2023-05-31 11:10:31+00:00,[User]_toniojst,{'[User]_juliushaertl'},nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4749
2023-06-06 04:38:16+00:00,[User]_pbek,"{'[User]_pbek', '[User]_Fufs'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4764
2023-06-06 09:05:53+00:00,[User]_solracsf,"{'[User]_juliushaertl', '[User]_solracsf'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/pull/4765
2023-06-08 07:38:41+00:00,[User]_gittynick,{'[User]_juliushaertl'},nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4769
2023-06-09 15:02:08+00:00,[User]_handkerchief333,"{'[User]_handkerchief333', '[User]_juliushaertl'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4776
2023-06-10 15:21:06+00:00,[User]_SimJoSt,set(),nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4799
2023-06-11 19:56:41+00:00,[User]_llzzrrdd,set(),nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4803
2023-06-12 15:15:28+00:00,[User]_SergeyMosin,"{'[User]_SergeyMosin', '[User]_sebphi', '[User]_tuetenk0pp', '[User]_juliushaertl'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4807
2023-06-13 18:01:30+00:00,[User]_Oberlurch3000,{'[User]_stefan-niedermann'},nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4808
2023-06-15 11:53:42+00:00,[User]_luka-nextcloud,{'[User]_juliushaertl'},nextcloud/deck,2023,https://github.com/nextcloud/deck/pull/4817
2023-06-15 19:01:38+00:00,[User]_88fingerslukee,"{'[User]_ArkadRadz', '[User]_dewittlebook', '[User]_ngrigoriev', '[User]_solracsf'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4818
2023-06-16 19:19:20+00:00,[User]_jeensg,"{'[User]_juliushaertl', '[User]_jeensg', '[User]_reox', '[User]_ancashoria'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4819
2023-06-17 11:30:48+00:00,[User]_pbek,"{'[User]_juliushaertl', '[User]_pbek'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/pull/4828
2023-06-19 15:05:30+00:00,[User]_p-bo,set(),nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4876
2023-06-20 11:01:29+00:00,[User]_dennisTGC,set(),nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4834
2023-06-21 07:51:59+00:00,[User]_schiessle,"{'[User]_schiessle', '[User]_stefan-niedermann'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4835
2023-06-22 10:00:45+00:00,[User]_louim-lbs,"{'[User]_louim-lbs', '[User]_stefan-niedermann'}",nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4839
2023-06-25 03:57:39+00:00,[User]_nextcloud-command,{'[User]_juliushaertl'},nextcloud/deck,2023,https://github.com/nextcloud/deck/pull/4851
2023-06-25 04:00:52+00:00,[User]_nextcloud-command,{'[User]_juliushaertl'},nextcloud/deck,2023,https://github.com/nextcloud/deck/pull/4855
2023-06-26 17:44:40+00:00,[User]_hatlawrence,{'[User]_juliushaertl'},nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4857
2023-06-27 06:32:14+00:00,[User]_modzilla99,{'[User]_putt1ck'},nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4858
2023-06-27 16:05:55+00:00,[User]_susnux,{'[User]_juliushaertl'},nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4859
2023-06-29 05:54:22+00:00,[User]_tomtom,set(),nextcloud/deck,2023,https://github.com/nextcloud/deck/issues/4860
2023-06-29 20:13:07+00:00,[User]_nextcloud-command,set(),nextcloud/deck,2023,https://github.com/nextcloud/deck/pull/4861
2023-07-02 03:29:40+00:00,[User]_nextcloud-command,{'[User]_juliushaertl'},nextcloud/deck,2023,https://github.com/nextcloud/deck/pull/4872
2023-07-02 03:30:33+00:00,[User]_nextcloud-command,{'[User]_juliushaertl'},nextcloud/deck,2023,https://github.com/nextcloud/deck/pull/4874
