startTime,createUser,commentsUser,proj,year,url
2023-05-10 13:28:30+00:00,[User]_alexfriesen,{'[User]_shaharkazaz'},ngneat/transloco,2023,https://github.com/ngneat/transloco/pull/654
2023-05-19 02:18:22+00:00,[User]_AbdealiLoKo,{'[User]_shaharkazaz'},ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/658
2023-06-17 10:00:19+00:00,[User]_shaharkazaz,set(),ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/663
2023-06-19 12:26:26+00:00,[User]_alexfriesen,{'[User]_shaharkazaz'},ngneat/transloco,2023,https://github.com/ngneat/transloco/pull/664
2023-06-21 07:39:06+00:00,[User]_dzolotarova,"{'[User]_NetanelBasal', '[User]_ben12', '[User]_EricPoul', '[User]_dzolotarova'}",ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/665
2023-06-21 13:55:01+00:00,[User]_dzolotarova,{'[User]_shaharkazaz'},ngneat/transloco,2023,https://github.com/ngneat/transloco/pull/666
2023-07-02 09:24:51+00:00,[User]_dfa1234,"{'[User]_shaharkazaz', '[User]_dfa1234'}",ngneat/transloco,2023,https://github.com/ngneat/transloco/pull/668
2023-07-02 23:33:54+00:00,[User]_SvenBudak,"{'[User]_shaharkazaz', '[User]_SvenBudak', '[User]_tayambamwanza'}",ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/669
2023-07-31 02:14:29+00:00,[User]_bjornharvold,{'[User]_shaharkazaz'},ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/674
2023-08-01 11:42:44+00:00,[User]_pkoycg,set(),ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/676
2023-08-01 14:49:17+00:00,[User]_ben12,set(),ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/677
2023-08-02 14:31:14+00:00,[User]_selfdumitru,{'[User]_shaharkazaz'},ngneat/transloco,2023,https://github.com/ngneat/transloco/pull/678
2023-08-04 17:42:28+00:00,[User]_mlc-mlapis,set(),ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/681
2023-08-06 14:28:06+00:00,[User]_majora2007,{'[User]_majora2007'},ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/682
2023-08-06 15:06:57+00:00,[User]_majora2007,{'[User]_majora2007'},ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/683
2023-08-07 19:26:19+00:00,[User]_majora2007,"{'[User]_shaharkazaz', '[User]_majora2007'}",ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/684
2023-08-07 21:53:28+00:00,[User]_majora2007,"{'[User]_shaharkazaz', '[User]_majora2007'}",ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/685
2023-08-10 08:45:41+00:00,[User]_pookdeveloper,"{'[User]_shaharkazaz', '[User]_MatthiasHe', '[User]_LionelMullot', '[User]_Choupa-web'}",ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/688
2023-08-16 08:52:52+00:00,[User]_marfrede,{'[User]_shaharkazaz'},ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/690
2023-08-16 09:09:04+00:00,[User]_marfrede,set(),ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/691
2023-08-17 08:56:28+00:00,[User]_FabienDehopre,"{'[User]_FabienDehopre', '[User]_shaharkazaz', '[User]_Celtian'}",ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/692
2023-08-30 12:29:21+00:00,[User]_FabienDehopre,{'[User]_dfa1234'},ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/699
2023-09-07 08:39:04+00:00,[User]_hakimio,"{'[User]_shaharkazaz', '[User]_hakimio'}",ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/700
2023-09-07 12:04:53+00:00,[User]_hakimio,"{'[User]_shaharkazaz', '[User]_hakimio'}",ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/701
2023-09-19 13:26:19+00:00,[User]_dzhavat,"{'[User]_FabienDehopre', '[User]_rudxde', '[User]_Piiiiiiiiiiiim', '[User]_jontze', '[User]_evanliomain', '[User]_shaharkazaz', '[User]_giosueDelgado', '[User]_elmarbeckmann', '[User]_mmeylan', '[User]_patrickschroeter', '[User]_Elias-Graf'}",ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/704
2023-09-22 08:49:24+00:00,[User]_MikeDabrowski,"{'[User]_shaharkazaz', '[User]_MikeDabrowski'}",ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/705
2023-09-22 15:00:58+00:00,[User]_Daniel-MM-Baptista,{'[User]_Piiiiiiiiiiiim'},ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/706
2023-09-25 09:21:17+00:00,[User]_joonashak,"{'[User]_shaharkazaz', '[User]_joonashak'}",ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/707
2023-10-01 15:13:42+00:00,[User]_EricPoul,set(),ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/708
2023-10-02 08:04:14+00:00,[User]_scurk1415,"{'[User]_greenjellygit', '[User]_shaharkazaz'}",ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/709
2023-10-02 09:54:45+00:00,[User]_MikeDabrowski,"{'[User]_krechtern', '[User]_janpapenbrock'}",ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/710
2023-10-09 13:59:37+00:00,[User]_mackelito,set(),ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/713
2023-10-12 15:59:57+00:00,[User]_vankeer,"{'[User]_minijus', '[User]_dziraev', '[User]_Piiiiiiiiiiiim', '[User]_dmytro-afonin', '[User]_devfservant', '[User]_jkremlacek', '[User]_maximeqontrol', '[User]_shaharkazaz', '[User]_kevintyj', '[User]_Digni', '[User]_vankeer', '[User]_guzmanoj', '[User]_danipavic', '[User]_elmarbeckmann'}",ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/714
2023-10-17 10:48:46+00:00,[User]_mackelito,{'[User]_Iamthereality'},ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/716
2023-10-18 12:02:41+00:00,[User]_mackelito,set(),ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/718
2023-10-20 08:18:33+00:00,[User]_mackelito,set(),ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/720
2023-10-21 20:10:02+00:00,[User]_laradvil,"{'[User]_mackelito', '[User]_shaharkazaz'}",ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/721
2023-10-24 12:19:19+00:00,[User]_pascal-kania,"{'[User]_pascal-kania', '[User]_shaharkazaz', '[User]_daniel-a-beckmann-db'}",ngneat/transloco,2023,https://github.com/ngneat/transloco/issues/722
