startTime,createUser,commentsUser,proj,year,url
2023-06-09 07:04:00+00:00,[User]_AlonsoK28,"{'[User]_VVsxmja', '[User]_wiceywkus', '[User]_axkibe', '[User]_AlonsoK28'}",nodegit/nodegit,2023,https://github.com/nodegit/nodegit/issues/1981
2023-06-14 13:00:45+00:00,[User]_wiceywkus,{'[User]_wiceywkus'},nodegit/nodegit,2023,https://github.com/nodegit/nodegit/issues/1982
2023-07-05 15:40:28+00:00,[User]_Ferrec31,set(),nodegit/nodegit,2023,https://github.com/nodegit/nodegit/issues/1983
2023-07-21 10:56:33+00:00,[User]_yuribro,set(),nodegit/nodegit,2023,https://github.com/nodegit/nodegit/issues/1984
2023-08-09 13:10:31+00:00,[User]_DiFuks,{'[User]_DiFuks'},nodegit/nodegit,2023,https://github.com/nodegit/nodegit/issues/1985
2023-09-01 20:30:22+00:00,[User]_kyoheiu,{'[User]_weedz'},nodegit/nodegit,2023,https://github.com/nodegit/nodegit/issues/1986
2023-10-10 14:43:32+00:00,[User]_FLYBYME,"{'[User]_scriptype', '[User]_batchor', '[User]_FLYBYME'}",nodegit/nodegit,2023,https://github.com/nodegit/nodegit/issues/1987
2024-01-29 16:46:31+00:00,[User]_zawata,{'[User]_ianhattendorf'},nodegit/nodegit,2024,https://github.com/nodegit/nodegit/pull/1988
2024-01-29 17:10:06+00:00,[User]_ianhattendorf,set(),nodegit/nodegit,2024,https://github.com/nodegit/nodegit/pull/1989
2024-02-08 00:11:30+00:00,[User]_zawata,{'[User]_ianhattendorf'},nodegit/nodegit,2024,https://github.com/nodegit/nodegit/pull/1990
2024-02-20 22:36:38+00:00,[User]_ianhattendorf,set(),nodegit/nodegit,2024,https://github.com/nodegit/nodegit/pull/1991
2024-02-20 23:13:42+00:00,[User]_ianhattendorf,set(),nodegit/nodegit,2024,https://github.com/nodegit/nodegit/pull/1992
2024-03-03 20:39:37+00:00,[User]_gpetrov,{'[User]_ianhattendorf'},nodegit/nodegit,2024,https://github.com/nodegit/nodegit/pull/1993
2024-03-11 10:49:32+00:00,[User]_Kekec852,{'[User]_Kekec852'},nodegit/nodegit,2024,https://github.com/nodegit/nodegit/issues/1994
2024-04-09 21:15:40+00:00,[User]_zawata,{'[User]_ianhattendorf'},nodegit/nodegit,2024,https://github.com/nodegit/nodegit/pull/1995
2024-04-19 00:13:36+00:00,[User]_zawata,{'[User]_ianhattendorf'},nodegit/nodegit,2024,https://github.com/nodegit/nodegit/pull/1996
