startTime,createUser,commentsUser,proj,year,url
2023-05-04 12:27:06+00:00,[User]_unclamped,set(),nvbn/thefuck,2023,https://github.com/nvbn/thefuck/pull/1375
2023-05-23 17:39:00+00:00,[User]_cfpwastaken,set(),nvbn/thefuck,2023,https://github.com/nvbn/thefuck/issues/1376
2023-06-03 07:01:25+00:00,[User]_StefanParenti,{'[User]_Jiarong-Zhang'},nvbn/thefuck,2023,https://github.com/nvbn/thefuck/issues/1377
2023-06-03 07:13:09+00:00,[User]_Jiarong-Zhang,set(),nvbn/thefuck,2023,https://github.com/nvbn/thefuck/pull/1378
2023-06-08 17:52:12+00:00,[User]_scharney,{'[User]_Flaminggay'},nvbn/thefuck,2023,https://github.com/nvbn/thefuck/issues/1379
2023-06-16 08:20:13+00:00,[User]_Lil-Dank,set(),nvbn/thefuck,2023,https://github.com/nvbn/thefuck/issues/1380
2023-07-05 18:10:58+00:00,[User]_principis,"{'[User]_davidldennison', '[User]_mbridon', '[User]_CTJohnson', '[User]_kimgyeongmin0805', '[User]_SimonSchwendele', '[User]_AndreM222', '[User]_simonSlamka'}",nvbn/thefuck,2023,https://github.com/nvbn/thefuck/issues/1381
2023-07-07 11:50:02+00:00,[User]_Alfusainey,set(),nvbn/thefuck,2023,https://github.com/nvbn/thefuck/issues/1382
2023-07-09 06:54:44+00:00,[User]_choiinju,set(),nvbn/thefuck,2023,https://github.com/nvbn/thefuck/pull/1383
2023-07-09 10:13:45+00:00,[User]_choiinju,set(),nvbn/thefuck,2023,https://github.com/nvbn/thefuck/pull/1384
2023-07-09 21:03:05+00:00,[User]_fire17,"{'[User]_fire17', '[User]_technophile32'}",nvbn/thefuck,2023,https://github.com/nvbn/thefuck/issues/1385
2023-07-10 05:56:06+00:00,[User]_ryudonghyun123,set(),nvbn/thefuck,2023,https://github.com/nvbn/thefuck/pull/1386
2023-07-11 04:57:48+00:00,[User]_ryudonghyun123,set(),nvbn/thefuck,2023,https://github.com/nvbn/thefuck/pull/1388
