startTime,createUser,commentsUser,proj,year,url
2023-05-03 03:17:41+00:00,[User]_nzw0301,"{'[User]_contramundum53', '[User]_codecov-commenter', '[User]_nzw0301'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4647
2023-05-03 20:03:16+00:00,[User]_mikolajkania,{'[User]_nzw0301'},optuna/optuna,2023,https://github.com/optuna/optuna/issues/4648
2023-05-04 03:50:07+00:00,[User]_nzw0301,{'[User]_nzw0301'},optuna/optuna,2023,https://github.com/optuna/optuna/pull/4649
2023-05-04 08:24:56+00:00,[User]_raquelhortab,"{'[User]_nzw0301', '[User]_raquelhortab'}",optuna/optuna,2023,https://github.com/optuna/optuna/issues/4650
2023-05-04 16:30:10+00:00,[User]_daskol,"{'[User]_c-bata', '[User]_nzw0301', '[User]_daskol'}",optuna/optuna,2023,https://github.com/optuna/optuna/issues/4653
2023-05-07 12:31:36+00:00,[User]_nzw0301,{'[User]_nzw0301'},optuna/optuna,2023,https://github.com/optuna/optuna/pull/4657
2023-05-08 01:35:56+00:00,[User]_not522,"{'[User]_contramundum53', '[User]_codecov-commenter', '[User]_HideakiImamura'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4658
2023-05-08 02:18:42+00:00,[User]_not522,"{'[User]_codecov-commenter', '[User]_HideakiImamura'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4659
2023-05-08 08:43:04+00:00,[User]_cross32768,"{'[User]_contramundum53', '[User]_codecov-commenter', '[User]_cross32768', '[User]_Alnusjaponica'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4660
2023-05-10 08:06:48+00:00,[User]_toshihikoyanase,"{'[User]_HideakiImamura', '[User]_codecov-commenter', '[User]_toshihikoyanase', '[User]_Alnusjaponica'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4662
2023-05-11 02:25:35+00:00,[User]_eukaryo,"{'[User]_contramundum53', '[User]_codecov-commenter', '[User]_HideakiImamura'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4663
2023-05-11 04:43:02+00:00,[User]_c-bata,"{'[User]_codecov-commenter', '[User]_toshihikoyanase'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4665
2023-05-11 05:09:53+00:00,[User]_gen740,"{'[User]_codecov-commenter', '[User]_HideakiImamura', '[User]_toshihikoyanase', '[User]_Alnusjaponica'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4666
2023-05-12 00:11:40+00:00,[User]_c-bata,"{'[User]_c-bata', '[User]_codecov-commenter', '[User]_gen740', '[User]_HideakiImamura'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4670
2023-05-12 06:12:15+00:00,[User]_Alnusjaponica,"{'[User]_contramundum53', '[User]_codecov-commenter', '[User]_eukaryo', '[User]_HideakiImamura'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4671
2023-05-12 10:14:35+00:00,[User]_gituser789,"{'[User]_contramundum53', '[User]_codecov-commenter'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4673
2023-05-12 15:57:50+00:00,[User]_Alnusjaponica,"{'[User]_codecov-commenter', '[User]_Alnusjaponica'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4674
2023-05-14 04:47:38+00:00,[User]_Alnusjaponica,"{'[User]_contramundum53', '[User]_codecov-commenter', '[User]_HideakiImamura', '[User]_Alnusjaponica'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4675
2023-05-16 08:17:05+00:00,[User]_contramundum53,"{'[User]_codecov-commenter', '[User]_HideakiImamura', '[User]_Alnusjaponica', '[User]_cross32768', '[User]_contramundum53'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4677
2023-05-17 02:55:49+00:00,[User]_c-bata,{'[User]_rishabsinghh'},optuna/optuna,2023,https://github.com/optuna/optuna/issues/4678
2023-05-17 02:58:00+00:00,[User]_knshnb,"{'[User]_rishabsinghh', '[User]_HideakiImamura', '[User]_knshnb'}",optuna/optuna,2023,https://github.com/optuna/optuna/issues/4679
2023-05-17 03:36:02+00:00,[User]_knshnb,set(),optuna/optuna,2023,https://github.com/optuna/optuna/issues/4680
2023-05-17 03:46:08+00:00,[User]_knshnb,"{'[User]_codecov-commenter', '[User]_HideakiImamura'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4681
2023-05-17 08:03:31+00:00,[User]_Alnusjaponica,{'[User]_Alnusjaponica'},optuna/optuna,2023,https://github.com/optuna/optuna/issues/4682
2023-05-17 08:04:34+00:00,[User]_knshnb,"{'[User]_knshnb', '[User]_tungbq'}",optuna/optuna,2023,https://github.com/optuna/optuna/issues/4683
2023-05-17 08:25:27+00:00,[User]_tungbq,"{'[User]_c-bata', '[User]_HideakiImamura', '[User]_knshnb'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4684
2023-05-17 08:50:24+00:00,[User]_gituser789,"{'[User]_codecov-commenter', '[User]_HideakiImamura', '[User]_c-bata', '[User]_gituser789', '[User]_toshihikoyanase'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4685
2023-05-17 10:19:43+00:00,[User]_c-bata,{'[User]_c-bata'},optuna/optuna,2023,https://github.com/optuna/optuna/issues/4687
2023-05-17 10:24:19+00:00,[User]_c-bata,{'[User]_gen740'},optuna/optuna,2023,https://github.com/optuna/optuna/issues/4688
2023-05-17 13:20:51+00:00,[User]_AhmetZamanis,"{'[User]_nzw0301', '[User]_AhmetZamanis', '[User]_Alnusjaponica', '[User]_HideakiImamura'}",optuna/optuna,2023,https://github.com/optuna/optuna/issues/4689
2023-05-18 19:36:00+00:00,[User]_averma111,set(),optuna/optuna,2023,https://github.com/optuna/optuna/issues/4693
2023-05-19 01:18:01+00:00,[User]_c-bata,"{'[User]_codecov-commenter', '[User]_toshihikoyanase'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4694
2023-05-19 14:39:17+00:00,[User]_keisukefukuda,set(),optuna/optuna,2023,https://github.com/optuna/optuna/issues/4697
2023-05-19 14:51:25+00:00,[User]_keisukefukuda,"{'[User]_not522', '[User]_codecov-commenter', '[User]_toshihikoyanase', '[User]_keisukefukuda'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4698
2023-05-19 16:25:23+00:00,[User]_eukaryo,"{'[User]_contramundum53', '[User]_nzw0301', '[User]_eukaryo'}",optuna/optuna,2023,https://github.com/optuna/optuna/issues/4699
2023-05-19 16:52:35+00:00,[User]_eukaryo,"{'[User]_contramundum53', '[User]_codecov-commenter', '[User]_toshihikoyanase', '[User]_knshnb'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4700
2023-05-22 00:41:54+00:00,[User]_HideakiImamura,"{'[User]_codecov-commenter', '[User]_HideakiImamura', '[User]_cross32768', '[User]_c-bata', '[User]_toshihikoyanase'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4701
2023-05-22 15:01:51+00:00,[User]_HideakiImamura,"{'[User]_HideakiImamura', '[User]_codecov-commenter', '[User]_cross32768', '[User]_toshihikoyanase'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4702
2023-05-23 03:11:13+00:00,[User]_eukaryo,set(),optuna/optuna,2023,https://github.com/optuna/optuna/pull/4704
2023-05-25 06:45:47+00:00,[User]_c-bata,"{'[User]_codecov-commenter', '[User]_toshihikoyanase'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4708
2023-05-26 01:41:47+00:00,[User]_cross32768,{'[User]_HideakiImamura'},optuna/optuna,2023,https://github.com/optuna/optuna/pull/4709
2023-05-26 05:09:08+00:00,[User]_HideakiImamura,"{'[User]_codecov-commenter', '[User]_toshihikoyanase'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4710
2023-05-26 05:09:40+00:00,[User]_c-bata,{'[User]_toshihikoyanase'},optuna/optuna,2023,https://github.com/optuna/optuna/pull/4711
2023-05-26 05:16:37+00:00,[User]_not522,"{'[User]_c-bata', '[User]_codecov-commenter', '[User]_cross32768', '[User]_HideakiImamura'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4712
2023-05-26 05:58:57+00:00,[User]_not522,"{'[User]_c-bata', '[User]_codecov-commenter', '[User]_contramundum53', '[User]_amylase'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4713
2023-05-29 16:25:20+00:00,[User]_matheus695p,{'[User]_matheus695p'},optuna/optuna,2023,https://github.com/optuna/optuna/issues/4714
2023-05-30 00:24:25+00:00,[User]_not522,"{'[User]_c-bata', '[User]_codecov-commenter', '[User]_not522', '[User]_Alnusjaponica'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4716
2023-05-30 05:25:26+00:00,[User]_not522,"{'[User]_c-bata', '[User]_codecov-commenter', '[User]_contramundum53', '[User]_HideakiImamura'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4717
2023-05-31 02:06:37+00:00,[User]_not522,"{'[User]_codecov-commenter', '[User]_not522', '[User]_gen740', '[User]_cross32768', '[User]_c-bata'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4720
2023-05-31 15:22:58+00:00,[User]_candyflower2005,"{'[User]_nzw0301', '[User]_candyflower2005'}",optuna/optuna,2023,https://github.com/optuna/optuna/issues/4722
2023-06-01 08:02:11+00:00,[User]_Alnusjaponica,"{'[User]_codecov-commenter', '[User]_not522', '[User]_Alnusjaponica', '[User]_cross32768', '[User]_c-bata'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4723
2023-06-04 10:37:28+00:00,[User]_bionicles,"{'[User]_contramundum53', '[User]_toshihikoyanase'}",optuna/optuna,2023,https://github.com/optuna/optuna/issues/4725
2023-06-04 10:41:10+00:00,[User]_okaikov,"{'[User]_contramundum53', '[User]_nzw0301', '[User]_maxLundin', '[User]_okaikov'}",optuna/optuna,2023,https://github.com/optuna/optuna/issues/4726
2023-06-04 17:42:22+00:00,[User]_rishabsinghh,"{'[User]_rishabsinghh', '[User]_codecov-commenter', '[User]_nzw0301', '[User]_HideakiImamura'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4728
2023-06-07 15:49:54+00:00,[User]_nzw0301,"{'[User]_contramundum53', '[User]_codecov-commenter', '[User]_Alnusjaponica'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4732
2023-06-08 11:13:12+00:00,[User]_nzw0301,"{'[User]_contramundum53', '[User]_codecov-commenter'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4735
2023-06-08 17:29:19+00:00,[User]_nzw0301,"{'[User]_nzw0301', '[User]_Alnusjaponica'}",optuna/optuna,2023,https://github.com/optuna/optuna/issues/4736
2023-06-08 17:51:04+00:00,[User]_nzw0301,{'[User]_contramundum53'},optuna/optuna,2023,https://github.com/optuna/optuna/issues/4737
2023-06-10 07:20:19+00:00,[User]_honeysleep,"{'[User]_nzw0301', '[User]_PhD-GOAT'}",optuna/optuna,2023,https://github.com/optuna/optuna/issues/4738
2023-06-10 15:20:18+00:00,[User]_kstoneriv3,"{'[User]_contramundum53', '[User]_kstoneriv3'}",optuna/optuna,2023,https://github.com/optuna/optuna/issues/4739
2023-06-12 02:40:03+00:00,[User]_robertfmath,"{'[User]_nzw0301', '[User]_robertfmath'}",optuna/optuna,2023,https://github.com/optuna/optuna/issues/4740
2023-06-13 05:18:52+00:00,[User]_contramundum53,{'[User]_nzw0301'},optuna/optuna,2023,https://github.com/optuna/optuna/issues/4741
2023-06-14 07:58:26+00:00,[User]_not522,"{'[User]_contramundum53', '[User]_codecov-commenter', '[User]_not522', '[User]_HideakiImamura'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4742
2023-06-14 12:42:50+00:00,[User]_nikkikramer,set(),optuna/optuna,2023,https://github.com/optuna/optuna/issues/4743
2023-06-15 01:48:12+00:00,[User]_Alnusjaponica,"{'[User]_c-bata', '[User]_codecov-commenter'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4745
2023-06-15 02:53:07+00:00,[User]_Alnusjaponica,{'[User]_HideakiImamura'},optuna/optuna,2023,https://github.com/optuna/optuna/pull/4746
2023-06-15 05:12:20+00:00,[User]_Alnusjaponica,"{'[User]_codecov-commenter', '[User]_not522', '[User]_Alnusjaponica', '[User]_contramundum53', '[User]_toshihikoyanase'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4747
2023-06-16 22:07:47+00:00,[User]_kstoneriv3,"{'[User]_contramundum53', '[User]_codecov-commenter', '[User]_HideakiImamura'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4753
2023-06-18 08:56:16+00:00,[User]_cherusk,"{'[User]_HideakiImamura', '[User]_cherusk'}",optuna/optuna,2023,https://github.com/optuna/optuna/issues/4754
2023-06-22 04:52:01+00:00,[User]_y0z,"{'[User]_codecov-commenter', '[User]_not522', '[User]_y0z', '[User]_HideakiImamura', '[User]_toshihikoyanase'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4757
2023-06-22 07:51:07+00:00,[User]_Alnusjaponica,"{'[User]_not522', '[User]_toshihikoyanase', '[User]_Alnusjaponica'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4758
2023-06-22 08:26:49+00:00,[User]_Alnusjaponica,"{'[User]_codecov-commenter', '[User]_toshihikoyanase', '[User]_knshnb', '[User]_HideakiImamura'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4759
2023-06-22 16:49:35+00:00,[User]_saiwing-yeung,"{'[User]_not522', '[User]_eukaryo'}",optuna/optuna,2023,https://github.com/optuna/optuna/issues/4761
2023-06-23 04:17:53+00:00,[User]_not522,"{'[User]_contramundum53', '[User]_not522', '[User]_codecov-commenter', '[User]_gen740'}",optuna/optuna,2023,https://github.com/optuna/optuna/pull/4762
