startTime,createUser,commentsUser,proj,year,url
2023-05-02 12:48:46+00:00,[User]_alnr,"{'[User]_alnr', '[User]_kmherrmann'}",ory/hydra,2023,https://github.com/ory/hydra/pull/3506
2023-05-03 22:57:02+00:00,[User]_jordans-openai,{'[User]_CLAassistant'},ory/hydra,2023,https://github.com/ory/hydra/pull/3508
2023-05-04 12:49:14+00:00,[User]_jgraeger,{'[User]_aeneasr'},ory/hydra,2023,https://github.com/ory/hydra/issues/3509
2023-05-04 20:45:57+00:00,[User]_apexskier,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3510
2023-05-10 16:05:11+00:00,[User]_Class-public,{'[User]_RazerM'},ory/hydra,2023,https://github.com/ory/hydra/issues/3511
2023-05-10 21:56:10+00:00,[User]_viralsavaniIM,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3512
2023-05-20 16:21:02+00:00,[User]_MrWolfZ,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3521
2023-05-22 13:24:42+00:00,[User]_i0tool5,"{'[User]_i0tool5', '[User]_aeneasr'}",ory/hydra,2023,https://github.com/ory/hydra/issues/3523
2023-05-24 19:39:39+00:00,[User]_brett-patterson,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3524
2023-05-29 07:50:12+00:00,[User]_KeiichiHirobe,{'[User]_naphattharawat'},ory/hydra,2023,https://github.com/ory/hydra/issues/3527
2023-05-31 09:48:48+00:00,[User]_alnr,{'[User]_hperl'},ory/hydra,2023,https://github.com/ory/hydra/pull/3530
2023-06-05 09:26:08+00:00,[User]_oninugarte,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3535
2023-06-07 22:49:49+00:00,[User]_kralicky,{'[User]_kralicky'},ory/hydra,2023,https://github.com/ory/hydra/pull/3541
2023-06-09 09:46:21+00:00,[User]_aeneasr,set(),ory/hydra,2023,https://github.com/ory/hydra/pull/3542
2023-06-16 10:09:51+00:00,[User]_aeneasr,set(),ory/hydra,2023,https://github.com/ory/hydra/pull/3548
2023-06-16 13:25:15+00:00,[User]_adamwalach,set(),ory/hydra,2023,https://github.com/ory/hydra/pull/3549
2023-06-21 04:02:56+00:00,[User]_linn-affinidi,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3551
2023-06-21 08:35:45+00:00,[User]_aeneasr,set(),ory/hydra,2023,https://github.com/ory/hydra/pull/3552
2023-06-22 07:17:48+00:00,[User]_adamwalach,{'[User]_adamwalach'},ory/hydra,2023,https://github.com/ory/hydra/pull/3553
2023-06-27 05:42:27+00:00,[User]_aomsin-api,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3556
2023-06-28 10:59:56+00:00,[User]_hperl,{'[User]_aeneasr'},ory/hydra,2023,https://github.com/ory/hydra/pull/3558
2023-06-29 07:03:27+00:00,[User]_abador,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3559
2023-06-30 07:09:42+00:00,[User]_hperl,{'[User]_aeneasr'},ory/hydra,2023,https://github.com/ory/hydra/pull/3560
2023-07-06 13:39:26+00:00,[User]_vinckr,{'[User]_aeneasr'},ory/hydra,2023,https://github.com/ory/hydra/pull/3565
2023-07-10 12:36:11+00:00,[User]_aeneasr,set(),ory/hydra,2023,https://github.com/ory/hydra/pull/3567
2023-07-13 21:25:23+00:00,[User]_jvisker,{'[User]_aeneasr'},ory/hydra,2023,https://github.com/ory/hydra/issues/3573
2023-07-24 10:14:10+00:00,[User]_juananinca,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3578
2023-07-25 19:26:08+00:00,[User]_juananinca,"{'[User]_juananinca', '[User]_SzilardS', '[User]_aeneasr', '[User]_Vikash-novo'}",ory/hydra,2023,https://github.com/ory/hydra/issues/3581
2023-07-30 21:57:39+00:00,[User]_GoliTech,{'[User]_GoliTech'},ory/hydra,2023,https://github.com/ory/hydra/issues/3586
2023-08-03 10:41:02+00:00,[User]_alnr,"{'[User]_alnr', '[User]_hperl', '[User]_aeneasr'}",ory/hydra,2023,https://github.com/ory/hydra/pull/3593
2023-08-11 09:09:02+00:00,[User]_aeneasr,"{'[User]_nyhu', '[User]_struhtanov'}",ory/hydra,2023,https://github.com/ory/hydra/issues/3604
2023-08-11 09:41:47+00:00,[User]_iursevla,"{'[User]_alnr', '[User]_moloti'}",ory/hydra,2023,https://github.com/ory/hydra/issues/3605
2023-08-18 04:10:34+00:00,[User]_Class-public,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3610
2023-08-21 15:17:26+00:00,[User]_mkauf,{'[User]_mitar'},ory/hydra,2023,https://github.com/ory/hydra/issues/3611
2023-08-23 08:31:13+00:00,[User]_aeneasr,set(),ory/hydra,2023,https://github.com/ory/hydra/pull/3613
2023-08-24 09:07:27+00:00,[User]_ston1th,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3617
2023-08-25 12:31:25+00:00,[User]_dastein1,"{'[User]_yanuehara-mb', '[User]_dastein1', '[User]_jossbnd'}",ory/hydra,2023,https://github.com/ory/hydra/issues/3620
2023-08-28 08:55:56+00:00,[User]_denysandriyanov,{'[User]_denysandriyanov'},ory/hydra,2023,https://github.com/ory/hydra/issues/3621
2023-08-30 07:02:42+00:00,[User]_juananinca,{'[User]_juananinca'},ory/hydra,2023,https://github.com/ory/hydra/issues/3622
2023-08-31 08:17:29+00:00,[User]_sgal,{'[User]_sgal'},ory/hydra,2023,https://github.com/ory/hydra/issues/3623
2023-09-05 12:36:18+00:00,[User]_aeneasr,set(),ory/hydra,2023,https://github.com/ory/hydra/pull/3625
2023-09-06 12:35:44+00:00,[User]_WatcherWhale,{'[User]_sobanieca-redocly'},ory/hydra,2023,https://github.com/ory/hydra/issues/3627
2023-09-06 15:05:50+00:00,[User]_zepatrik,"{'[User]_alnr', '[User]_zepatrik', '[User]_aeneasr'}",ory/hydra,2023,https://github.com/ory/hydra/pull/3628
2023-09-15 01:58:50+00:00,[User]_benmurden,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3630
2023-09-26 13:57:38+00:00,[User]_idc77,{'[User]_aeneasr'},ory/hydra,2023,https://github.com/ory/hydra/issues/3635
2023-09-28 11:47:48+00:00,[User]_andremussche,"{'[User]_andremussche', '[User]_vinckr'}",ory/hydra,2023,https://github.com/ory/hydra/issues/3637
2023-10-08 13:24:50+00:00,[User]_denysandriyanov,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3643
2023-10-17 07:20:26+00:00,[User]_Zacama,"{'[User]_Zacama', '[User]_aeneasr'}",ory/hydra,2023,https://github.com/ory/hydra/issues/3648
2023-10-23 21:06:48+00:00,[User]_nicolasburtey,{'[User]_nicolasburtey'},ory/hydra,2023,https://github.com/ory/hydra/issues/3653
2023-10-26 14:35:33+00:00,[User]_JoMC98,{'[User]_haslersn'},ory/hydra,2023,https://github.com/ory/hydra/issues/3655
2023-10-30 20:47:57+00:00,[User]_marisbest2,"{'[User]_marisbest2', '[User]_vinckr'}",ory/hydra,2023,https://github.com/ory/hydra/issues/3658
2023-10-31 10:44:38+00:00,[User]_maricavor,{'[User]_CLAassistant'},ory/hydra,2023,https://github.com/ory/hydra/pull/3659
2023-11-08 18:19:47+00:00,[User]_moecasts,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3663
2023-11-15 23:52:10+00:00,[User]_mitar,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3668
2023-11-24 08:00:44+00:00,[User]_Class-public,{'[User]_Class-public'},ory/hydra,2023,https://github.com/ory/hydra/issues/3671
2023-11-28 13:47:34+00:00,[User]_yaroslava-kurash,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3673
2023-11-28 16:01:13+00:00,[User]_denysandriyanov,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3674
2023-12-18 14:12:43+00:00,[User]_alnr,"{'[User]_jonas-jonas', '[User]_aeneasr'}",ory/hydra,2023,https://github.com/ory/hydra/pull/3678
2023-12-18 14:53:09+00:00,[User]_nicovn,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3679
2023-12-26 17:16:41+00:00,[User]_denysandriyanov,{'[User]_alnr'},ory/hydra,2023,https://github.com/ory/hydra/issues/3682
2023-12-27 03:57:09+00:00,[User]_polarathene,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3683
2023-12-28 09:03:55+00:00,[User]_polarathene,{'[User]_polarathene'},ory/hydra,2023,https://github.com/ory/hydra/issues/3685
2023-12-29 16:17:20+00:00,[User]_JohnDuncanScott,{'[User]_alnr'},ory/hydra,2023,https://github.com/ory/hydra/issues/3687
2023-12-29 23:58:08+00:00,[User]_skwidge,set(),ory/hydra,2023,https://github.com/ory/hydra/issues/3688
2024-01-09 12:01:15+00:00,[User]_alnr,"{'[User]_hperl', '[User]_mszekiel', '[User]_jonas-jonas'}",ory/hydra,2024,https://github.com/ory/hydra/pull/3696
2024-01-12 23:50:22+00:00,[User]_Moosemorals,set(),ory/hydra,2024,https://github.com/ory/hydra/issues/3699
2024-01-25 19:50:57+00:00,[User]_dannycarrera,"{'[User]_lrz0916', '[User]_dannycarrera', '[User]_aeneasr', '[User]_HIRANO-Satoshi'}",ory/hydra,2024,https://github.com/ory/hydra/issues/3703
2024-01-28 19:30:49+00:00,[User]_mitar,set(),ory/hydra,2024,https://github.com/ory/hydra/pull/3704
2024-01-30 09:22:37+00:00,[User]_denysandriyanov,{'[User]_alnr'},ory/hydra,2024,https://github.com/ory/hydra/issues/3706
2024-01-30 16:25:24+00:00,[User]_aeneasr,set(),ory/hydra,2024,https://github.com/ory/hydra/pull/3708
2024-02-09 13:51:03+00:00,[User]_sebastian-philipp,set(),ory/hydra,2024,https://github.com/ory/hydra/issues/3713
2024-02-09 15:41:40+00:00,[User]_nsklikas,{'[User]_CLAassistant'},ory/hydra,2024,https://github.com/ory/hydra/pull/3714
2024-02-14 15:13:58+00:00,[User]_jagobagascon,{'[User]_jagobagascon'},ory/hydra,2024,https://github.com/ory/hydra/issues/3717
2024-02-16 00:05:03+00:00,[User]_dlpetrie,"{'[User]_alnr', '[User]_dlpetrie'}",ory/hydra,2024,https://github.com/ory/hydra/issues/3719
2024-02-19 13:38:04+00:00,[User]_mpoletiek,set(),ory/hydra,2024,https://github.com/ory/hydra/issues/3720
2024-02-28 15:02:36+00:00,[User]_davidallendj,{'[User]_davidallendj'},ory/hydra,2024,https://github.com/ory/hydra/issues/3723
2024-02-28 17:43:38+00:00,[User]_inigohu,set(),ory/hydra,2024,https://github.com/ory/hydra/issues/3724
2024-03-18 05:53:39+00:00,[User]_Class-public,set(),ory/hydra,2024,https://github.com/ory/hydra/issues/3740
2024-03-20 13:58:31+00:00,[User]_alnr,set(),ory/hydra,2024,https://github.com/ory/hydra/issues/3742
2024-03-25 13:54:48+00:00,[User]_aeneasr,{'[User]_hperl'},ory/hydra,2024,https://github.com/ory/hydra/pull/3746
2024-03-27 14:45:52+00:00,[User]_aeneasr,set(),ory/hydra,2024,https://github.com/ory/hydra/pull/3749
2024-03-29 08:42:28+00:00,[User]_zoop-btc,{'[User]_zoop-btc'},ory/hydra,2024,https://github.com/ory/hydra/issues/3751
2024-03-29 20:32:05+00:00,[User]_viragtripathi,{'[User]_viragtripathi'},ory/hydra,2024,https://github.com/ory/hydra/issues/3752
2024-03-29 20:50:52+00:00,[User]_david7joy,{'[User]_aeneasr'},ory/hydra,2024,https://github.com/ory/hydra/issues/3753
2024-04-03 23:35:52+00:00,[User]_deepakgupta-remitly,{'[User]_alnr'},ory/hydra,2024,https://github.com/ory/hydra/issues/3755
2024-04-11 18:34:44+00:00,[User]_jcasey214,set(),ory/hydra,2024,https://github.com/ory/hydra/issues/3757
2024-04-22 10:39:06+00:00,[User]_alnr,"{'[User]_alnr', '[User]_hperl'}",ory/hydra,2024,https://github.com/ory/hydra/pull/3760
