startTime,createUser,commentsUser,proj,year,url
2023-05-18 21:40:59+00:00,[User]_shahesam84,{'[User]_ishanvyas22'},passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/issues/483
2023-06-20 12:13:08+00:00,[User]_shkarface,"{'[User]_shkarface', '[User]_stripthis'}",passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/issues/485
2023-07-11 05:24:53+00:00,[User]_mercy-thuyle,{'[User]_stripthis'},passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/issues/486
2023-07-18 19:47:41+00:00,[User]_jouve,"{'[User]_stripthis', '[User]_ishanvyas22'}",passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/issues/487
2023-07-21 20:24:21+00:00,[User]_Sneubeck,{'[User]_CLAassistant'},passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/pull/488
2023-08-04 09:58:41+00:00,[User]_tengdagg,"{'[User]_nourcy', '[User]_tengdagg'}",passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/issues/489
2023-08-04 11:50:18+00:00,[User]_xerc,set(),passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/issues/490
2023-08-07 11:27:19+00:00,[User]_FabienYt,{'[User]_BrettMerrick'},passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/issues/491
2023-08-09 03:44:07+00:00,[User]_tengdagg,{'[User]_tengdagg'},passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/issues/492
2023-08-22 08:56:06+00:00,[User]_grassdionera,"{'[User]_grassdionera', '[User]_pabloelcolombiano', '[User]_ishanvyas22'}",passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/issues/494
2023-08-31 09:40:56+00:00,[User]_RandomUser0815,"{'[User]_RandomUser0815', '[User]_cedricalfonsi', '[User]_ishanvyas22'}",passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/issues/495
2023-09-13 14:04:03+00:00,[User]_lprosch,"{'[User]_stripthis', '[User]_lprosch'}",passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/issues/496
2023-10-04 13:56:06+00:00,[User]_zbrag,{'[User]_cedricalfonsi'},passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/issues/497
2023-10-11 15:13:57+00:00,[User]_erfantkerfan,"{'[User]_oyxnaut', '[User]_ishanvyas22'}",passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/issues/498
2023-10-19 01:00:33+00:00,[User]_BrettMerrick,{'[User]_ishanvyas22'},passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/issues/499
2023-11-03 18:37:25+00:00,[User]_cerberek,{'[User]_stripthis'},passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/issues/500
2023-12-05 00:22:04+00:00,[User]_stfast,"{'[User]_Dual-Boot', '[User]_ishanvyas22', '[User]_phw', '[User]_cedricalfonsi', '[User]_stfast'}",passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/issues/501
2023-12-05 12:53:56+00:00,[User]_bugspencor,"{'[User]_LeXwDeX', '[User]_claytontstevenson'}",passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/issues/502
2023-12-19 10:14:09+00:00,[User]_rokiden,"{'[User]_pabloelcolombiano', '[User]_ishanvyas22'}",passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/issues/504
2023-12-22 07:54:22+00:00,[User]_abhi-bay,"{'[User]_abhi-bay', '[User]_scadra', '[User]_ishanvyas22'}",passbolt/passbolt_api,2023,https://github.com/passbolt/passbolt_api/issues/505
2024-01-17 12:52:44+00:00,[User]_AkechiShiro,"{'[User]_AkechiShiro', '[User]_dlen', '[User]_ishanvyas22'}",passbolt/passbolt_api,2024,https://github.com/passbolt/passbolt_api/issues/506
2024-03-07 09:03:08+00:00,[User]_chris968,"{'[User]_chris968', '[User]_stripthis'}",passbolt/passbolt_api,2024,https://github.com/passbolt/passbolt_api/issues/507
2024-03-14 10:36:26+00:00,[User]_chris968,"{'[User]_chris968', '[User]_pabloelcolombiano', '[User]_stripthis'}",passbolt/passbolt_api,2024,https://github.com/passbolt/passbolt_api/issues/508
2024-03-15 11:52:57+00:00,[User]_miklcct,"{'[User]_miklcct', '[User]_ishanvyas22'}",passbolt/passbolt_api,2024,https://github.com/passbolt/passbolt_api/issues/509
2024-03-25 16:11:23+00:00,[User]_rob-wilco,{'[User]_CLAassistant'},passbolt/passbolt_api,2024,https://github.com/passbolt/passbolt_api/pull/511
2024-03-26 04:16:43+00:00,[User]_roomme13,{'[User]_ishanvyas22'},passbolt/passbolt_api,2024,https://github.com/passbolt/passbolt_api/issues/512
2024-04-03 09:05:16+00:00,[User]_AbhishekTiwari23,"{'[User]_AbhishekTiwari23', '[User]_ishanvyas22'}",passbolt/passbolt_api,2024,https://github.com/passbolt/passbolt_api/pull/513
2024-04-09 02:19:38+00:00,[User]_jholhewres,"{'[User]_Benj1er', '[User]_ishanvyas22'}",passbolt/passbolt_api,2024,https://github.com/passbolt/passbolt_api/issues/514
2024-04-10 07:42:15+00:00,[User]_Nitschi,{'[User]_stripthis'},passbolt/passbolt_api,2024,https://github.com/passbolt/passbolt_api/issues/515
