startTime,createUser,commentsUser,proj,year,url
2023-05-01 08:00:45+00:00,[User]_dushmanta05,"{'[User]_dushmanta05', '[User]_PeterShaggyNoble', '[User]_adamrusted', '[User]_jwr12135'}",simple-icons/simple-icons,2023,https://github.com/simple-icons/simple-icons/pull/8593
2023-05-01 20:01:52+00:00,[User]_BAPostma,{'[User]_adamrusted'},simple-icons/simple-icons,2023,https://github.com/simple-icons/simple-icons/pull/8595
2023-05-01 20:34:24+00:00,[User]_paulrobertlloyd,"{'[User]_paulrobertlloyd', '[User]_LitoMore', '[User]_adamrusted'}",simple-icons/simple-icons,2023,https://github.com/simple-icons/simple-icons/pull/8596
2023-05-01 21:27:23+00:00,[User]_BAPostma,{'[User]_adamrusted'},simple-icons/simple-icons,2023,https://github.com/simple-icons/simple-icons/pull/8597
2023-05-01 21:56:21+00:00,[User]_paulrobertlloyd,{'[User]_adamrusted'},simple-icons/simple-icons,2023,https://github.com/simple-icons/simple-icons/pull/8598
2023-05-02 14:09:52+00:00,[User]_adsingh14,set(),simple-icons/simple-icons,2023,https://github.com/simple-icons/simple-icons/issues/8599
2023-05-02 14:43:10+00:00,[User]_adsingh14,set(),simple-icons/simple-icons,2023,https://github.com/simple-icons/simple-icons/pull/8601
2023-05-02 18:53:11+00:00,[User]_Sevichecc,"{'[User]_LitoMore', '[User]_Sevichecc'}",simple-icons/simple-icons,2023,https://github.com/simple-icons/simple-icons/pull/8602
2023-05-02 19:57:40+00:00,[User]_adsingh14,set(),simple-icons/simple-icons,2023,https://github.com/simple-icons/simple-icons/issues/8603
2023-05-02 20:06:51+00:00,[User]_adsingh14,{'[User]_LitoMore'},simple-icons/simple-icons,2023,https://github.com/simple-icons/simple-icons/pull/8604
2023-05-02 20:39:17+00:00,[User]_adsingh14,set(),simple-icons/simple-icons,2023,https://github.com/simple-icons/simple-icons/issues/8605
2023-05-03 16:11:06+00:00,[User]_kokoye2007,set(),simple-icons/simple-icons,2023,https://github.com/simple-icons/simple-icons/issues/8607
2023-05-03 23:49:20+00:00,[User]_HariSekhon,{'[User]_adamrusted'},simple-icons/simple-icons,2023,https://github.com/simple-icons/simple-icons/issues/8608
2023-05-04 00:00:24+00:00,[User]_HariSekhon,set(),simple-icons/simple-icons,2023,https://github.com/simple-icons/simple-icons/issues/8609
2023-05-04 00:31:11+00:00,[User]_HariSekhon,{'[User]_service-paradis'},simple-icons/simple-icons,2023,https://github.com/simple-icons/simple-icons/issues/8610
2023-05-04 04:11:49+00:00,[User]_f-teruhisa,set(),simple-icons/simple-icons,2023,https://github.com/simple-icons/simple-icons/issues/8611
