startTime,createUser,commentsUser,proj,year,url
2023-05-03 00:22:09+00:00,[User]_shrichards,"{'[User]_sqla-tester', '[User]_zzzeek', '[User]_CaselIT'}",sqlalchemy/sqlalchemy,2023,https://github.com/sqlalchemy/sqlalchemy/pull/9734
2023-05-03 11:45:45+00:00,[User]_uriyyo,"{'[User]_sqla-tester', '[User]_TallJimbo', '[User]_CaselIT'}",sqlalchemy/sqlalchemy,2023,https://github.com/sqlalchemy/sqlalchemy/issues/9736
2023-05-03 23:06:29+00:00,[User]_Rubikoid,"{'[User]_sqla-tester', '[User]_zzzeek'}",sqlalchemy/sqlalchemy,2023,https://github.com/sqlalchemy/sqlalchemy/issues/9739
2023-05-04 18:43:49+00:00,[User]_Dreamsorcerer,"{'[User]_Dreamsorcerer', '[User]_zzzeek'}",sqlalchemy/sqlalchemy,2023,https://github.com/sqlalchemy/sqlalchemy/issues/9740
2023-05-04 20:36:40+00:00,[User]_CaselIT,"{'[User]_jvanasco', '[User]_zzzeek', '[User]_CaselIT'}",sqlalchemy/sqlalchemy,2023,https://github.com/sqlalchemy/sqlalchemy/issues/9741
2023-05-05 07:29:37+00:00,[User]_JorhsonDeng,"{'[User]_zzzeek', '[User]_CaselIT', '[User]_JorhsonDeng'}",sqlalchemy/sqlalchemy,2023,https://github.com/sqlalchemy/sqlalchemy/issues/9743
2023-05-05 08:28:00+00:00,[User]_dourvaris,{'[User]_CaselIT'},sqlalchemy/sqlalchemy,2023,https://github.com/sqlalchemy/sqlalchemy/issues/9744
2023-05-05 13:19:49+00:00,[User]_zzzeek,"{'[User]_dabdada', '[User]_sqla-tester', '[User]_zzzeek'}",sqlalchemy/sqlalchemy,2023,https://github.com/sqlalchemy/sqlalchemy/issues/9746
2023-05-05 21:58:28+00:00,[User]_fdcastel,"{'[User]_fdcastel', '[User]_zzzeek', '[User]_CaselIT'}",sqlalchemy/sqlalchemy,2023,https://github.com/sqlalchemy/sqlalchemy/pull/9747
2023-05-07 16:50:05+00:00,[User]_hartwork,set(),sqlalchemy/sqlalchemy,2023,https://github.com/sqlalchemy/sqlalchemy/issues/9749
2023-05-07 19:08:08+00:00,[User]_Viicos,{'[User]_CaselIT'},sqlalchemy/sqlalchemy,2023,https://github.com/sqlalchemy/sqlalchemy/pull/9751
2023-05-08 23:08:13+00:00,[User]_NickCrews,"{'[User]_sqla-tester', '[User]_NickCrews', '[User]_zzzeek', '[User]_CaselIT'}",sqlalchemy/sqlalchemy,2023,https://github.com/sqlalchemy/sqlalchemy/pull/9753
2023-05-09 02:36:58+00:00,[User]_ColinStroud,"{'[User]_ColinStroud', '[User]_zzzeek'}",sqlalchemy/sqlalchemy,2023,https://github.com/sqlalchemy/sqlalchemy/issues/9755
2023-05-10 14:32:53+00:00,[User]_philer-jambit,{'[User]_zzzeek'},sqlalchemy/sqlalchemy,2023,https://github.com/sqlalchemy/sqlalchemy/issues/9762
2023-05-10 23:28:51+00:00,[User]_spladug,"{'[User]_sqla-tester', '[User]_zzzeek'}",sqlalchemy/sqlalchemy,2023,https://github.com/sqlalchemy/sqlalchemy/issues/9766
