startTime,createUser,commentsUser,proj,year,url
2023-05-02 00:06:14+00:00,[User]_Jilinho,set(),topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/pull/6962
2023-05-04 07:22:59+00:00,[User]_Dakkaron,set(),topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/issues/6963
2023-05-04 07:24:17+00:00,[User]_Dakkaron,"{'[User]_yujincheng08', '[User]_Dakkaron'}",topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/issues/6964
2023-05-06 08:57:21+00:00,[User]_Ttris1,{'[User]_Ttris1'},topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/pull/6971
2023-05-06 13:11:03+00:00,[User]_samuel1003,"{'[User]_vvb2060', '[User]_yujincheng08'}",topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/issues/6973
2023-05-06 21:58:56+00:00,[User]_pashamcr,"{'[User]_yashikada', '[User]_vvb2060', '[User]_pndwal', '[User]_pashamcr'}",topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/issues/6976
2023-05-07 21:30:38+00:00,[User]_pashamcr,set(),topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/pull/6979
2023-05-08 19:27:32+00:00,[User]_NeroProtagonist,set(),topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/issues/6980
2023-05-09 02:08:28+00:00,[User]_yujincheng08,{'[User]_vvb2060'},topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/pull/6981
2023-05-11 04:57:38+00:00,[User]_NULL0B,{'[User]_yujincheng08'},topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/issues/6983
2023-05-12 13:14:11+00:00,[User]_tamas646,"{'[User]_tamas646', '[User]_canyie'}",topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/issues/6986
2023-05-13 09:08:20+00:00,[User]_ErnestasKaralius,"{'[User]_topjohnwu', '[User]_yujincheng08'}",topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/pull/6987
2023-05-13 12:39:56+00:00,[User]_Fede2782,"{'[User]_AByakugans', '[User]_BlackMesa123', '[User]_pndwal', '[User]_Fede2782'}",topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/issues/6990
2023-05-13 17:40:16+00:00,[User]_tyjavajar,{'[User]_yujincheng08'},topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/issues/6993
2023-05-15 17:39:04+00:00,[User]_DKNight-9207,"{'[User]_DKNight-9207', '[User]_yujincheng08'}",topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/issues/6996
2023-05-16 05:37:43+00:00,[User]_NULL0B,"{'[User]_NULL0B', '[User]_yujincheng08'}",topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/issues/6997
2023-05-16 11:28:45+00:00,[User]_yujincheng08,"{'[User]_vvb2060', '[User]_yujincheng08'}",topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/pull/6998
2023-05-20 01:33:12+00:00,[User]_A1T2J3,set(),topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/pull/6999
2023-05-20 19:08:49+00:00,[User]_13angelmoreno,{'[User]_13angelmoreno'},topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/pull/7000
2023-05-21 04:10:03+00:00,[User]_yujincheng08,{'[User]_topjohnwu'},topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/pull/7002
2023-05-21 21:22:17+00:00,[User]_Nsrlaz,set(),topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/pull/7004
2023-05-23 07:34:09+00:00,[User]_aawsadeel,{'[User]_aawsadeel'},topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/issues/7007
2023-05-23 17:38:39+00:00,[User]_yujincheng08,set(),topjohnwu/Magisk,2023,https://github.com/topjohnwu/Magisk/pull/7009
