startTime,createUser,commentsUser,proj,year,url
2023-05-05 18:33:50+00:00,[User]_alaintanguy,"{'[User]_alaintanguy', '[User]_tablatronix'}",tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/issues/1600
2023-05-10 06:08:34+00:00,[User]_ahmetcemturan,"{'[User]_ahmetcemturan', '[User]_tablatronix'}",tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/issues/1601
2023-05-11 06:30:47+00:00,[User]_micronthings,"{'[User]_toome123', '[User]_tablatronix'}",tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/issues/1602
2023-05-11 11:27:10+00:00,[User]_chriskinal,"{'[User]_chriskinal', '[User]_dagi0627', '[User]_tablatronix'}",tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/issues/1603
2023-05-11 18:09:27+00:00,[User]_Baning0226,{'[User]_Baning0226'},tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/issues/1604
2023-05-11 23:40:16+00:00,[User]_nospam2k,"{'[User]_nospam2k', '[User]_Halvhjearne', '[User]_tablatronix'}",tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/issues/1605
2023-05-16 12:57:04+00:00,[User]_Thommes17,set(),tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/pull/1607
2023-05-16 21:56:45+00:00,[User]_fixus971,"{'[User]_fixus971', '[User]_tablatronix'}",tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/issues/1608
2023-05-18 11:05:22+00:00,[User]_AWSW-de,"{'[User]_Blaxxun75', '[User]_chriskinal', '[User]_zheins', '[User]_Seirakos', '[User]_AWSW-de', '[User]_tablatronix'}",tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/issues/1609
2023-05-18 21:54:20+00:00,[User]_nonsintetic,{'[User]_tablatronix'},tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/issues/1610
2023-05-19 03:53:28+00:00,[User]_tablatronix,set(),tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/issues/1611
2023-05-19 03:56:47+00:00,[User]_tablatronix,set(),tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/issues/1612
2023-05-22 12:47:17+00:00,[User]_ahmetcemturan,{'[User]_tablatronix'},tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/issues/1613
2023-05-24 04:47:08+00:00,[User]_kutty1999,"{'[User]_tablatronix', '[User]_kutty1999'}",tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/issues/1614
2023-05-24 05:38:05+00:00,[User]_mazWaz,"{'[User]_mazWaz', '[User]_BlaineAtkins'}",tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/issues/1615
2023-05-27 02:21:57+00:00,[User]_alexbadger,set(),tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/pull/1616
2023-05-27 21:22:13+00:00,[User]_ahsanCodes012,set(),tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/pull/1617
2023-06-01 00:02:02+00:00,[User]_rtek1000,"{'[User]_chriskinal', '[User]_rtek1000', '[User]_tablatronix'}",tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/issues/1618
2023-06-01 12:19:04+00:00,[User]_taylordanger,set(),tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/pull/1619
2023-06-05 05:33:29+00:00,[User]_patelabhi23,"{'[User]_xr1140', '[User]_tablatronix'}",tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/issues/1620
2023-06-05 06:58:16+00:00,[User]_sincinteria,set(),tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/issues/1621
2023-06-07 10:32:18+00:00,[User]_Shumatic,"{'[User]_Shumatic', '[User]_tablatronix'}",tzapu/WiFiManager,2023,https://github.com/tzapu/WiFiManager/issues/1622
