startTime,createUser,commentsUser,proj,year,url
2023-05-02 22:27:43+00:00,[User]_srl295,{'[User]_macchiati'},unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2888
2023-05-03 15:33:07+00:00,[User]_srl295,{'[User]_btangmu'},unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2890
2023-05-03 20:26:55+00:00,[User]_srl295,{'[User]_srl295'},unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2891
2023-05-03 21:49:41+00:00,[User]_macchiati,{'[User]_srl295'},unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2893
2023-05-03 21:52:38+00:00,[User]_pedberg-icu,{'[User]_srl295'},unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2894
2023-05-04 01:05:13+00:00,[User]_macchiati,{'[User]_macchiati'},unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2895
2023-05-04 03:41:16+00:00,[User]_AEApple,"{'[User]_srl295', '[User]_macchiati'}",unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2896
2023-05-04 04:05:02+00:00,[User]_pedberg-icu,{'[User]_macchiati'},unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2897
2023-05-04 18:01:58+00:00,[User]_srl295,"{'[User]_srl295', '[User]_macchiati'}",unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2898
2023-05-04 20:08:41+00:00,[User]_pedberg-icu,{'[User]_macchiati'},unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2899
2023-05-04 22:49:59+00:00,[User]_macchiati,{'[User]_pedberg-icu'},unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2900
2023-05-05 21:13:09+00:00,[User]_btangmu,{'[User]_srl295'},unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2902
2023-05-05 22:56:23+00:00,[User]_macchiati,set(),unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2904
2023-05-05 23:05:57+00:00,[User]_DavidLRowe,"{'[User]_limck613', '[User]_DavidLRowe', '[User]_srl295', '[User]_macchiati'}",unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2905
2023-05-07 04:26:14+00:00,[User]_macchiati,set(),unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2906
2023-05-08 04:24:54+00:00,[User]_macchiati,{'[User]_macchiati'},unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2907
2023-05-08 17:40:35+00:00,[User]_btangmu,{'[User]_btangmu'},unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2908
2023-05-09 01:47:44+00:00,[User]_macchiati,set(),unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2910
2023-05-10 01:27:08+00:00,[User]_macchiati,"{'[User]_richgillam', '[User]_macchiati'}",unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2912
2023-05-10 18:22:19+00:00,[User]_macchiati,"{'[User]_FrankYFTang', '[User]_pedberg-icu', '[User]_macchiati'}",unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2913
2023-05-10 22:41:32+00:00,[User]_macchiati,"{'[User]_srl295', '[User]_markusicu', '[User]_pedberg-icu', '[User]_macchiati'}",unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2914
2023-05-11 23:19:05+00:00,[User]_DavidLRowe,"{'[User]_DavidLRowe', '[User]_srl295'}",unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2915
2023-05-12 01:05:38+00:00,[User]_pedberg-icu,"{'[User]_srl295', '[User]_macchiati'}",unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2917
2023-05-12 05:51:59+00:00,[User]_pedberg-icu,"{'[User]_srl295', '[User]_pedberg-icu'}",unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2918
2023-05-12 15:56:56+00:00,[User]_srl295,{'[User]_btangmu'},unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2919
2023-05-12 16:34:15+00:00,[User]_srl295,{'[User]_pedberg-icu'},unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2920
2023-05-12 20:19:03+00:00,[User]_cgaarden,"{'[User]_srl295', '[User]_macchiati'}",unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2922
2023-05-12 21:03:16+00:00,[User]_srl295,"{'[User]_miloush', '[User]_srl295', '[User]_mcdurdin', '[User]_DavidLRowe', '[User]_macchiati'}",unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2923
2023-05-13 00:19:19+00:00,[User]_srl295,"{'[User]_srl295', '[User]_macchiati'}",unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2924
2023-05-13 00:56:37+00:00,[User]_DavidLRowe,"{'[User]_DavidLRowe', '[User]_srl295'}",unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2925
2023-05-15 00:31:58+00:00,[User]_macchiati,"{'[User]_srl295', '[User]_macchiati'}",unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2926
2023-05-15 23:07:57+00:00,[User]_macchiati,{'[User]_btangmu'},unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2930
2023-05-16 17:27:24+00:00,[User]_GO-Institute,{'[User]_CLAassistant'},unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2931
2023-05-17 14:41:49+00:00,[User]_btangmu,{'[User]_srl295'},unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2933
2023-05-17 19:21:31+00:00,[User]_srl295,"{'[User]_sergiogarciadev', '[User]_btangmu', '[User]_srl295'}",unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2935
2023-05-17 21:09:19+00:00,[User]_macchiati,"{'[User]_btangmu', '[User]_charupdate-info', '[User]_macchiati'}",unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2936
2023-05-17 22:39:43+00:00,[User]_pedberg-icu,{'[User]_macchiati'},unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2937
2023-05-22 14:25:53+00:00,[User]_btangmu,"{'[User]_btangmu', '[User]_srl295'}",unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2941
2023-05-23 20:52:07+00:00,[User]_macchiati,set(),unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2947
2023-05-24 02:09:43+00:00,[User]_pedberg-icu,{'[User]_macchiati'},unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2949
2023-05-24 20:49:35+00:00,[User]_macchiati,"{'[User]_btangmu', '[User]_macchiati'}",unicode-org/cldr,2023,https://github.com/unicode-org/cldr/pull/2953
