startTime,createUser,commentsUser,proj,year,url
2023-05-02 21:32:32+00:00,[User]_AspectIsCool123,set(),violentmonkey/violentmonkey,2023,https://github.com/violentmonkey/violentmonkey/pull/1812
2023-05-02 21:38:19+00:00,[User]_AspectIsCool123,set(),violentmonkey/violentmonkey,2023,https://github.com/violentmonkey/violentmonkey/pull/1813
2023-05-02 21:43:28+00:00,[User]_AspectIsCool123,set(),violentmonkey/violentmonkey,2023,https://github.com/violentmonkey/violentmonkey/pull/1814
2023-05-02 21:45:01+00:00,[User]_AspectIsCool123,set(),violentmonkey/violentmonkey,2023,https://github.com/violentmonkey/violentmonkey/pull/1815
2023-05-05 10:33:40+00:00,[User]_AntoineTurmel,"{'[User]_tophf', '[User]_AntoineTurmel'}",violentmonkey/violentmonkey,2023,https://github.com/violentmonkey/violentmonkey/issues/1816
2023-05-05 10:40:06+00:00,[User]_AntoineTurmel,"{'[User]_tophf', '[User]_AntoineTurmel'}",violentmonkey/violentmonkey,2023,https://github.com/violentmonkey/violentmonkey/issues/1817
2023-05-05 18:43:02+00:00,[User]_Raymond-Adams,"{'[User]_gera2ld', '[User]_tophf'}",violentmonkey/violentmonkey,2023,https://github.com/violentmonkey/violentmonkey/issues/1819
2023-05-06 16:56:36+00:00,[User]_Ellivers,set(),violentmonkey/violentmonkey,2023,https://github.com/violentmonkey/violentmonkey/issues/1820
2023-05-16 00:28:01+00:00,[User]_TFWol,"{'[User]_TFWol', '[User]_tophf'}",violentmonkey/violentmonkey,2023,https://github.com/violentmonkey/violentmonkey/issues/1822
2023-05-16 11:14:33+00:00,[User]_peng-devs,{'[User]_tophf'},violentmonkey/violentmonkey,2023,https://github.com/violentmonkey/violentmonkey/issues/1823
2023-05-18 06:55:07+00:00,[User]_violenttamper,"{'[User]_tophf', '[User]_violenttamper'}",violentmonkey/violentmonkey,2023,https://github.com/violentmonkey/violentmonkey/issues/1824
2023-05-31 09:19:21+00:00,[User]_TheDcoder,"{'[User]_gera2ld', '[User]_tophf', '[User]_TheDcoder'}",violentmonkey/violentmonkey,2023,https://github.com/violentmonkey/violentmonkey/issues/1829
2023-06-02 05:46:04+00:00,[User]_SedapnyaTidur,"{'[User]_tophf', '[User]_SedapnyaTidur'}",violentmonkey/violentmonkey,2023,https://github.com/violentmonkey/violentmonkey/issues/1830
2023-06-04 07:44:24+00:00,[User]_cvladan,"{'[User]_tophf', '[User]_cvladan'}",violentmonkey/violentmonkey,2023,https://github.com/violentmonkey/violentmonkey/issues/1831
2023-06-15 06:29:52+00:00,[User]_tophf,"{'[User]_tophf', '[User]_cyber-sec0'}",violentmonkey/violentmonkey,2023,https://github.com/violentmonkey/violentmonkey/issues/1835
2023-06-24 09:43:58+00:00,[User]_KonoromiHimaries,{'[User]_tophf'},violentmonkey/violentmonkey,2023,https://github.com/violentmonkey/violentmonkey/issues/1838
